# ZTF18aaqcozd 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2022.11.24 (yyyy.mm.dd); 17.41 hrs (GMT).
# Script used: SNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: ZTF18aaqcozd
RA: 190.56312150000002
DEC: 42.2716841
MWEBV: 0.020041835814837095
REDSHIFT_HELIO: 0.07321198
REDSHIFT_CMB: 0.07321198
REDSHIFT_CMB_ERR: 1e-06
PEAKMJD: 2458253.745033057
FILTERS: p48g,p48i,p48r
# -----------------------------------------------------------
NOBS: 95
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 2458242.7178819 p48g 1215.6105 80.3238 19.78801385300971 0.07174212183217063
OBS: 2458242.7187963 p48g 1188.3901 81.1859 19.81260242224119 0.07417299762378203
OBS: 2458242.721713 p48g 1125.589 80.3101 19.871550377015303 0.07746661500620154
OBS: 2458242.7484491 p48g 1285.8533 84.6488 19.727021412569542 0.07147495415116853
OBS: 2458243.7021644 p48g 1699.4569 103.541 19.424224614925365 0.06614947751318702
OBS: 2458243.7193519 p48g 2328.0767 83.6719 19.082506795694922 0.03902174187092356
OBS: 2458243.7442361 p48g 1667.6867 82.5556 19.444713810016864 0.053747294945785486
OBS: 2458243.7451505 p48g 1666.0111 82.2758 19.445805265214002 0.05361896151547254
OBS: 2458244.701956 p48g 2221.5683 94.1058 19.13335084834676 0.045991888969583665
OBS: 2458244.7215162 p48g 2207.1044 86.5933 19.14044281905113 0.04259766925006018
OBS: 2458244.7459838 p48g 2174.4676 129.7593 19.1566176545122 0.06479026071884088
OBS: 2458244.7468981 p48g 2062.3306 132.0929 19.214104274597226 0.0695417099197744
OBS: 2458247.6815046 p48g 3475.174 84.4634 18.647558603544745 0.02638859552039086
OBS: 2458247.7048264 p48g 3336.6948 82.8334 18.691708790246235 0.026953393282598527
OBS: 2458247.7058218 p48g 3547.5883 82.6705 18.625166953168023 0.025301244865189462
OBS: 2458247.7996991 p48g 3468.3272 85.191 18.649699830167354 0.02666846458668297
OBS: 2458248.6819676 p48g 3795.4476 86.4578 18.55184250247419 0.024732352886564505
OBS: 2458248.6896181 p48g 3711.8129 85.9967 18.576034815626663 0.025154766149209477
OBS: 2458248.7224306 p48g 3674.6519 87.9002 18.586959483554715 0.025971567049477576
OBS: 2458248.7233449 p48g 3784.2771 87.7582 18.55504266492347 0.025178455997890058
OBS: 2458248.7242593 p48g 3694.9805 89.0155 18.58096961067591 0.02615640292577694
OBS: 2458255.6815509 p48g 4179.6421 87.7991 18.447152259189664 0.022807379232200244
OBS: 2458255.7075 p48g 4325.4837 88.426 18.409913288712488 0.02219574919197844
OBS: 2458255.7084144 p48g 4219.2144 85.4028 18.436921025043652 0.021976815276993862
OBS: 2458255.7289468 p48g 4121.6149 85.1158 18.4623314730579 0.02242163062954295
OBS: 2458258.6832292 p48g 3642.8404 99.8564 18.59639963090016 0.02976185678404642
OBS: 2458262.7254514 p48g 2748.7424 151.3758 18.902164899422374 0.059792517364640974
OBS: 2458267.6927662 p48g 1652.0963 255.5472 19.454911578913 0.1679422905287405
OBS: 2458269.7565741 p48g 1697.2879 259.7638 19.425611237902174 0.1661679892449071
OBS: 2458269.7574884 p48g 1547.6691 288.0711 19.52580470912198 0.20209050341690837
OBS: 2458270.7459028 p48g 1060.6077 206.5329 19.93611308306182 0.21142622048622967
OBS: 2458272.6982407 p48g 1262.3277 94.6061 19.747069721211243 0.08137129310069412
OBS: 2458273.742662 p48g 910.6482 88.6956 20.10162339446954 0.10574893235342459
OBS: 2458273.7576273 p48g 1057.9546 90.8796 19.938832443003534 0.09326606099286616
OBS: 2458276.7407292 p48g 623.5929 82.4655 20.512747101438485 0.14358044194481998
OBS: 2458279.7208912 p48g 568.4158 87.9169 20.613334656871878 0.16793078680022414
OBS: 2458282.7603356 p48g 388.0909 98.6871 21.027666229277386 0.27609019521455613
OBS: 2458288.703588 p48g 471.0771 133.7123 20.81727011247982 0.30817940982393
OBS: 2458300.6963194 p48g 341.4457 97.7107 21.166695789630115 0.31070257698598747
OBS: 2458242.7667593 p48r 1196.8894 122.0823 19.804864908699045 0.11074475422326639
OBS: 2458242.7676852 p48r 1050.4024 123.3494 19.946610770687567 0.12749869067506794
OBS: 2458242.7686111 p48r 1162.078 124.6726 19.83691183668082 0.11648234550314267
OBS: 2458242.7890625 p48r 1081.6014 135.6869 19.914831911075098 0.13620563034848002
OBS: 2458242.7930903 p48r 916.8736 135.3164 20.094226277933213 0.1602378885893895
OBS: 2458243.6741782 p48r 1603.9362 111.0322 19.487032268433587 0.07515986855270944
OBS: 2458243.6751273 p48r 1697.9335 110.4994 19.42519831408599 0.0706583894528168
OBS: 2458243.7743981 p48r 1547.0255 113.2436 19.526256293869114 0.07947685576614315
OBS: 2458244.6747338 p48r 1895.2094 114.9327 19.305857022075116 0.06584318087206166
OBS: 2458244.6756829 p48r 1748.6894 116.0346 19.393218313411243 0.07204420412051193
OBS: 2458245.6757986 p48r 2115.5229 149.8517 19.18645566167292 0.0769074007807858
OBS: 2458245.694294 p48r 1908.5881 426.1146 19.29821948769045 0.24240329819606576
OBS: 2458245.7046181 p48r 2715.7367 707.9132 18.915280854586854 0.2830196929237178
OBS: 2458254.6822106 p48r 3899.1228 105.4136 18.522582727454953 0.02935310955197933
OBS: 2458254.7034375 p48r 3948.8621 107.4951 18.50882008672914 0.029555679444290873
OBS: 2458254.7043981 p48r 3801.1213 106.6422 18.55022069104801 0.030460828759250394
OBS: 2458254.7053009 p48r 4082.5742 105.4144 18.47266477790223 0.028034322115902365
OBS: 2458255.7440046 p48r 3887.6053 112.7095 18.52579458061659 0.031477677965555347
OBS: 2458255.7449537 p48r 3770.739 114.5557 18.55893381348193 0.032984853926024835
OBS: 2458256.7712037 p48r 3843.851 96.9688 18.53808364704909 0.027389849183751175
OBS: 2458257.7162153 p48r 3923.365 114.9217 18.515853226145147 0.03180296863845922
OBS: 2458257.7368287 p48r 3461.4825 117.5653 18.651844656799497 0.03687580552221405
OBS: 2458257.7659606 p48r 3795.1727 112.1902 18.551921130343583 0.032095767214980864
OBS: 2458257.7669097 p48r 3578.2359 111.1661 18.615827580569356 0.033730888208531644
OBS: 2458257.7678472 p48r 3845.3122 110.5866 18.53767097874094 0.031224470384077864
OBS: 2458257.7778472 p48r 3750.5574 111.1224 18.564760470852832 0.03216845448776052
OBS: 2458257.7787963 p48r 3635.3174 111.9875 18.59864414913481 0.0334465590877558
OBS: 2458257.7797338 p48r 3754.4501 110.7273 18.56363417066489 0.03202082500751825
OBS: 2458257.8113773 p48r 3556.9673 113.9976 18.62230030942315 0.0347968628969232
OBS: 2458258.7015509 p48r 3318.0017 120.6346 18.69780849192508 0.03947475555163664
OBS: 2458260.7036458 p48r 3454.2145 145.441 18.654126749652438 0.045715339491646786
OBS: 2458260.7045602 p48r 3368.2073 147.1997 18.68150297314536 0.047449597875675445
OBS: 2458266.7703241 p48r 2168.204 235.5197 19.159749637232895 0.1179373420260603
OBS: 2458267.7976736 p48r 2104.3626 255.5369 19.192198542041652 0.13184308791501625
OBS: 2458267.8201157 p48r 2350.3894 272.2887 19.07215042968688 0.12578074181033294
OBS: 2458269.6917361 p48r 2052.8876 159.5289 19.219087078550878 0.08437204057774376
OBS: 2458270.8070255 p48r 2143.3158 195.1051 19.17228456701726 0.09883406861852471
OBS: 2458270.8255556 p48r 2201.901 213.764 19.143005504766936 0.10540495926151291
OBS: 2458271.6766088 p48r 2098.9325 119.4362 19.195003800094707 0.06178197453374558
OBS: 2458272.6788079 p48r 1992.1999 115.1356 19.251667734815644 0.0627481695431488
OBS: 2458273.8447801 p48r 1821.9516 169.3531 19.34865793146239 0.10092078126999768
OBS: 2458276.7038079 p48r 1891.0275 101.9651 19.308255400458073 0.05854339625033659
OBS: 2458279.6748264 p48r 1522.9178 118.7067 19.543308840396055 0.08462975356635644
OBS: 2458282.6974884 p48r 1072.565 109.5289 19.92394097353906 0.11087389534238815
OBS: 2458288.7485069 p48r 820.8316 138.4317 20.21436478680599 0.18310738284586842
OBS: 2458291.7405093 p48r 876.977 172.2643 20.142529455965903 0.21327085394275894
OBS: 2458294.7475694 p48r 899.2492 187.8992 20.115299897640448 0.22686590435636309
OBS: 2458300.6804167 p48r 520.1746 132.5098 20.709627230531932 0.27658152993279
OBS: 2458243.8419213 p48i 1183.1669 218.3897 19.8173849623078 0.20040591636393545
OBS: 2458247.6603704 p48i 2359.8352 191.4045 19.06779581683844 0.08806328680516153
OBS: 2458257.6941782 p48i 1948.2283 208.9176 19.275900382379447 0.11642857514860606
OBS: 2458263.8304282 p48i 1211.3294 293.8742 19.791844373399815 0.2634047449509211
OBS: 2458267.7401505 p48i 1015.4727 298.8367 19.98332938367175 0.31951403978367904
OBS: 2458272.8423495 p48i 1401.1698 275.8854 19.63377310316858 0.21377764185859205
OBS: 2458277.6848611 p48i 1334.6983 203.3845 19.68654220129696 0.16544709110408123
OBS: 2458282.6838079 p48i 1101.8613 176.6314 19.89468268760187 0.17404650365194296
END:
