# ZTF18abtrvkm 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2022.11.24 (yyyy.mm.dd); 17.41 hrs (GMT).
# Script used: SNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: ZTF18abtrvkm
RA: 41.49724342652674
DEC: 42.54151082444161
MWEBV: 0.08481227771861477
REDSHIFT_HELIO: 0.038002758540665545
REDSHIFT_CMB: 0.038002758540665545
REDSHIFT_CMB_ERR: 1e-06
PEAKMJD: 2458365.991338651
FILTERS: p48g,p48r
# -----------------------------------------------------------
NOBS: 110
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 2458352.9267593 p48g 924.355 89.3828 20.085403049724427 0.10498792021167848
OBS: 2458367.9099653 p48g 8614.6255 88.6621 17.66190899932765 0.011174450346349311
OBS: 2458370.8845255 p48g 7325.3121 94.67 17.83793466204442 0.014031710981628153
OBS: 2458373.9042593 p48g 5844.0089 80.0943 18.0832228259565 0.014880419474473418
OBS: 2458376.9509954 p48g 4323.1922 92.6233 18.410488646451554 0.023261629128904678
OBS: 2458379.9501968 p48g 3014.7949 91.1945 18.801855587178956 0.032842434364612295
OBS: 2458382.9505093 p48g 2160.5828 82.2755 19.1635727119154 0.04134510130073757
OBS: 2458385.9738889 p48g 1144.8051 229.9736 19.853171076095244 0.21810759635777532
OBS: 2458351.9442477 p48g 465.0424 133.6206 20.831268721021935 0.3119644483714337
OBS: 2458360.9446181 p48g 7152.4815 204.3194 17.863858141343915 0.031015382398408117
OBS: 2458363.9068519 p48g 8813.1857 166.3445 17.637167695418277 0.020492736549173846
OBS: 2458366.9245255 p48g 9177.6392 91.6047 17.593172552992947 0.010837051559609526
OBS: 2458369.9715162 p48g 7821.2242 115.0886 17.76681315478927 0.015976503072334655
OBS: 2458372.9551968 p48g 6539.3797 88.2327 17.96115861548371 0.014649314242070081
OBS: 2458375.9486921 p48g 4756.2589 116.6233 18.30683627859531 0.026622202346017056
OBS: 2458382.9514468 p48g 2178.7855 83.182 19.15446380488931 0.041451384686907546
OBS: 2458384.8188194 p48g 1780.8048 237.8414 19.37345923473093 0.1450091592130806
OBS: 2458385.9129398 p48g 1465.4144 254.7501 19.585098863454885 0.18874618994934445
OBS: 2458385.9734259 p48g 1898.1082 234.9343 19.304197609485758 0.13438471344297412
OBS: 2458388.8499421 p48g 1031.6201 240.3643 19.96620052526962 0.2529731679250001
OBS: 2458388.9052546 p48g 1328.693 241.0807 19.691438356611847 0.1969981653355616
OBS: 2458389.8741551 p48g 1603.9176 222.8468 19.487044900804875 0.15085114657890702
OBS: 2458390.8659722 p48g 1174.8079 203.5937 19.825082899911376 0.18815762336690628
OBS: 2458428.8062037 p48g 350.7204 79.9672 21.137597569824628 0.247557032473004
OBS: 2458343.9681366 p48r 548.892 121.1814 20.651282729524276 0.23970289161122446
OBS: 2458345.9681366 p48r 469.3188 114.044 20.82133002294556 0.2638327040404478
OBS: 2458349.9720833 p48r 549.4026 118.2322 20.650273304003285 0.23365203537173587
OBS: 2458349.9730324 p48r 698.6014 130.4686 20.389426392299374 0.20276866540401162
OBS: 2458350.9978125 p48r 771.8895 108.6111 20.281112142606403 0.1527718149127515
OBS: 2458351.9841319 p48r 805.4986 127.1237 20.234838076423905 0.17135075893699306
OBS: 2458352.9857176 p48r 604.8695 113.5105 20.54584579551088 0.20375043706279677
OBS: 2458352.9866319 p48r 1354.5212 117.1239 19.670535474227826 0.09388234693480207
OBS: 2458353.9281366 p48r 1262.6341 158.3766 19.74680622206931 0.13618767888278036
OBS: 2458353.9738657 p48r 1919.816 109.8769 19.291850977371368 0.06213995696837566
OBS: 2458354.9736574 p48r 2531.1608 137.9571 18.991700644534326 0.0591764095021092
OBS: 2458354.9858796 p48r 2302.3854 111.8797 19.09455492143318 0.05275910657596292
OBS: 2458356.004375 p48r 3232.4877 155.6252 18.72615779125431 0.052271795867493524
OBS: 2458356.0052894 p48r 3380.0481 148.2899 18.677692790314175 0.04763356071317878
OBS: 2458356.9298032 p48r 4631.4617 228.2958 18.335704799326123 0.05351852497007478
OBS: 2458356.9867824 p48r 4047.1482 212.0326 18.48212723126603 0.05688240338068331
OBS: 2458357.9248611 p48r 5240.3508 201.4227 18.201599090354467 0.04173230337276539
OBS: 2458358.0067361 p48r 4954.46 194.1973 18.262509190313345 0.04255702784831774
OBS: 2458358.9543519 p48r 5955.1088 188.9735 18.062775741538978 0.034453668881487834
OBS: 2458358.9552662 p48r 5499.0667 190.03 18.149277522924002 0.03751954076175623
OBS: 2458359.986794 p48r 6733.7594 551.9848 17.929356019399265 0.08900079396083077
OBS: 2458361.9856597 p48r 8234.1896 180.6846 17.71094784686858 0.02382453776273182
OBS: 2458361.9865625 p48r 8620.0296 183.9641 17.661228102945707 0.02317120866281801
OBS: 2458363.9710301 p48r 9258.3931 172.2501 17.583660962908848 0.02019984774412455
OBS: 2458364.8813657 p48r 9012.9823 176.5889 17.6128287100369 0.02127253072264229
OBS: 2458364.8828125 p48r 9831.7394 169.4031 17.518424104777825 0.018707483001603558
OBS: 2458365.8911806 p48r 9454.4469 133.0695 17.56090968518911 0.015281528317549
OBS: 2458366.8807407 p48r 9794.9244 117.5733 17.522497278872518 0.013032622359680317
OBS: 2458367.8834954 p48r 9633.459 108.3886 17.54054436615007 0.01221590279942839
OBS: 2458367.8908218 p48r 9892.5407 100.1815 17.511730381533944 0.010995224701916013
OBS: 2458368.9286921 p48r 9622.6597 113.9356 17.541762176931826 0.01285549158119151
OBS: 2458369.9304514 p48r 9301.9209 110.8798 17.57856839273839 0.012942079694696743
OBS: 2458370.9244097 p48r 8712.6289 102.9416 17.649626959210153 0.012828211213109026
OBS: 2458370.9253588 p48r 8801.7098 101.1804 17.63858238178838 0.012481127183758925
OBS: 2458371.9316088 p48r 8387.5905 102.431 17.690906955582033 0.01325923914429393
OBS: 2458372.8860995 p48r 7989.5173 110.6857 17.743698646113412 0.015041642965594165
OBS: 2458373.9575116 p48r 7000.893 104.148 17.887116404011728 0.016151833535450535
OBS: 2458374.8894676 p48r 6544.3596 108.7819 17.960332109431107 0.018047361945950552
OBS: 2458375.908206 p48r 6226.6071 114.1289 18.0143713408322 0.01990071253857254
OBS: 2458376.9335648 p48r 5775.9993 110.8537 18.09593216601401 0.02083759331478105
OBS: 2458376.9344792 p48r 6138.3512 108.5377 18.02987066729695 0.019197869907844597
OBS: 2458377.9206134 p48r 5719.5121 127.549 18.106602536959905 0.024212649177621563
OBS: 2458378.9204167 p48r 5396.1694 116.9074 18.1697860564067 0.023522346506380677
OBS: 2458379.9264352 p48r 5199.9865 122.5309 18.20999445089778 0.025583953592933344
OBS: 2458379.9273495 p48r 5048.3047 116.3203 18.24213609247606 0.025016951210659485
OBS: 2458380.9274074 p48r 5232.3256 99.374 18.203263085982737 0.020620651938945984
OBS: 2458382.9918403 p48r 5041.5863 107.6418 18.24358198396894 0.023181306761203398
OBS: 2458382.9927778 p48r 5304.2812 109.4178 18.188433642344556 0.022396783036865937
OBS: 2458383.9081019 p48r 5334.9631 179.3349 18.182171459915548 0.036497053877094884
OBS: 2458385.0061458 p48r 4741.1825 130.7053 18.31028331800806 0.0299316532694518
OBS: 2458385.7998264 p48r 4824.8824 257.2476 18.291283170386563 0.05788805265804034
OBS: 2458385.8007407 p48r 4575.022 260.5061 18.349017024157526 0.06182284376506105
OBS: 2458386.9124074 p48r 4121.4442 256.4241 18.462376428526326 0.0675513081463323
OBS: 2458387.9617708 p48r 4429.4862 321.4539 18.384116605914638 0.07879336408544536
OBS: 2458388.7789931 p48r 4059.2718 249.5294 18.478879660296048 0.0667418043321439
OBS: 2458388.7798958 p48r 3954.6425 252.7519 18.507231920177112 0.06939232729942184
OBS: 2458389.8156713 p48r 3794.474 262.1865 18.552121039091237 0.07502103800453429
OBS: 2458390.7561343 p48r 3188.5331 229.1605 18.741022677022695 0.07803208721113276
OBS: 2458397.9309375 p48r 2145.3829 112.5505 19.171237942176887 0.05695960377427639
OBS: 2458422.8231019 p48r 863.39 145.1532 20.159482497905227 0.18253412928786908
OBS: 2458425.7922801 p48r 712.0226 135.4991 20.368765616556516 0.20661745521232783
OBS: 2458437.8028241 p48r 634.0533 121.7801 20.494685613964343 0.20853310198162453
OBS: 2458345.9676505 p48r 581.5836 99.7954 20.58846958331564 0.18630421481840065
OBS: 2458351.9846065 p48r 596.6648 101.0611 20.560674001239654 0.18389842382888905
OBS: 2458354.9741319 p48r 1893.3284 134.0586 19.30693513046208 0.07687642875988727
OBS: 2458354.9854167 p48r 2262.1376 112.6481 19.113702465346165 0.05406660377573907
OBS: 2458357.9526273 p48r 4214.6051 211.8275 18.438107773529484 0.05456947879807462
OBS: 2458358.0091204 p48r 4643.7722 205.4737 18.33282273662842 0.04804072859122709
OBS: 2458360.9976042 p48r 7664.3598 196.0984 17.788810295773153 0.027779375437007172
OBS: 2458363.9890625 p48r 8442.2282 164.4384 17.68385727909698 0.021148061700758277
OBS: 2458366.8828704 p48r 9644.4213 99.7037 17.53930956249036 0.011224300664409584
OBS: 2458367.0204398 p48r 9621.9073 171.1843 17.541847080165326 0.019316436681838113
OBS: 2458369.9309259 p48r 9179.504 114.9996 17.59295196045141 0.013601958063907306
OBS: 2458372.9947338 p48r 7589.7097 108.4861 17.799437093877774 0.015519340025230675
