# 2019tvv 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2019tvv
RA: 177.772596
DEC: 21.767258
MWEBV: 0.024
REDSHIFT_HELIO: 0.026
REDSHIFT_CMB: 0.0251965123302742
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58789.517
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1
# -----------------------------------------------------------
NOBS: 106
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58779.534 p48r 19089.7394 298.8991 16.798 0.017
OBS: 58781.529 p48r 18862.5325 521.191 16.811 0.03
OBS: 58783.536 p48r 22887.5866 358.3642 16.601 0.017
OBS: 58785.54 p48r 25444.8562 304.6625 16.486 0.013
OBS: 58786.526 p48g 24774.2206 570.4475 16.515 0.025
OBS: 58787.54 p48r 23227.368 385.0775 16.585 0.018
OBS: 58789.517 p48g 43291.2375 398.727 15.909 0.01
OBS: 58789.542 p48r 25538.7714 352.8312 16.482 0.015
OBS: 58792.517 p48r 23056.8514 212.3614 16.593 0.01
OBS: 58792.545 p48g 24911.507 229.4435 16.509 0.01
OBS: 58799.488 p48r 14086.3995 324.3513 17.128 0.025
OBS: 58802.555 p48g 10844.262 249.6984 17.412 0.025
OBS: 58805.524 p48g 7741.0523 213.8932 17.778 0.03
OBS: 58814.513 p48g 3644.1815 181.2464 18.596 0.054
OBS: 58828.548 p48g 1976.9696 194.8316 19.26 0.107
OBS: 58831.444 p48r 3677.9007 264.2228 18.586 0.078
OBS: 58831.548 p48g 2097.0076 224.0442 19.196 0.116
OBS: 58833.479 p48r 3763.57 239.18 18.561 0.069
OBS: 58834.523 p48r 3509.1344 345.8274 18.637 0.107
OBS: 58837.511 p48g 1434.8285 154.6185 19.608 0.117
OBS: 58838.567 p48r 3587.5668 601.3774 18.613 0.182
OBS: 58846.545 p48g 1632.3001 93.211 19.468 0.062
OBS: 58846.565 p48r 2565.6653 103.9749 18.977 0.044
OBS: 58849.503 p48g 1741.0049 81.7798 19.398 0.051
OBS: 58851.475 p48r 2297.2063 126.9483 19.097 0.06
OBS: 58852.545 p48r 2017.4371 96.6227 19.238 0.052
OBS: 58855.479 p48g 1400.877 112.2522 19.634 0.087
OBS: 58855.542 p48r 1884.5167 100.6708 19.312 0.058
OBS: 58859.44 p48r 1470.9571 178.8338 19.581 0.132
OBS: 58859.517 p48g 1409.9379 229.8523 19.627 0.177
OBS: 58860.376 p48r 1458.8143 280.8161 19.59 0.209
OBS: 58864.385 p48r 1428.2361 146.0154 19.613 0.111
OBS: 58864.445 p48g 1376.5754 134.3945 19.653 0.106
OBS: 58866.417 p48g 1278.7923 98.9361 19.733 0.084
OBS: 58866.994 p48r 1394.4405 100.1775 19.639 0.078
OBS: 58867.143 p48g 1129.2757 98.8096 19.868 0.095
OBS: 58871.439 p48g 1035.619 88.7072 19.962 0.093
OBS: 58871.483 p48r 1260.0855 136.9486 19.749 0.118
OBS: 58871.504 p48r 1126.1597 103.7231 19.871 0.1
OBS: 58871.56 i_PS1 962.0552 64.6842 20.042 0.073
OBS: 58872.421 p48g 1023.293 147.0281 19.975 0.156
OBS: 58873.319 p48r 1152.3914 134.7967 19.846 0.127
OBS: 58873.394 p48g 976.3376 75.5362 20.026 0.084
OBS: 58873.509 p48r 1109.6857 80.7426 19.887 0.079
OBS: 58873.56 r_PS1 1210.0408 57.9534 19.793 0.052
OBS: 58875.458 p48g 1010.1829 99.5542 19.989 0.107
OBS: 58875.526 p48r 1090.4355 109.4718 19.906 0.109
OBS: 58876.378 p48g 1050.9934 75.5041 19.946 0.078
OBS: 58877.396 p48g 824.1381 99.4368 20.21 0.131
OBS: 58877.483 p48r 1028.0163 100.3648 19.97 0.106
OBS: 58878.168 p48g 960.2847 101.7123 20.044 0.115
OBS: 58878.351 p48r 852.7073 139.7963 20.173 0.178
OBS: 58879.161 p48g 1045.2014 103.9679 19.952 0.108
OBS: 58879.357 p48r 1021.4098 185.3284 19.977 0.197
OBS: 58880.462 p48g 1164.126 81.4872 19.835 0.076
OBS: 58881.003 p48r 967.3864 107.8105 20.036 0.121
OBS: 58881.481 p48g 886.3393 75.1041 20.131 0.092
OBS: 58883.449 p48g 965.6061 112.0589 20.038 0.126
OBS: 58884.014 p48r 766.3021 170.8013 20.289 0.242
OBS: 58884.376 p48g 837.1437 187.3622 20.193 0.243
OBS: 58885.002 p48r 824.8975 164.1079 20.209 0.216
OBS: 58885.433 p48g 1022.3509 177.9662 19.976 0.189
OBS: 58892.371 p48g 828.7051 162.5756 20.204 0.213
OBS: 58893.308 p48r 773.3926 100.4372 20.279 0.141
OBS: 58893.45 p48g 737.9042 125.7325 20.33 0.185
OBS: 58894.363 p48g 824.8975 101.0479 20.209 0.133
OBS: 58894.478 p48r 698.2324 113.828 20.39 0.177
OBS: 58895.398 p48g 821.8641 89.3218 20.213 0.118
OBS: 58895.442 p48r 580.7644 90.3987 20.59 0.169
