# 2019wqf 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 00.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2019wqf
RA: 217.500587
DEC: 39.945841
MWEBV: 0.011
REDSHIFT_HELIO: 0.033
REDSHIFT_CMB: 0.03454308601480549
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58838.493
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 144
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58831.57 p48g 14750.271 326.052 17.078 0.024
OBS: 58835.493 p48r 15191.477 293.8292 17.046 0.021
OBS: 58838.493 p48g 15848.9319 715.2729 17.0 0.049
OBS: 58838.555 p48r 15660.2972 562.523 17.013 0.039
OBS: 58846.553 p48g 10636.5308 117.5593 17.433 0.012
OBS: 58846.572 p48r 11220.1845 144.6784 17.375 0.014
OBS: 58850.516 p48r 9145.343 151.6171 17.597 0.018
OBS: 58850.549 p48g 7040.4432 110.2363 17.881 0.017
OBS: 58853.527 p48g 5691.1496 94.3514 18.112 0.018
OBS: 58853.555 p48r 9204.4957 110.2095 17.59 0.013
OBS: 58855.444 p48g 4821.6979 199.8427 18.292 0.045
OBS: 58855.974 p48r 8456.682 116.8334 17.682 0.015
OBS: 58856.398 p48g 4520.6408 187.3649 18.362 0.045
OBS: 58856.557 p48g 4230.5809 93.5162 18.434 0.024
OBS: 58856.573 p48r 8757.9004 129.0612 17.644 0.016
OBS: 58859.468 p48r 8519.2233 180.4694 17.674 0.023
OBS: 58860.384 p48r 7509.3094 325.0675 17.811 0.047
OBS: 58861.491 p48g 2886.689 271.1914 18.849 0.102
OBS: 58862.164 p48g 2997.7817 193.2741 18.808 0.07
OBS: 58862.397 p48r 7467.9259 275.1286 17.817 0.04
OBS: 58863.443 p48g 2659.5 181.2623 18.938 0.074
OBS: 58864.451 p48g 2407.6868 153.0117 19.046 0.069
OBS: 58864.486 p48r 7705.4854 127.7463 17.783 0.018
OBS: 58864.504 p48r 7848.741 325.3031 17.763 0.045
OBS: 58866.65 g_PS1 2153.7734 115.0545 19.167 0.058
OBS: 58866.66 z_PS1 6717.3813 136.1126 17.932 0.022
OBS: 58867.446 p48g 2091.2213 105.9347 19.199 0.055
OBS: 58867.487 p48r 6600.8521 115.5126 17.951 0.019
OBS: 58868.65 r_PS1 6177.3186 113.7904 18.023 0.02
OBS: 58868.66 g_PS1 2135.9939 100.3335 19.176 0.051
OBS: 58871.46 p48g 1580.52 98.9885 19.503 0.068
OBS: 58871.529 p48r 5267.4449 121.2874 18.196 0.025
OBS: 58872.441 p48g 1587.8154 108.22 19.498 0.074
OBS: 58872.56 p48r 5435.0057 110.1282 18.162 0.022
OBS: 58875.495 p48g 1445.4398 78.5467 19.6 0.059
OBS: 58875.552 p48r 3970.0868 117.0107 18.503 0.032
OBS: 58876.523 p48g 1413.8391 70.3185 19.624 0.054
OBS: 58876.873 p48r 4145.7203 91.6404 18.456 0.024
OBS: 58877.513 p48r 3869.0113 85.5238 18.531 0.024
OBS: 58877.546 p48g 1362.6992 100.4074 19.664 0.08
OBS: 58877.64 g_PS1 1426.9212 126.1673 19.614 0.096
OBS: 58877.64 i_PS1 3698.2818 153.281 18.58 0.045
OBS: 58878.559 p48r 3627.438 120.2758 18.601 0.036
OBS: 58878.761 p48g 1289.4366 92.634 19.724 0.078
OBS: 58879.544 p48r 3182.7315 216.9239 18.743 0.074
OBS: 58880.165 p48g 1328.0059 80.7271 19.692 0.066
OBS: 58880.523 p48r 3587.5668 92.5196 18.613 0.028
