# 2020aatr 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 10.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020aatr
RA: 129.045076
DEC: -3.435099
MWEBV: 0.031
REDSHIFT_HELIO: 0.052
REDSHIFT_CMB: 0.05289386187542244
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59189.445
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 41
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59173.462 p48g 844.1119 88.63 20.184 0.114
OBS: 59173.504 p48r 1353.9418 162.1134 19.671 0.13
OBS: 59175.484 p48r 2532.7948 349.9185 18.991 0.15
OBS: 59176.489 p48g 1801.3579 89.592 19.361 0.054
OBS: 59176.528 p48r 2654.6056 114.9142 18.94 0.047
OBS: 59178.482 p48g 2348.551 82.1976 19.073 0.038
OBS: 59178.526 p48r 3394.6891 96.9253 18.673 0.031
OBS: 59181.521 p48g 3259.8679 183.1494 18.717 0.061
OBS: 59185.395 p48r 5021.1131 208.1077 18.248 0.045
OBS: 59185.442 p48g 3787.913 226.7718 18.554 0.065
OBS: 59187.44 p48r 5166.5424 237.9281 18.217 0.05
OBS: 59187.506 p48g 3413.5007 289.2434 18.667 0.092
OBS: 59189.445 p48r 5360.4346 523.3371 18.177 0.106
OBS: 59192.399 p48g 2381.2226 543.9104 19.058 0.248
OBS: 59194.439 p48g 2011.8704 107.4741 19.241 0.058
OBS: 59194.461 p48r 3483.3732 125.1239 18.645 0.039
OBS: 59196.479 p48r 3113.1497 177.7736 18.767 0.062
OBS: 59199.402 p48r 2897.3436 146.7704 18.845 0.055
OBS: 59199.454 p48g 1139.7248 109.1714 19.858 0.104
OBS: 59201.41 p48g 1008.3238 107.7293 19.991 0.116
OBS: 59201.445 p48r 3136.1729 153.0917 18.759 0.053
OBS: 59203.416 p48g 958.5174 101.5251 20.046 0.115
OBS: 59203.458 p48r 2528.1335 137.3813 18.993 0.059
OBS: 59210.398 p48r 2416.5735 169.1567 19.042 0.076
OBS: 59213.59 r_PS1 1982.4398 136.9421 19.257 0.075
OBS: 59213.59 z_PS1 2128.139 178.3681 19.18 0.091
OBS: 59218.4 p48r 1592.2087 133.4495 19.495 0.091
OBS: 59220.56 g_PS1 261.0959 47.8552 21.458 0.199
OBS: 59220.56 z_PS1 1544.543 132.2996 19.528 0.093
OBS: 59222.337 p48r 1320.6873 100.961 19.698 0.083
OBS: 59222.51 g_PS1 361.0771 71.5013 21.106 0.215
OBS: 59222.51 i_PS1 1374.042 87.3222 19.655 0.069
OBS: 59224.374 p48r 912.0108 120.119 20.1 0.143
OBS: 59226.412 p48r 1023.293 126.2933 19.975 0.134
OBS: 59228.343 p48r 759.2766 85.317 20.299 0.122
OBS: 59230.429 p48r 763.4841 122.3559 20.293 0.174
OBS: 59232.353 p48r 821.1075 80.9207 20.214 0.107
OBS: 59248.383 p48r 757.1815 111.5824 20.302 0.16
OBS: 59250.41 p48r 722.437 136.4048 20.353 0.205
OBS: 59252.43 r_PS1 432.9124 63.7963 20.909 0.16
OBS: 59256.35 i_PS1 401.0514 70.552 20.992 0.191
END:
