# 2020abim 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020abim
RA: 193.373492
DEC: -5.431795
MWEBV: 0.026
REDSHIFT_HELIO: 0.0157
REDSHIFT_CMB: 0.016603347279536385
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59180.561
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 102
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59180.561 p48r 5942.9216 372.207 18.065 0.068
OBS: 59184.505 p48r 5628.595 321.4159 18.124 0.062
OBS: 59184.527 p48g 4081.3139 285.6862 18.473 0.076
OBS: 59185.511 p48g 4301.3026 305.0468 18.416 0.077
OBS: 59185.536 p48r 5685.9102 219.9505 18.113 0.042
OBS: 59187.529 p48g 3594.1815 314.4845 18.611 0.095
OBS: 59189.509 p48g 4333.1129 347.2122 18.408 0.087
OBS: 59194.515 p48r 4199.5233 166.3199 18.442 0.043
OBS: 59196.511 p48r 3483.3732 227.7897 18.645 0.071
OBS: 59198.63 g_PS1 3551.4033 124.2966 18.624 0.038
OBS: 59198.64 i_PS1 2873.4259 201.1358 18.854 0.076
OBS: 59199.519 p48r 3410.3582 185.3223 18.668 0.059
OBS: 59199.543 p48g 3512.3679 135.8704 18.636 0.042
OBS: 59204.468 p48g 3296.0971 133.576 18.705 0.044
OBS: 59206.64 i_PS1 2276.1454 85.9527 19.107 0.041
OBS: 59206.64 g_PS1 3235.9366 65.569 18.725 0.022
OBS: 59209.63 r_PS1 2681.6371 88.9156 18.929 0.036
OBS: 59209.63 z_PS1 747.4807 152.1486 20.316 0.221
OBS: 59213.65 i_PS1 1510.7757 105.7522 19.552 0.076
OBS: 59213.66 r_PS1 2407.6868 113.0956 19.046 0.051
OBS: 59215.542 p48r 2120.3131 289.0263 19.184 0.148
OBS: 59216.514 p48r 2187.7616 263.9654 19.15 0.131
OBS: 59216.543 p48g 2372.466 382.3963 19.062 0.175
OBS: 59216.64 i_PS1 2013.7242 222.565 19.24 0.12
OBS: 59216.64 r_PS1 2193.815 212.1607 19.147 0.105
OBS: 59218.479 p48g 3064.7849 214.5306 18.784 0.076
OBS: 59218.498 p48r 1989.7568 166.7697 19.253 0.091
OBS: 59221.501 p48g 2772.0432 148.0825 18.893 0.058
OBS: 59221.525 p48r 1731.4103 306.1801 19.404 0.192
OBS: 59223.482 p48r 1872.4059 172.455 19.319 0.1
OBS: 59223.542 p48g 2307.8097 144.5388 19.092 0.068
OBS: 59225.482 p48g 2921.4604 295.9841 18.836 0.11
OBS: 59225.62 i_PS1 1361.4447 144.2027 19.665 0.115
OBS: 59225.62 g_PS1 2355.0493 158.3429 19.07 0.073
OBS: 59227.503 p48r 1419.0575 148.998 19.62 0.114
OBS: 59229.505 p48r 1502.4499 200.6521 19.558 0.145
OBS: 59229.59 i_PS1 1296.582 80.0111 19.718 0.067
OBS: 59229.59 g_PS1 2387.8113 65.9777 19.055 0.03
OBS: 59231.61 g_PS1 2342.0707 97.0707 19.076 0.045
OBS: 59231.61 i_PS1 1204.4811 84.312 19.798 0.076
OBS: 59238.56 r_PS1 1272.9167 118.4124 19.738 0.101
OBS: 59243.56 i_PS1 937.562 119.1667 20.07 0.138
OBS: 59243.57 r_PS1 1139.7248 163.7572 19.858 0.156
OBS: 59244.63 r_PS1 979.9412 183.2195 20.022 0.203
OBS: 59249.412 p48r 1190.1453 236.7715 19.811 0.216
OBS: 59249.436 p48g 1750.6527 299.9084 19.392 0.186
OBS: 59251.461 p48r 715.1547 107.3651 20.364 0.163
OBS: 59253.383 p48g 1770.109 130.4264 19.38 0.08
OBS: 59253.485 p48r 895.3648 112.154 20.12 0.136
OBS: 59254.59 g_PS1 1644.3717 221.1203 19.46 0.146
OBS: 59255.395 p48g 1699.8085 101.7628 19.424 0.065
OBS: 59255.416 p48r 796.5261 93.1707 20.247 0.127
OBS: 59257.382 p48g 1315.8307 224.2061 19.702 0.185
OBS: 59257.58 r_PS1 748.8589 62.0752 20.314 0.09
OBS: 59257.58 g_PS1 1411.2371 75.3883 19.626 0.058
OBS: 59262.375 p48r 554.1151 112.279 20.641 0.22
OBS: 59264.417 p48g 1586.3536 93.5095 19.499 0.064
OBS: 59264.511 p48r 721.1075 106.2663 20.355 0.16
OBS: 59266.36 p48r 1358.9391 289.1263 19.667 0.231
OBS: 59267.56 i_PS1 587.76 79.0367 20.577 0.146
OBS: 59267.56 r_PS1 522.8776 72.2382 20.704 0.15
OBS: 59268.416 p48r 520.9547 127.6313 20.708 0.266
OBS: 59268.438 p48g 1551.6723 140.056 19.523 0.098
OBS: 59269.52 r_PS1 536.5374 131.449 20.676 0.266
OBS: 59270.399 p48g 1249.6834 252.0692 19.758 0.219
OBS: 59277.53 i_PS1 586.6783 94.5614 20.579 0.175
OBS: 59277.53 r_PS1 386.5449 86.5131 21.032 0.243
OBS: 59291.295 p48g 906.1498 118.5125 20.107 0.142
OBS: 59293.295 p48g 1211.1558 131.6309 19.792 0.118
OBS: 59293.42 g_PS1 963.829 97.6491 20.04 0.11
OBS: 59296.45 g_PS1 871.7661 92.3365 20.149 0.115
OBS: 59296.46 i_PS1 405.8822 87.8504 20.979 0.235
OBS: 59307.315 p48g 960.2847 91.9833 20.044 0.104
OBS: 59309.295 p48g 740.6278 105.0501 20.326 0.154
