# 2020add 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.03 (yyyy.mm.dd); 12.01 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020add
RA: 155.009404
DEC: 6.631779
MWEBV: 0.019
REDSHIFT_HELIO: 0.108
REDSHIFT_CMB: 0.10855225617835562
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58867.372
FILTERS: g_PS1,i_PS1,p48g,p48r
# -----------------------------------------------------------
NOBS: 23
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58863.419 p48g 1192.3397 157.0405 19.809 0.143
OBS: 58865.49 i_PS1 1358.9391 81.3559 19.667 0.065
OBS: 58865.49 g_PS1 1400.877 72.2543 19.634 0.056
OBS: 58867.372 p48r 1794.7336 112.4047 19.365 0.068
OBS: 58869.47 i_PS1 1388.0337 65.1997 19.644 0.051
OBS: 58869.48 g_PS1 1718.6997 69.6512 19.412 0.044
OBS: 58873.33 p48r 1793.0814 113.9527 19.366 0.069
OBS: 58873.358 p48g 1684.2246 89.9712 19.434 0.058
OBS: 58875.47 g_PS1 1580.52 78.6085 19.503 0.054
OBS: 58875.47 i_PS1 1291.814 96.3742 19.722 0.081
OBS: 58876.337 p48r 1763.5996 100.7088 19.384 0.062
OBS: 58876.379 p48g 1524.7548 84.2611 19.542 0.06
OBS: 58878.49 g_PS1 1246.2352 134.2955 19.761 0.117
OBS: 58879.27 p48g 1397.0116 169.8438 19.637 0.132
OBS: 58879.352 p48r 1510.7757 203.1555 19.552 0.146
OBS: 58882.48 i_PS1 749.5489 70.4167 20.313 0.102
OBS: 58882.49 g_PS1 1165.1987 77.2695 19.834 0.072
OBS: 58883.286 p48r 879.8325 215.5546 20.139 0.266
OBS: 58883.418 p48g 807.6069 167.3625 20.232 0.225
OBS: 58891.293 p48r 795.7928 189.8346 20.248 0.259
OBS: 58894.273 p48r 639.7348 97.8101 20.485 0.166
OBS: 58898.336 p48r 710.5588 86.3872 20.371 0.132
OBS: 58901.372 p48r 621.7274 124.2612 20.516 0.217
END:
