# 2020adkc 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 19.59 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020adkc
RA: 154.081739
DEC: -1.516317
MWEBV: 0.037
REDSHIFT_HELIO: 0.0917
REDSHIFT_CMB: 0.09276457490059609
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59222.91754469445
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 57
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59204.463 p48g 1595.1444 82.2742 19.493 0.056
OBS: 59205.58 g_PS1 1801.3579 66.3645 19.361 0.04
OBS: 59205.59 z_PS1 1170.577 93.7983 19.829 0.087
OBS: 59208.54 z_PS1 1658.0591 96.2091 19.451 0.063
OBS: 59208.55 r_PS1 2429.9649 71.6186 19.036 0.032
OBS: 59210.422 p48r 3212.1809 251.4749 18.733 0.085
OBS: 59212.64 i_PS1 2518.8366 95.1173 18.997 0.041
OBS: 59212.64 r_PS1 3385.3221 93.5399 18.676 0.03
OBS: 59214.62 z_PS1 2072.0489 146.9489 19.209 0.077
OBS: 59214.62 r_PS1 3496.23 212.5297 18.641 0.066
OBS: 59216.403 p48r 4238.3811 597.2651 18.432 0.153
OBS: 59216.442 p48g 4301.3026 229.7755 18.416 0.058
OBS: 59219.439 p48g 3981.0717 168.6683 18.5 0.046
OBS: 59220.433 p48r 4222.795 287.811 18.436 0.074
OBS: 59220.479 p48g 4975.0792 1012.67 18.258 0.221
OBS: 59221.55 g_PS1 3584.2641 151.8565 18.614 0.046
OBS: 59221.55 i_PS1 2327.0194 169.3179 19.083 0.079
OBS: 59222.404 p48g 3701.6896 95.4627 18.579 0.028
OBS: 59222.441 p48r 4191.7947 111.9628 18.444 0.029
OBS: 59222.52 g_PS1 3763.57 117.8568 18.561 0.034
OBS: 59222.52 r_PS1 4006.8215 84.8796 18.493 0.023
OBS: 59224.478 p48g 3363.5664 136.3102 18.683 0.044
OBS: 59224.489 p48r 3844.1471 159.3266 18.538 0.045
OBS: 59226.419 p48r 3483.3732 125.1239 18.645 0.039
OBS: 59226.441 p48g 3162.2777 110.6775 18.75 0.038
OBS: 59228.419 p48g 3076.0968 87.8289 18.78 0.031
OBS: 59228.462 p48r 3323.533 110.1991 18.696 0.036
OBS: 59230.448 p48r 2852.3315 110.338 18.862 0.042
OBS: 59230.466 p48g 2374.6521 91.8597 19.061 0.042
OBS: 59230.6 g_PS1 2475.1413 98.0266 19.016 0.043
OBS: 59230.61 r_PS1 2841.8425 94.2276 18.866 0.036
OBS: 59232.438 p48g 2106.6869 75.6729 19.191 0.039
OBS: 59235.53 i_PS1 1534.617 130.036 19.535 0.092
OBS: 59242.53 r_PS1 1894.9598 176.2776 19.306 0.101
OBS: 59249.382 p48r 1667.2472 277.942 19.445 0.181
OBS: 59251.373 p48g 575.9702 98.6708 20.599 0.186
OBS: 59251.444 p48r 1599.558 97.2343 19.49 0.066
OBS: 59253.337 p48r 1446.7717 83.9491 19.599 0.063
OBS: 59253.359 p48g 493.8556 67.319 20.766 0.148
OBS: 59253.51 g_PS1 388.3292 56.511 21.027 0.158
OBS: 59253.51 i_PS1 1408.6399 85.6288 19.628 0.066
OBS: 59255.361 p48g 457.931 61.5784 20.848 0.146
OBS: 59255.52 r_PS1 1084.4262 69.9155 19.912 0.07
OBS: 59255.52 g_PS1 448.7454 70.2627 20.87 0.17
OBS: 59257.401 p48r 897.8422 139.7534 20.117 0.169
OBS: 59261.44 i_PS1 837.1437 77.1038 20.193 0.1
OBS: 59261.45 g_PS1 394.0942 64.9724 21.011 0.179
OBS: 59262.351 p48r 976.3376 94.4202 20.026 0.105
OBS: 59264.358 p48r 954.1134 84.362 20.051 0.096
OBS: 59267.46 r_PS1 742.677 74.5594 20.323 0.109
OBS: 59267.47 z_PS1 383.7072 93.2996 21.04 0.264
OBS: 59268.336 p48r 719.1177 121.8691 20.358 0.184
OBS: 59278.281 p48r 612.0685 133.0417 20.533 0.236
OBS: 59281.247 p48r 674.2175 106.8081 20.428 0.172
OBS: 59304.3 r_PS1 368.129 70.8634 21.085 0.209
OBS: 59305.31 r_PS1 265.95 63.4418 21.438 0.259
OBS: 59308.27 p48g 302.552 74.9597 21.298 0.269
END:
