# 2020adlp 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 15.24 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020adlp
RA: 121.756457
DEC: 39.707651
MWEBV: 0.039
REDSHIFT_HELIO: 0.0785
REDSHIFT_CMB: 0.07898200024143254
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59217.25192680962
FILTERS: i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 57
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59203.395 p48g 705.9924 79.3296 20.378 0.122
OBS: 59205.386 p48g 1157.7106 61.8449 19.841 0.058
OBS: 59210.262 p48g 3590.8726 201.7463 18.612 0.061
OBS: 59210.385 p48r 2826.1812 166.5926 18.872 0.064
OBS: 59216.321 p48r 4839.4945 156.0069 18.288 0.035
OBS: 59216.457 p48g 5204.7515 215.7189 18.209 0.045
OBS: 59218.323 p48g 5872.1887 216.3394 18.078 0.04
OBS: 59218.408 p48r 4621.6814 119.1883 18.338 0.028
OBS: 59220.3 p48r 4596.2114 101.5984 18.344 0.024
OBS: 59220.348 p48g 5011.8723 120.0187 18.25 0.026
OBS: 59222.348 p48r 4998.0431 101.2741 18.253 0.022
OBS: 59222.366 p48g 5044.2895 83.6273 18.243 0.018
OBS: 59224.31 p48r 4570.8819 96.8286 18.35 0.023
OBS: 59224.432 p48g 4397.4408 105.305 18.392 0.026
OBS: 59226.341 p48g 4062.562 93.5439 18.478 0.025
OBS: 59226.434 p48r 4289.4341 118.5214 18.419 0.03
OBS: 59226.45 r_PS1 4168.6938 76.7902 18.45 0.02
OBS: 59228.328 p48r 4058.8219 89.7195 18.479 0.024
OBS: 59228.43 p48g 4036.4539 81.7897 18.485 0.022
OBS: 59230.286 p48r 3604.1263 92.9466 18.608 0.028
OBS: 59230.34 p48g 3385.3221 93.5399 18.676 0.03
OBS: 59232.326 p48r 3259.8679 81.0661 18.717 0.027
OBS: 59232.428 p48g 3003.3089 71.9199 18.806 0.026
OBS: 59237.4 r_PS1 2647.2807 114.5971 18.943 0.047
OBS: 59237.4 i_PS1 1496.9249 111.6762 19.562 0.081
OBS: 59244.5 r_PS1 2126.1799 217.3695 19.181 0.111
OBS: 59244.5 z_PS1 1232.5371 267.9092 19.773 0.236
OBS: 59245.52 i_PS1 1921.3213 116.7938 19.291 0.066
OBS: 59245.945 r_PS1 1973.3313 109.0503 19.262 0.06
OBS: 59246.35 z_PS1 1153.4533 125.3596 19.845 0.118
OBS: 59249.321 p48r 2193.815 133.3582 19.147 0.066
OBS: 59251.28 p48g 733.1621 64.1504 20.337 0.095
OBS: 59251.306 p48r 1969.6996 85.2655 19.264 0.047
OBS: 59252.36 r_PS1 1635.3097 66.2717 19.466 0.044
OBS: 59253.236 p48g 745.4182 107.1027 20.319 0.156
OBS: 59257.218 p48r 1496.9249 62.0423 19.562 0.045
OBS: 59257.45 i_PS1 1366.4697 60.4111 19.661 0.048
OBS: 59262.219 p48r 1288.2496 97.2948 19.725 0.082
OBS: 59262.285 p48g 338.8442 79.8943 21.175 0.256
OBS: 59262.34 r_PS1 1102.5543 66.0069 19.894 0.065
OBS: 59264.216 p48r 1129.2757 84.2482 19.868 0.081
OBS: 59264.263 p48g 536.0435 78.9943 20.677 0.16
OBS: 59266.237 p48r 1038.4845 178.8617 19.959 0.187
OBS: 59268.295 p48r 864.5697 137.7596 20.158 0.173
OBS: 59272.226 p48r 1048.0934 204.6499 19.949 0.212
OBS: 59276.216 p48g 351.2368 61.4652 21.136 0.19
OBS: 59276.278 p48r 647.4407 106.7404 20.472 0.179
OBS: 59280.212 p48g 336.9768 53.6935 21.181 0.173
OBS: 59280.257 p48r 677.9536 72.4325 20.422 0.116
OBS: 59290.216 p48g 274.41 60.1524 21.404 0.238
OBS: 59290.245 p48r 519.039 77.9226 20.712 0.163
OBS: 59292.225 p48r 449.5728 81.9862 20.868 0.198
OBS: 59294.207 p48r 514.7543 115.2078 20.721 0.243
OBS: 59306.215 p48r 386.5449 75.1204 21.032 0.211
OBS: 59308.2 p48r 403.6454 76.5849 20.985 0.206
OBS: 59314.182 p48r 343.5579 71.8293 21.16 0.227
OBS: 59316.18 p48r 304.5089 65.0674 21.291 0.232
END:
