# 2020aeqp 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.14 (yyyy.mm.dd); 11.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020aeqp
RA: 187.34065
DEC: 31.254522
MWEBV: 0.011
REDSHIFT_HELIO: 0.06
REDSHIFT_CMB: 0.060019223955074086
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59221.61579665668
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 72
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59220.63 r_PS1 7691.3044 106.2593 17.785 0.015
OBS: 59220.63 i_PS1 4508.167 116.2609 18.365 0.028
OBS: 59220.63 z_PS1 3674.5148 121.8367 18.587 0.036
OBS: 59220.63 g_PS1 8348.3375 138.4039 17.696 0.018
OBS: 59221.62 z_PS1 3815.9265 130.0401 18.546 0.037
OBS: 59221.62 i_PS1 4321.1565 87.5585 18.411 0.022
OBS: 59221.62 r_PS1 7467.9259 103.1732 17.817 0.015
OBS: 59221.62 g_PS1 7726.8059 135.2164 17.78 0.019
OBS: 59222.58 z_PS1 3476.9624 150.5128 18.647 0.047
OBS: 59222.58 g_PS1 8016.7806 147.6746 17.74 0.02
OBS: 59222.58 r_PS1 7385.8418 115.6444 17.829 0.017
OBS: 59222.58 i_PS1 4055.0854 108.3113 18.48 0.029
OBS: 59226.63 z_PS1 2618.183 151.9204 18.955 0.063
OBS: 59226.63 g_PS1 6842.2667 138.6431 17.912 0.022
OBS: 59226.63 r_PS1 6692.6791 129.4479 17.936 0.021
OBS: 59226.63 i_PS1 3197.4223 129.5771 18.738 0.044
OBS: 59228.66 r_PS1 6205.8318 200.0524 18.018 0.035
OBS: 59228.66 z_PS1 2434.4452 246.6428 19.034 0.11
OBS: 59228.66 i_PS1 3571.0835 164.4545 18.618 0.05
OBS: 59228.67 g_PS1 6444.6598 189.944 17.977 0.032
OBS: 59230.065 g_PS1 5515.6919 167.6446 18.146 0.033
OBS: 59230.203 z_PS1 2432.204 304.6594 19.035 0.136
OBS: 59230.207 i_PS1 3022.7345 178.1786 18.799 0.064
OBS: 59230.207 r_PS1 5888.4366 168.127 18.075 0.031
OBS: 59231.475 z_PS1 2060.6299 277.0949 19.215 0.146
OBS: 59231.475 i_PS1 2857.5905 194.7634 18.86 0.074
OBS: 59231.48 r_PS1 5430.0021 200.0487 18.163 0.04
OBS: 59231.48 g_PS1 4512.3211 245.2041 18.364 0.059
OBS: 59235.47 r_PS1 4341.1021 199.9151 18.406 0.05
OBS: 59235.47 z_PS1 1655.0076 272.853 19.453 0.179
OBS: 59235.47 g_PS1 3580.9644 234.1715 18.615 0.071
OBS: 59235.47 i_PS1 2120.3131 165.9948 19.184 0.085
OBS: 59236.917 r_PS1 3992.087 286.7941 18.497 0.078
OBS: 59237.055 z_PS1 1865.5204 384.8785 19.323 0.224
OBS: 59237.055 g_PS1 3104.5596 343.1286 18.77 0.12
OBS: 59237.055 i_PS1 2030.486 252.4698 19.231 0.135
OBS: 59238.47 r_PS1 3554.6758 265.1922 18.623 0.081
OBS: 59242.53 r_PS1 3801.894 406.1942 18.55 0.116
OBS: 59242.53 i_PS1 3293.0627 415.5241 18.706 0.137
OBS: 59252.42 r_PS1 2813.1961 145.0988 18.877 0.056
OBS: 59252.42 i_PS1 2151.7906 364.6645 19.168 0.184
OBS: 59253.44 i_PS1 1991.5903 330.178 19.252 0.18
OBS: 59253.44 r_PS1 2352.8812 286.055 19.071 0.132
OBS: 59254.39 i_PS1 2159.7327 360.0429 19.164 0.181
OBS: 59254.39 g_PS1 1204.4811 291.7638 19.798 0.263
OBS: 59254.39 r_PS1 2147.8305 231.4523 19.17 0.117
OBS: 59256.42 i_PS1 2072.0489 129.7731 19.209 0.068
OBS: 59256.42 z_PS1 1758.7334 349.8883 19.387 0.216
OBS: 59256.42 r_PS1 2043.6193 199.5178 19.224 0.106
OBS: 59257.39 i_PS1 1580.52 240.1926 19.503 0.165
OBS: 59258.405 r_PS1 1712.3794 247.6141 19.416 0.157
OBS: 59258.405 i_PS1 1673.4009 322.1232 19.441 0.209
OBS: 59261.147 i_PS1 1592.2087 180.3768 19.495 0.123
OBS: 59261.147 r_PS1 1282.3306 174.7984 19.73 0.148
OBS: 59262.4 i_PS1 1261.2466 153.3379 19.748 0.132
OBS: 59262.4 r_PS1 1460.1585 157.3481 19.589 0.117
OBS: 59262.4 z_PS1 1472.3125 261.7176 19.58 0.193
OBS: 59267.39 r_PS1 1645.8869 242.5469 19.459 0.16
OBS: 59267.39 z_PS1 1037.5284 254.1893 19.96 0.266
OBS: 59268.39 r_PS1 1177.0638 249.3466 19.823 0.23
OBS: 59268.39 i_PS1 1441.4514 302.6987 19.603 0.228
OBS: 59277.35 r_PS1 1272.9167 180.5495 19.738 0.154
