# 2020dow 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020dow
RA: 137.983396
DEC: 27.900481
MWEBV: 0.024
REDSHIFT_HELIO: 0.0474
REDSHIFT_CMB: 0.04884858179779372
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58917.232
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 46
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58903.213 p48r 915.377 85.9955 20.096 0.102
OBS: 58903.272 p48g 822.6214 76.5239 20.212 0.101
OBS: 58905.206 p48r 2450.1913 142.1727 19.027 0.063
OBS: 58906.215 p48r 3314.3625 119.053 18.699 0.039
OBS: 58906.273 p48g 3432.4167 113.8094 18.661 0.036
OBS: 58909.251 p48g 6498.3036 173.5696 17.968 0.029
OBS: 58909.305 p48r 6092.5626 129.0635 18.038 0.023
OBS: 58912.215 p48r 8806.4323 170.3315 17.638 0.021
OBS: 58912.245 p48g 11397.248 188.9506 17.358 0.018
OBS: 58917.159 p48r 9281.1117 1974.6388 17.581 0.231
OBS: 58917.232 p48g 14177.5112 1436.3767 17.121 0.11
OBS: 58919.41 i_PS1 6613.0225 109.6347 17.949 0.018
OBS: 58919.41 r_PS1 11418.2619 178.7823 17.356 0.017
OBS: 58922.4 r_PS1 11066.2378 163.0781 17.39 0.016
OBS: 58922.4 i_PS1 6137.6201 141.3239 18.03 0.025
OBS: 58930.24 g_PS1 8046.37 148.2196 17.736 0.02
OBS: 58934.24 g_PS1 5959.3652 181.1297 18.062 0.033
OBS: 58939.194 p48r 5602.7339 144.4886 18.129 0.028
OBS: 58940.195 p48r 7502.3963 732.456 17.812 0.106
OBS: 58947.34 r_PS1 4218.9075 147.6588 18.437 0.038
OBS: 58947.34 z_PS1 3483.3732 173.2485 18.645 0.054
OBS: 58954.18 p48g 1304.9684 82.9325 19.711 0.069
OBS: 58954.206 p48r 3101.7015 97.1303 18.771 0.034
OBS: 58957.3 g_PS1 1079.4437 70.5885 19.917 0.071
OBS: 58957.31 i_PS1 2782.2747 99.9402 18.889 0.039
OBS: 58961.27 r_PS1 2183.7353 70.3953 19.152 0.035
OBS: 58961.28 g_PS1 910.3324 51.1453 20.102 0.061
OBS: 58962.174 p48r 2159.7327 93.4918 19.164 0.047
OBS: 58962.207 p48g 897.8422 91.7907 20.117 0.111
OBS: 58965.206 p48g 703.3962 80.3336 20.382 0.124
OBS: 58967.145 p48r 2051.1622 111.4622 19.22 0.059
OBS: 58972.163 p48r 1784.8429 157.8145 19.371 0.096
OBS: 58972.214 p48g 1163.0543 228.1683 19.836 0.213
OBS: 58973.255 r_PS1 1720.2834 88.7286 19.411 0.056
OBS: 58973.26 i_PS1 1116.8632 86.4082 19.88 0.084
OBS: 58975.154 p48r 1400.877 147.0891 19.634 0.114
OBS: 58978.185 p48g 627.4802 90.7351 20.506 0.157
OBS: 58978.234 p48r 1541.7005 146.2557 19.53 0.103
OBS: 58981.173 p48g 646.8447 80.4284 20.473 0.135
OBS: 58981.215 p48r 1370.2506 124.9427 19.658 0.099
OBS: 58987.185 p48r 917.0647 89.5327 20.094 0.106
OBS: 58987.26 g_PS1 735.1907 85.3191 20.334 0.126
OBS: 58989.27 g_PS1 795.7928 97.4826 20.248 0.133
OBS: 58989.27 i_PS1 528.6887 83.2668 20.692 0.171
OBS: 59011.177 p48r 844.8897 217.11 20.183 0.279
OBS: 59012.182 p48r 684.2267 141.1639 20.412 0.224
END:
