# 2020dwg 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020dwg
RA: 239.603346
DEC: 32.968919
MWEBV: 0.033
REDSHIFT_HELIO: 0.048
REDSHIFT_CMB: 0.048349617524985566
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58922.15955826689
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 48
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58918.61 r_PS1 6692.6791 123.2837 17.936 0.02
OBS: 58918.61 i_PS1 5282.0195 116.7581 18.193 0.024
OBS: 58931.57 g_PS1 5931.9844 109.2712 18.067 0.02
OBS: 58931.58 r_PS1 7488.5891 110.3559 17.814 0.016
OBS: 58935.59 g_PS1 4425.8837 138.5972 18.385 0.034
OBS: 58935.59 i_PS1 3531.8317 175.6586 18.63 0.054
OBS: 58945.56 r_PS1 4664.4453 171.8445 18.328 0.04
OBS: 58950.59 z_PS1 2862.8593 200.3961 18.858 0.076
OBS: 58950.59 r_PS1 3760.1052 159.3065 18.562 0.046
OBS: 58955.48 g_PS1 773.3926 74.7937 20.279 0.105
OBS: 58955.49 z_PS1 2560.9435 148.5991 18.979 0.063
OBS: 58956.46 g_PS1 772.6806 68.3199 20.28 0.096
OBS: 58956.47 r_PS1 2625.4273 72.5432 18.952 0.03
OBS: 58958.52 i_PS1 2443.4306 72.0154 19.03 0.032
OBS: 58958.52 g_PS1 815.0796 52.5501 20.222 0.07
OBS: 58960.46 g_PS1 723.769 61.9953 20.351 0.093
OBS: 58960.47 r_PS1 2098.9399 65.7286 19.195 0.034
OBS: 58962.47 i_PS1 1998.9411 143.6052 19.248 0.078
OBS: 58962.48 g_PS1 651.0285 139.7113 20.466 0.233
OBS: 58966.46 r_PS1 1749.041 57.9933 19.393 0.036
OBS: 58966.46 g_PS1 529.1758 57.5119 20.691 0.118
OBS: 58968.48 g_PS1 600.897 60.8791 20.553 0.11
OBS: 58968.48 i_PS1 1356.4382 79.9568 19.669 0.064
OBS: 58970.49 g_PS1 516.1786 64.1814 20.718 0.135
OBS: 58970.49 i_PS1 1308.5792 84.3672 19.708 0.07
OBS: 58972.48 r_PS1 1332.9075 68.7486 19.688 0.056
OBS: 58972.48 i_PS1 1361.4447 86.5216 19.665 0.069
OBS: 58973.46 r_PS1 1353.9418 72.3275 19.671 0.058
OBS: 58973.47 z_PS1 621.155 110.4162 20.517 0.193
OBS: 58975.44 i_PS1 1014.8457 99.079 19.984 0.106
OBS: 58975.44 r_PS1 1404.7531 107.3875 19.631 0.083
OBS: 58983.48 z_PS1 549.035 131.4768 20.651 0.26
OBS: 58985.38 i_PS1 727.1098 59.6027 20.346 0.089
OBS: 58985.38 g_PS1 560.7897 51.1341 20.628 0.099
OBS: 58993.38 g_PS1 537.5266 76.7375 20.674 0.155
OBS: 58993.38 i_PS1 512.8614 119.5078 20.725 0.253
OBS: 58998.36 g_PS1 352.858 52.6491 21.131 0.162
OBS: 58998.36 z_PS1 372.5632 78.2367 21.072 0.228
OBS: 59009.35 i_PS1 460.4686 59.7991 20.842 0.141
OBS: 59009.35 r_PS1 639.7348 51.2619 20.485 0.087
OBS: 59016.35 g_PS1 294.5778 49.6509 21.327 0.183
OBS: 59020.33 g_PS1 328.3976 72.5917 21.209 0.24
OBS: 59028.29 g_PS1 275.6767 53.8284 21.399 0.212
OBS: 59029.3 i_PS1 311.0284 50.4183 21.268 0.176
OBS: 59029.3 g_PS1 348.0166 54.491 21.146 0.17
OBS: 59039.36 r_PS1 350.5904 47.1442 21.138 0.146
OBS: 59039.36 i_PS1 265.4606 59.1686 21.44 0.242
OBS: 59042.3 g_PS1 245.9235 44.6213 21.523 0.197
END:
