# 2020ees 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020ees
RA: 201.8133
DEC: 32.03363
MWEBV: 0.012
REDSHIFT_HELIO: 0.0244
REDSHIFT_CMB: 0.02540284361468159
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58929.53
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 63
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58929.53 r_PS1 32779.3245 211.3361 16.211 0.007
OBS: 58929.53 g_PS1 30507.035 449.5683 16.289 0.016
OBS: 58934.5 r_PS1 28287.8539 286.5948 16.371 0.011
OBS: 58934.5 g_PS1 28628.5927 316.4149 16.358 0.012
OBS: 58949.37 r_PS1 15289.7365 168.9884 17.039 0.012
OBS: 58949.37 z_PS1 12325.371 227.0417 17.273 0.02
OBS: 58957.54 g_PS1 4755.5418 105.1204 18.307 0.024
OBS: 58957.54 i_PS1 11651.9872 128.7825 17.334 0.012
OBS: 58959.36 g_PS1 4835.0392 93.5179 18.289 0.021
OBS: 58959.36 r_PS1 11397.248 115.4698 17.358 0.011
OBS: 58963.289 p48g 4036.4539 85.5074 18.485 0.023
OBS: 58964.291 p48r 9120.1084 117.599 17.6 0.014
OBS: 58967.37 i_PS1 7053.4241 90.9502 17.879 0.014
OBS: 58967.37 g_PS1 3274.9148 72.3914 18.712 0.024
OBS: 58970.37 g_PS1 2900.0134 106.8404 18.844 0.04
OBS: 58970.38 z_PS1 6643.5468 159.0923 17.944 0.026
OBS: 58976.42 r_PS1 5370.318 197.8498 18.175 0.04
OBS: 58976.43 i_PS1 4293.3866 173.9916 18.418 0.044
OBS: 58978.29 p48r 5166.5424 137.9983 18.217 0.029
OBS: 58981.4 i_PS1 3926.4494 112.1082 18.515 0.031
OBS: 58981.4 r_PS1 4655.8609 90.0523 18.33 0.021
OBS: 58984.28 i_PS1 3400.9481 84.5745 18.671 0.027
OBS: 58984.28 g_PS1 2278.2428 73.4419 19.106 0.035
OBS: 58987.38 r_PS1 3812.4135 87.7841 18.547 0.025
OBS: 58987.38 g_PS1 2261.5177 85.4003 19.114 0.041
OBS: 58992.28 g_PS1 1967.8863 54.3747 19.265 0.03
OBS: 58992.29 r_PS1 3317.4165 70.2754 18.698 0.023
OBS: 58999.36 z_PS1 1397.0116 87.4953 19.637 0.068
OBS: 58999.36 g_PS1 1828.1002 67.3497 19.345 0.04
OBS: 59003.38 z_PS1 1747.4309 268.777 19.394 0.167
OBS: 59003.38 r_PS1 2363.7416 141.5106 19.066 0.065
OBS: 59005.27 i_PS1 1739.4021 227.4909 19.399 0.142
OBS: 59009.35 r_PS1 2135.9939 68.8563 19.176 0.035
OBS: 59009.36 z_PS1 1155.58 96.8539 19.843 0.091
OBS: 59011.41 i_PS1 1473.6692 146.5883 19.579 0.108
OBS: 59011.41 r_PS1 1939.0991 116.0885 19.281 0.065
OBS: 59015.31 g_PS1 1555.9656 78.8204 19.52 0.055
OBS: 59015.31 i_PS1 1279.9706 70.7338 19.732 0.06
OBS: 59017.3 g_PS1 1403.4599 96.9476 19.632 0.075
OBS: 59017.3 r_PS1 1766.8513 84.6212 19.382 0.052
OBS: 59020.34 i_PS1 1090.4355 71.3073 19.906 0.071
OBS: 59020.34 g_PS1 1296.582 69.2634 19.718 0.058
OBS: 59029.28 i_PS1 871.7661 50.5844 20.149 0.063
OBS: 59029.28 g_PS1 1200.0518 68.5279 19.802 0.062
OBS: 59031.3 i_PS1 958.5174 89.1655 20.046 0.101
OBS: 59031.3 r_PS1 1245.0879 91.7415 19.762 0.08
OBS: 59036.27 r_PS1 1130.3163 67.6689 19.867 0.065
OBS: 59038.33 r_PS1 1017.6537 109.6634 19.981 0.117
OBS: 59038.34 i_PS1 470.7605 96.2562 20.818 0.222
OBS: 59042.28 z_PS1 332.3533 68.8745 21.196 0.225
OBS: 59042.28 g_PS1 1045.2014 64.4986 19.952 0.067
OBS: 59044.28 i_PS1 595.9365 57.0833 20.562 0.104
OBS: 59044.28 g_PS1 901.9864 73.9377 20.112 0.089
OBS: 59048.27 i_PS1 487.9777 57.9783 20.779 0.129
OBS: 59048.27 g_PS1 912.0108 64.6795 20.1 0.077
OBS: 59052.32 r_PS1 634.4538 71.2911 20.494 0.122
OBS: 59052.33 g_PS1 716.4733 67.3094 20.362 0.102
OBS: 59058.28 g_PS1 819.5963 123.7997 20.216 0.164
OBS: 59061.27 r_PS1 553.605 96.369 20.642 0.189
OBS: 59061.28 i_PS1 483.5039 97.0805 20.789 0.218
OBS: 59066.28 r_PS1 648.0373 103.2575 20.471 0.173
OBS: 59076.27 g_PS1 567.0221 68.9366 20.616 0.132
OBS: 59104.24 g_PS1 607.5751 92.8932 20.541 0.166
END:
