# 2020evu 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020evu
RA: 238.12045
DEC: 24.494119
MWEBV: 0.035
REDSHIFT_HELIO: 0.0581
REDSHIFT_CMB: 0.05898796914032478
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58941.7615713442
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 40
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58931.52 g_PS1 2841.8425 117.7845 18.866 0.045
OBS: 58931.52 r_PS1 2860.2237 105.3745 18.859 0.04
OBS: 58941.54 z_PS1 3701.6896 136.3753 18.579 0.04
OBS: 58941.54 g_PS1 5623.4133 103.5871 18.125 0.02
OBS: 58945.51 z_PS1 3019.9517 205.8294 18.8 0.074
OBS: 58955.47 g_PS1 2808.0187 77.5884 18.879 0.03
OBS: 58955.48 z_PS1 2079.6967 143.6604 19.205 0.075
OBS: 58958.58 g_PS1 2201.9122 52.7289 19.143 0.026
OBS: 58958.59 i_PS1 1828.1002 65.666 19.345 0.039
OBS: 58960.47 g_PS1 1860.3729 56.5444 19.326 0.033
OBS: 58960.47 r_PS1 3185.6642 73.3526 18.742 0.025
OBS: 58962.47 g_PS1 1704.5118 164.8409 19.421 0.105
OBS: 58962.47 i_PS1 1966.0746 215.4878 19.266 0.119
OBS: 58966.57 g_PS1 1207.8138 52.2846 19.795 0.047
OBS: 58966.58 r_PS1 2787.4045 69.3169 18.887 0.027
OBS: 58971.4 g_PS1 696.3058 83.3718 20.393 0.13
OBS: 58971.41 z_PS1 1874.1312 131.1865 19.318 0.076
OBS: 58973.45 i_PS1 2197.8599 117.4096 19.145 0.058
OBS: 58973.45 r_PS1 1982.4398 78.5135 19.257 0.043
OBS: 58974.42 r_PS1 1986.0949 148.1701 19.255 0.081
OBS: 58974.42 z_PS1 1946.2562 150.5757 19.277 0.084
OBS: 58976.43 r_PS1 1855.2396 321.2429 19.329 0.188
OBS: 58976.43 z_PS1 1829.7847 214.0323 19.344 0.127
OBS: 58981.39 r_PS1 1348.9629 62.122 19.675 0.05
OBS: 58981.39 i_PS1 1472.3125 74.5827 19.58 0.055
OBS: 58989.51 g_PS1 349.9452 43.8344 21.14 0.136
OBS: 58989.51 r_PS1 1082.4304 61.8112 19.914 0.062
OBS: 58993.37 g_PS1 291.3399 58.2285 21.339 0.217
OBS: 58993.38 r_PS1 874.1783 54.7501 20.146 0.068
OBS: 58995.47 i_PS1 762.7812 66.0395 20.294 0.094
OBS: 58995.47 g_PS1 268.1637 52.6084 21.429 0.213
OBS: 58999.49 g_PS1 254.2143 48.9353 21.487 0.209
OBS: 59007.3 i_PS1 436.5158 76.7908 20.9 0.191
OBS: 59007.3 r_PS1 619.4411 68.4632 20.52 0.12
OBS: 59009.34 r_PS1 636.2093 50.9794 20.491 0.087
OBS: 59016.44 r_PS1 450.8167 58.9609 20.865 0.142
OBS: 59026.29 i_PS1 332.6596 77.8233 21.195 0.254
OBS: 59028.29 i_PS1 286.2859 45.0891 21.358 0.171
OBS: 59030.39 r_PS1 552.5862 49.8772 20.644 0.098
OBS: 59040.36 r_PS1 379.8394 62.2724 21.051 0.178
END:
