# 2020ewx 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.55 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020ewx
RA: 229.327104
DEC: 13.02275
MWEBV: 0.034
REDSHIFT_HELIO: 0.06
REDSHIFT_CMB: 0.06143348575790797
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58943.42
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 37
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58942.49 i_PS1 4218.9075 147.6588 18.437 0.038
OBS: 58945.5 r_PS1 6969.474 243.9267 17.892 0.038
OBS: 58945.5 i_PS1 4230.5809 167.5499 18.434 0.043
OBS: 58951.45 z_PS1 2623.0103 169.1117 18.953 0.07
OBS: 58951.46 r_PS1 6292.1635 139.0871 18.003 0.024
OBS: 58955.46 z_PS1 2041.7379 137.2772 19.225 0.073
OBS: 58955.46 g_PS1 4528.9758 91.7695 18.36 0.022
OBS: 58958.53 r_PS1 4537.3262 75.2226 18.358 0.018
OBS: 58958.53 g_PS1 3445.0855 82.4991 18.657 0.026
OBS: 58960.45 g_PS1 3093.143 62.6756 18.774 0.022
OBS: 58960.46 i_PS1 2116.411 83.8193 19.186 0.043
OBS: 58968.43 g_PS1 1783.1998 55.8412 19.372 0.034
OBS: 58968.43 r_PS1 3369.768 65.1771 18.681 0.021
OBS: 58970.42 z_PS1 1882.7818 140.4626 19.313 0.081
OBS: 58970.42 g_PS1 1391.8742 103.839 19.641 0.081
OBS: 58972.44 r_PS1 3098.846 85.6243 18.772 0.03
OBS: 58972.44 i_PS1 2493.4462 96.455 19.008 0.042
OBS: 58990.37 i_PS1 1326.7833 58.6566 19.693 0.048
OBS: 58990.37 g_PS1 640.9144 39.5504 20.483 0.067
OBS: 58994.43 g_PS1 581.8352 59.4838 20.588 0.111
OBS: 58994.43 r_PS1 1249.6834 65.6071 19.758 0.057
OBS: 58997.34 r_PS1 1096.4782 60.5936 19.9 0.06
OBS: 58997.34 g_PS1 480.8393 60.2302 20.795 0.136
OBS: 58999.48 g_PS1 586.6783 61.0596 20.579 0.113
OBS: 59000.5 i_PS1 791.4072 68.5178 20.254 0.094
OBS: 59000.5 g_PS1 516.6542 71.3784 20.717 0.15
OBS: 59007.3 r_PS1 1054.8726 84.5269 19.942 0.087
OBS: 59010.46 r_PS1 847.2274 71.7899 20.18 0.092
OBS: 59010.46 z_PS1 684.8572 165.8943 20.411 0.263
OBS: 59021.28 r_PS1 719.1177 42.3892 20.358 0.064
OBS: 59021.29 g_PS1 354.1604 41.4266 21.127 0.127
OBS: 59027.28 g_PS1 358.7567 49.5641 21.113 0.15
OBS: 59027.28 i_PS1 270.1469 53.2463 21.421 0.214
OBS: 59033.39 r_PS1 534.0722 121.9909 20.681 0.248
OBS: 59074.29 g_PS1 315.3552 77.5509 21.253 0.267
OBS: 59078.27 g_PS1 193.553 45.2803 21.783 0.254
OBS: 59081.26 r_PS1 239.4418 45.43 21.552 0.206
END:
