# 2020hr 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020hr
RA: 139.623775
DEC: 28.141627
MWEBV: 0.02
REDSHIFT_HELIO: 0.0821
REDSHIFT_CMB: 0.08335523819079782
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58863.414
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1
# -----------------------------------------------------------
NOBS: 89
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58849.428 p48r 630.9573 91.2379 20.5 0.157
OBS: 58849.477 p48g 753.7026 83.3023 20.307 0.12
OBS: 58850.422 p48g 1081.434 143.4294 19.915 0.144
OBS: 58850.454 p48r 858.2227 131.2151 20.166 0.166
OBS: 58851.46 p48r 1545.9662 112.4871 19.527 0.079
OBS: 58852.168 p48g 2314.1953 104.4412 19.089 0.049
OBS: 58852.432 p48r 2177.7098 72.2068 19.155 0.036
OBS: 58853.158 p48g 2934.9452 89.2051 18.831 0.033
OBS: 58853.425 p48r 2734.0094 73.0254 18.908 0.029
OBS: 58854.451 p48r 2810.6062 173.4405 18.878 0.067
OBS: 58855.347 p48r 3637.4749 184.2631 18.598 0.055
OBS: 58855.481 p48g 4716.2846 117.2842 18.316 0.027
OBS: 58856.31 p48r 4317.1784 151.0982 18.412 0.038
OBS: 58859.422 p48r 4685.9754 280.5363 18.323 0.065
OBS: 58859.506 p48g 6975.896 359.8021 17.891 0.056
OBS: 58862.327 p48r 6064.5698 184.3273 18.043 0.033
OBS: 58862.441 p48g 6767.0596 261.7731 17.924 0.042
OBS: 58863.414 p48g 7488.5891 158.6366 17.814 0.023
OBS: 58864.302 p48g 7426.7704 123.1256 17.823 0.018
OBS: 58864.32 p48r 6462.4917 113.0913 17.974 0.019
OBS: 58866.342 p48r 5823.7135 128.7321 18.087 0.024
OBS: 58866.385 p48g 7197.8037 106.0708 17.857 0.016
OBS: 58867.343 p48r 5818.3521 117.8958 18.088 0.022
OBS: 58867.394 p48g 6625.2154 103.7348 17.947 0.017
OBS: 58867.44 i_PS1 4429.962 89.7632 18.384 0.022
OBS: 58867.44 g_PS1 6450.5983 95.0595 17.976 0.016
OBS: 58870.52 g_PS1 5495.4087 96.1677 18.15 0.019
OBS: 58870.53 r_PS1 5480.2453 80.7599 18.153 0.016
OBS: 58871.298 p48r 5248.0746 116.0077 18.2 0.024
OBS: 58871.411 p48g 5495.4087 111.3521 18.15 0.022
OBS: 58872.241 p48g 5243.2432 111.0717 18.201 0.023
OBS: 58872.304 p48r 5812.9957 235.5745 18.089 0.044
OBS: 58873.282 p48r 5133.3396 99.2876 18.224 0.021
OBS: 58874.288 p48r 5011.8723 115.4026 18.25 0.025
OBS: 58874.353 p48g 4812.8242 88.6555 18.294 0.02
OBS: 58874.51 g_PS1 4566.6739 143.0061 18.351 0.034
OBS: 58874.52 i_PS1 3305.2172 79.1497 18.702 0.026
OBS: 58875.291 p48r 4434.044 102.0976 18.383 0.025
OBS: 58875.32 p48g 4003.1328 106.9236 18.494 0.029
OBS: 58876.248 p48g 4305.2661 91.2018 18.415 0.023
OBS: 58876.298 p48r 4434.044 98.0137 18.383 0.024
OBS: 58877.243 p48g 3822.9622 119.7167 18.544 0.034
OBS: 58877.307 p48r 4051.3522 123.1373 18.481 0.033
OBS: 58878.264 p48g 3345.0299 154.0443 18.689 0.05
OBS: 58878.299 p48r 3858.3356 117.2707 18.534 0.033
OBS: 58879.249 p48g 3407.2186 144.3556 18.669 0.046
OBS: 58879.319 p48r 3548.1339 156.8617 18.625 0.048
OBS: 58880.293 p48r 3557.9513 117.9718 18.622 0.036
OBS: 58880.32 p48g 3165.1916 110.7795 18.749 0.038
OBS: 58881.235 p48g 2844.4611 141.4717 18.865 0.054
OBS: 58881.314 p48r 3567.7959 101.8679 18.619 0.031
OBS: 58882.2 p48r 3345.0299 160.2061 18.689 0.052
OBS: 58883.257 p48r 3124.6401 192.8193 18.763 0.067
OBS: 58883.412 p48g 2466.0393 149.9062 19.02 0.066
OBS: 58884.232 p48r 2932.2433 256.5661 18.832 0.095
OBS: 58885.214 p48r 2908.0375 337.4786 18.841 0.126
OBS: 58885.275 p48g 1975.1496 307.4414 19.261 0.169
OBS: 58886.232 p48g 2083.5312 282.0935 19.203 0.147
OBS: 58886.254 p48r 3110.2837 217.7155 18.768 0.076
OBS: 58890.269 p48r 2205.972 316.9569 19.141 0.156
OBS: 58890.272 p48g 1458.8143 256.631 19.59 0.191
OBS: 58891.213 p48g 1272.9167 140.688 19.738 0.12
OBS: 58891.293 p48r 2598.9624 138.8365 18.963 0.058
OBS: 58892.255 p48r 2481.9898 105.1559 19.013 0.046
OBS: 58893.226 p48g 1087.4267 73.1137 19.909 0.073
OBS: 58893.27 p48r 2346.3889 84.2831 19.074 0.039
OBS: 58894.246 p48r 2255.2776 93.4734 19.117 0.045
OBS: 58894.268 p48g 1066.5961 73.6778 19.93 0.075
OBS: 58895.23 p48g 1001.8438 82.1232 19.998 0.089
OBS: 58896.239 p48g 911.1712 71.3337 20.101 0.085
OBS: 58896.265 p48r 1958.8447 90.2081 19.27 0.05
OBS: 58898.248 p48g 879.0225 63.1496 20.14 0.078
OBS: 58898.311 p48r 1877.5867 83.0074 19.316 0.048
OBS: 58899.215 p48g 845.6682 85.6778 20.182 0.11
OBS: 58899.261 p48r 1678.0311 81.9128 19.438 0.053
OBS: 58900.216 p48r 1656.5326 85.4405 19.452 0.056
