# 2020jny 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 10.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020jny
RA: 180.74375
DEC: 20.08544
MWEBV: 0.026
REDSHIFT_HELIO: 0.0237
REDSHIFT_CMB: 0.025837180847022134
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58994.222
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 49
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58980.191 p48g 3366.6657 74.4195 18.682 0.024
OBS: 58980.25 p48r 3156.4579 81.4017 18.752 0.028
OBS: 58985.169 p48g 15191.477 139.9187 17.046 0.01
OBS: 58985.37 i_PS1 11694.9939 118.4864 17.33 0.011
OBS: 58985.37 g_PS1 14282.3608 144.6999 17.113 0.011
OBS: 58987.33 r_PS1 18603.7288 154.212 16.826 0.009
OBS: 58987.34 g_PS1 19606.4967 180.5825 16.769 0.01
OBS: 58991.171 p48g 29214.6037 188.3535 16.336 0.007
OBS: 58991.203 p48r 26448.4363 170.5194 16.444 0.007
OBS: 58992.34 g_PS1 27694.9127 178.5557 16.394 0.007
OBS: 58992.35 r_PS1 25095.7396 161.7982 16.501 0.007
OBS: 58994.207 p48r 26717.7573 172.2557 16.433 0.007
OBS: 58994.222 p48g 29895.0993 192.7408 16.311 0.007
OBS: 58997.185 p48g 26791.6832 172.7324 16.43 0.007
OBS: 58997.232 p48r 26424.0876 170.3624 16.445 0.007
OBS: 59004.186 p48g 15233.5106 238.5199 17.043 0.017
OBS: 59004.3 r_PS1 16233.0453 179.4142 16.974 0.012
OBS: 59004.3 i_PS1 8356.0302 169.3161 17.695 0.022
OBS: 59008.28 r_PS1 13778.4384 139.5945 17.152 0.011
OBS: 59008.28 i_PS1 8527.0734 133.5133 17.673 0.017
OBS: 59009.187 p48r 12694.044 151.9914 17.241 0.013
OBS: 59009.233 p48g 8590.1352 150.3243 17.665 0.019
OBS: 59013.27 i_PS1 9506.0479 148.8417 17.555 0.017
OBS: 59013.27 g_PS1 5921.0673 109.0701 18.069 0.02
OBS: 59014.202 p48g 5252.9105 101.6003 18.199 0.021
OBS: 59014.228 p48r 11759.8017 129.9741 17.324 0.012
OBS: 59016.27 r_PS1 10568.1751 116.8038 17.44 0.012
OBS: 59016.27 g_PS1 4570.8819 92.6186 18.35 0.022
OBS: 59017.237 p48r 10036.9093 120.1764 17.496 0.013
OBS: 59019.27 i_PS1 8241.3812 204.946 17.71 0.027
OBS: 59019.27 g_PS1 3640.8266 228.0261 18.597 0.068
OBS: 59020.199 p48g 3451.4374 95.3667 18.655 0.03
OBS: 59020.238 p48r 8356.0302 115.4428 17.695 0.015
OBS: 59023.216 p48g 2759.3069 88.9495 18.898 0.035
OBS: 59023.27 g_PS1 2839.2262 86.2958 18.867 0.033
OBS: 59023.27 r_PS1 6379.6962 94.0147 17.988 0.016
OBS: 59030.27 r_PS1 4434.044 98.0137 18.383 0.024
OBS: 59030.28 z_PS1 4100.1524 132.1733 18.468 0.035
OBS: 59032.198 p48g 1967.8863 228.3738 19.265 0.126
OBS: 59032.216 p48r 4161.0219 176.2924 18.452 0.046
OBS: 59032.29 i_PS1 3574.3741 111.9321 18.617 0.034
OBS: 59032.29 r_PS1 3767.038 124.9045 18.56 0.036
OBS: 59034.3 z_PS1 3070.4357 152.7107 18.782 0.054
OBS: 59034.3 r_PS1 4003.1328 129.0458 18.494 0.035
OBS: 59039.28 r_PS1 3188.5997 117.4724 18.741 0.04
OBS: 59041.27 i_PS1 2568.0295 89.8792 18.976 0.038
OBS: 59041.27 r_PS1 3081.7684 82.314 18.778 0.029
OBS: 59060.173 p48r 1528.9736 223.9096 19.539 0.159
OBS: 59062.17 p48r 1494.17 279.3648 19.564 0.203
END:
