# 2020juq 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 18.26 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020juq
RA: 236.286792
DEC: 21.878269
MWEBV: 0.046
REDSHIFT_HELIO: 0.12
REDSHIFT_CMB: 0.1284357637564355
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58986.383
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 57
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58978.296 p48r 831.7638 175.4329 20.2 0.229
OBS: 58978.381 p48g 1345.2407 250.2805 19.678 0.202
OBS: 58978.56 z_PS1 789.2235 176.6371 20.257 0.243
OBS: 58979.268 p48g 748.1695 133.6834 20.315 0.194
OBS: 58980.31 p48r 618.8708 113.4302 20.521 0.199
OBS: 58980.4 p48g 1083.4279 147.6853 19.913 0.148
OBS: 58981.289 p48r 982.6526 102.2714 20.019 0.113
OBS: 58981.296 p48g 1073.4949 85.0304 19.923 0.086
OBS: 58982.51 g_PS1 1426.9212 91.997 19.614 0.07
OBS: 58982.51 z_PS1 845.6682 143.3156 20.182 0.184
OBS: 58984.404 p48r 1192.3397 87.8548 19.809 0.08
OBS: 58984.49 g_PS1 1330.4544 53.9173 19.69 0.044
OBS: 58985.288 p48r 1335.365 84.8642 19.686 0.069
OBS: 58985.311 p48g 1325.5619 73.2533 19.694 0.06
OBS: 58986.383 p48g 1576.1589 63.8746 19.506 0.044
OBS: 58987.247 p48g 1491.4201 60.4405 19.566 0.044
OBS: 58987.315 p48r 1408.6399 66.1677 19.628 0.051
OBS: 58988.49 i_PS1 1242.7964 80.126 19.764 0.07
OBS: 58988.49 g_PS1 1460.1585 75.3119 19.589 0.056
OBS: 58991.29 p48r 1191.242 85.5796 19.81 0.078
OBS: 58991.314 p48g 1229.1362 74.717 19.776 0.066
OBS: 58992.285 p48r 1241.6523 69.7598 19.765 0.061
OBS: 58993.27 p48g 1134.4882 67.9186 19.863 0.065
OBS: 58993.298 p48r 1319.4715 82.6389 19.699 0.068
OBS: 58994.269 p48g 1098.4998 61.7171 19.898 0.061
OBS: 58994.311 p48r 1151.3305 74.229 19.847 0.07
OBS: 58994.49 g_PS1 1337.8271 102.2713 19.684 0.083
OBS: 58994.49 i_PS1 864.5697 82.0187 20.158 0.103
OBS: 58995.257 p48r 1062.6739 81.237 19.934 0.083
OBS: 58995.297 p48g 1160.9139 75.9161 19.838 0.071
OBS: 58996.272 p48r 1132.4004 76.1375 19.865 0.073
OBS: 58996.317 p48g 1037.5284 65.9363 19.96 0.069
OBS: 58997.294 p48r 1101.5393 76.0916 19.895 0.075
OBS: 58998.286 p48r 877.4048 80.812 20.142 0.1
OBS: 58998.36 g_PS1 942.7575 62.5184 20.064 0.072
OBS: 58998.364 p48g 804.637 59.2878 20.236 0.08
OBS: 58999.259 p48g 760.6765 106.4926 20.297 0.152
OBS: 58999.294 p48r 705.9924 121.5954 20.378 0.187
OBS: 59000.346 p48g 744.732 113.8633 20.32 0.166
OBS: 59000.5 g_PS1 841.7827 69.0026 20.187 0.089
OBS: 59000.5 i_PS1 653.4314 63.1924 20.462 0.105
OBS: 59001.26 p48r 870.1618 133.0405 20.151 0.166
OBS: 59001.392 p48g 625.7488 132.5573 20.509 0.23
OBS: 59008.3 i_PS1 451.2321 54.028 20.864 0.13
OBS: 59008.3 r_PS1 703.3962 65.433 20.382 0.101
OBS: 59008.319 p48r 705.9924 139.152 20.378 0.214
OBS: 59011.255 p48r 508.6277 74.4857 20.734 0.159
OBS: 59014.236 p48r 409.6378 70.176 20.969 0.186
OBS: 59015.3 g_PS1 255.3877 44.4567 21.482 0.189
OBS: 59015.3 z_PS1 494.7662 92.0507 20.764 0.202
OBS: 59019.48 i_PS1 875.79 182.2989 20.144 0.226
OBS: 59020.252 p48r 307.0436 64.195 21.282 0.227
OBS: 59023.196 p48r 346.0987 75.867 21.152 0.238
OBS: 59029.29 i_PS1 243.4445 50.6739 21.534 0.226
OBS: 59051.34 r_PS1 225.7356 49.4826 21.616 0.238
OBS: 59069.34 r_PS1 203.423 47.7767 21.729 0.255
OBS: 59077.26 r_PS1 187.5858 45.9576 21.817 0.266
END:
