# 2020kbl 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.03 (yyyy.mm.dd); 12.01 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020kbl
RA: 243.817746
DEC: 21.093383
MWEBV: 0.078
REDSHIFT_HELIO: 0.079
REDSHIFT_CMB: 0.07929920530913237
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58996.273
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 76
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58980.309 p48r 753.7026 116.6232 20.307 0.168
OBS: 58982.51 g_PS1 962.0552 86.8364 20.042 0.098
OBS: 58982.52 z_PS1 1321.9043 144.8847 19.697 0.119
OBS: 58984.402 p48r 1698.2437 82.8994 19.425 0.053
OBS: 58984.49 i_PS1 1661.1161 68.8475 19.449 0.045
OBS: 58984.49 g_PS1 1353.9418 66.0924 19.671 0.053
OBS: 58985.31 p48g 1325.5619 70.8115 19.694 0.058
OBS: 58985.379 p48r 1940.8859 82.2306 19.28 0.046
OBS: 58986.31 p48r 2183.7353 84.4744 19.152 0.042
OBS: 58986.382 p48g 1905.4607 64.9348 19.3 0.037
OBS: 58987.333 p48r 2288.7587 73.7809 19.101 0.035
OBS: 58987.408 p48g 2058.7329 64.4695 19.216 0.034
OBS: 58988.49 g_PS1 2030.486 86.0267 19.231 0.046
OBS: 58988.5 i_PS1 1765.2247 86.1691 19.383 0.053
OBS: 58991.289 p48r 2868.1377 97.7411 18.856 0.037
OBS: 58991.316 p48g 2151.7906 83.2386 19.168 0.042
OBS: 58992.272 p48r 2686.5814 86.6052 18.927 0.035
OBS: 58992.333 p48g 1953.4397 84.5617 19.273 0.047
OBS: 58993.269 p48g 2087.3727 74.9791 19.201 0.039
OBS: 58993.298 p48r 2792.5438 95.165 18.885 0.037
OBS: 58994.311 p48r 2815.7883 85.5834 18.876 0.033
OBS: 58994.416 p48g 1991.5903 80.7102 19.252 0.044
OBS: 58994.49 i_PS1 2013.7242 96.4448 19.24 0.052
OBS: 58994.49 g_PS1 1933.7485 96.1766 19.284 0.054
OBS: 58995.29 p48r 2516.5178 85.7585 18.998 0.037
OBS: 58995.315 p48g 2062.5287 66.4881 19.214 0.035
OBS: 58996.273 p48r 2870.7806 87.2549 18.855 0.033
OBS: 58997.296 p48r 2447.9357 87.9307 19.028 0.039
OBS: 58998.272 p48r 2639.9761 80.2398 18.946 0.033
OBS: 58998.36 z_PS1 1318.2567 104.4177 19.7 0.086
OBS: 58998.36 g_PS1 1667.2472 67.566 19.445 0.044
OBS: 58998.363 p48g 1833.1584 62.4708 19.342 0.037
OBS: 58999.258 p48g 1671.8604 120.1075 19.442 0.078
OBS: 58999.337 p48r 2130.1 92.209 19.179 0.047
OBS: 59000.344 p48g 1650.441 115.5285 19.456 0.076
OBS: 59000.5 g_PS1 1390.5929 88.3741 19.642 0.069
OBS: 59001.275 p48r 2401.0433 128.2637 19.049 0.058
OBS: 59001.392 p48g 1551.6723 101.4692 19.523 0.071
OBS: 59004.219 p48g 1242.7964 227.7869 19.764 0.199
OBS: 59004.27 p48r 1865.5204 199.3121 19.323 0.116
OBS: 59005.226 p48g 1157.7106 235.6503 19.841 0.221
OBS: 59006.48 r_PS1 1900.203 173.265 19.303 0.099
OBS: 59008.3 i_PS1 1130.3163 80.1616 19.867 0.077
OBS: 59008.3 r_PS1 1487.3049 86.3011 19.569 0.063
OBS: 59008.318 p48r 1595.1444 145.449 19.493 0.099
OBS: 59009.269 p48g 874.1783 131.2391 20.146 0.163
OBS: 59011.257 p48r 1442.7796 82.3886 19.602 0.062
OBS: 59011.276 p48g 837.1437 65.5382 20.193 0.085
OBS: 59011.51 z_PS1 857.4326 176.8983 20.167 0.224
OBS: 59011.52 r_PS1 1386.7558 140.4974 19.645 0.11
OBS: 59014.236 p48r 1390.5929 83.2509 19.642 0.065
OBS: 59014.339 p48g 592.6523 60.0438 20.568 0.11
OBS: 59015.3 g_PS1 461.7427 62.5163 20.839 0.147
OBS: 59015.3 z_PS1 1108.6641 121.513 19.888 0.119
OBS: 59017.257 p48r 1253.1412 80.793 19.755 0.07
OBS: 59017.301 p48g 427.7598 50.0356 20.922 0.127
OBS: 59020.222 p48g 408.1314 59.7686 20.973 0.159
OBS: 59020.269 p48r 1117.8924 70.014 19.879 0.068
OBS: 59023.197 p48r 1053.9014 79.5957 19.943 0.082
OBS: 59023.237 p48g 353.1832 53.0229 21.13 0.163
OBS: 59024.247 p48r 1153.4533 82.8648 19.845 0.078
OBS: 59026.289 p48r 1043.2779 102.8157 19.954 0.107
OBS: 59027.29 z_PS1 499.3442 96.5817 20.754 0.21
OBS: 59032.247 p48r 881.4547 151.8159 20.137 0.187
OBS: 59038.211 p48r 649.2321 96.8703 20.469 0.162
OBS: 59040.37 r_PS1 423.4479 70.5918 20.933 0.181
OBS: 59041.211 p48g 293.4945 68.3906 21.331 0.253
OBS: 59041.232 p48r 404.3896 77.471 20.983 0.208
OBS: 59044.211 p48r 269.8982 66.8695 21.422 0.269
OBS: 59047.214 p48r 452.4806 66.2633 20.861 0.159
OBS: 59048.248 p48r 383.7072 77.0428 21.04 0.218
OBS: 59051.34 r_PS1 320.3318 58.4172 21.236 0.198
OBS: 59052.274 p48g 276.1849 58.5064 21.397 0.23
OBS: 59054.194 p48r 416.1022 74.7326 20.952 0.195
OBS: 59054.243 p48g 311.0284 73.0493 21.268 0.255
OBS: 59076.191 p48r 370.8515 84.0254 21.077 0.246
END:
