# 2020lbf 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020lbf
RA: 310.934433
DEC: -1.238087
MWEBV: 0.058
REDSHIFT_HELIO: 0.0561
REDSHIFT_CMB: 0.05473021815697465
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59008.98045156009
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 31
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59013.56 i_PS1 6058.9867 100.4496 18.044 0.018
OBS: 59013.56 g_PS1 9153.7701 185.4805 17.596 0.022
OBS: 59017.51 g_PS1 7231.0273 73.2602 17.852 0.011
OBS: 59021.54 i_PS1 4187.9357 108.0025 18.445 0.028
OBS: 59021.54 g_PS1 5048.9376 111.6058 18.242 0.024
OBS: 59022.53 g_PS1 4524.8064 87.5175 18.361 0.021
OBS: 59022.53 r_PS1 7171.3348 85.8656 17.861 0.013
OBS: 59027.51 g_PS1 2951.2092 89.6994 18.825 0.033
OBS: 59027.52 z_PS1 3587.5668 138.7794 18.613 0.042
OBS: 59041.55 z_PS1 3014.3939 158.2525 18.802 0.057
OBS: 59046.52 r_PS1 2932.2433 226.8585 18.832 0.084
OBS: 59055.44 r_PS1 2024.8833 54.0846 19.234 0.029
OBS: 59055.44 g_PS1 845.6682 65.4267 20.182 0.084
OBS: 59060.49 r_PS1 1763.5996 100.7088 19.384 0.062
OBS: 59060.49 i_PS1 1245.0879 86.0076 19.762 0.075
OBS: 59068.4 r_PS1 1326.7833 80.6528 19.693 0.066
OBS: 59068.41 z_PS1 753.7026 116.6232 20.307 0.168
OBS: 59069.36 r_PS1 1360.1913 66.3975 19.666 0.053
OBS: 59069.36 z_PS1 685.4882 91.5469 20.41 0.145
OBS: 59072.28 i_PS1 908.657 97.0809 20.104 0.116
OBS: 59078.39 r_PS1 1088.4287 51.1265 19.908 0.051
OBS: 59078.4 g_PS1 589.3863 53.7416 20.574 0.099
OBS: 59082.42 g_PS1 565.4575 57.2886 20.619 0.11
OBS: 59082.43 r_PS1 882.2669 60.1322 20.136 0.074
OBS: 59095.42 r_PS1 617.7319 120.0489 20.523 0.211
OBS: 59097.41 r_PS1 725.7717 73.5306 20.348 0.11
OBS: 59099.42 r_PS1 556.6728 82.547 20.636 0.161
OBS: 59100.33 r_PS1 555.6483 54.7595 20.638 0.107
OBS: 59110.3 g_PS1 372.2203 82.9643 21.073 0.242
OBS: 59137.23 g_PS1 256.5665 48.9154 21.477 0.207
OBS: 59139.23 r_PS1 155.4533 38.5148 22.021 0.269
END:
