# 2020nbo 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 00.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020nbo
RA: 239.558958
DEC: 18.102814
MWEBV: 0.035
REDSHIFT_HELIO: 0.05
REDSHIFT_CMB: 0.05193229481375239
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59032.249
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 102
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59014.236 p48r 273.1492 66.1655 21.409 0.263
OBS: 59015.3 g_PS1 473.8054 56.7308 20.811 0.13
OBS: 59017.256 p48r 1123.0523 74.4746 19.874 0.072
OBS: 59017.302 p48g 1002.7669 52.6442 19.997 0.057
OBS: 59019.47 g_PS1 2263.6016 137.6004 19.113 0.066
OBS: 59019.48 i_PS1 2032.357 106.6966 19.23 0.057
OBS: 59020.221 p48g 2601.3573 71.8782 18.962 0.03
OBS: 59020.252 p48r 2731.4924 75.4739 18.909 0.03
OBS: 59023.196 p48r 4617.4266 85.0561 18.339 0.02
OBS: 59023.235 p48g 4579.3095 84.354 18.348 0.02
OBS: 59023.38 r_PS1 4673.0454 116.2089 18.326 0.027
OBS: 59023.38 g_PS1 4848.4174 107.1734 18.286 0.024
OBS: 59024.249 p48r 5592.4228 97.8654 18.131 0.019
OBS: 59026.232 p48g 6064.5698 134.0562 18.043 0.024
OBS: 59026.257 p48r 6522.2884 1531.8487 17.964 0.255
OBS: 59027.28 g_PS1 6240.2214 91.9593 18.012 0.016
OBS: 59027.28 z_PS1 3833.54 112.9863 18.541 0.032
OBS: 59029.213 p48r 5953.8789 164.5118 18.063 0.03
OBS: 59029.235 p48g 5948.3977 191.7537 18.064 0.035
OBS: 59029.29 i_PS1 4361.1397 76.3184 18.401 0.019
OBS: 59029.29 g_PS1 4558.2695 92.3631 18.353 0.022
OBS: 59032.249 p48r 6760.8298 174.3547 17.925 0.028
OBS: 59032.363 p48g 5520.7744 244.0714 18.145 0.048
OBS: 59033.39 r_PS1 5780.9605 154.4094 18.095 0.029
OBS: 59033.39 i_PS1 3691.4756 108.7992 18.582 0.032
OBS: 59036.191 p48g 3496.23 157.7872 18.641 0.049
OBS: 59036.277 p48r 4924.9293 158.761 18.269 0.035
OBS: 59037.37 z_PS1 2948.4923 122.2048 18.826 0.045
OBS: 59037.37 r_PS1 4377.2364 88.6948 18.397 0.022
OBS: 59039.197 p48g 2346.3889 71.3164 19.074 0.033
OBS: 59039.236 p48r 4066.3055 86.1397 18.477 0.023
OBS: 59040.37 r_PS1 3930.0674 72.3945 18.514 0.02
OBS: 59040.37 i_PS1 2511.8864 71.7195 19.0 0.031
OBS: 59042.195 p48g 1707.6545 73.922 19.419 0.047
OBS: 59042.232 p48r 3962.7803 87.5965 18.505 0.024
OBS: 59043.35 z_PS1 2865.4973 97.6512 18.857 0.037
OBS: 59043.35 g_PS1 1510.7757 64.0079 19.552 0.046
OBS: 59045.225 p48r 3432.4167 82.1957 18.661 0.026
OBS: 59047.36 i_PS1 2849.7056 104.987 18.863 0.04
OBS: 59047.36 g_PS1 815.8306 65.3725 20.221 0.087
OBS: 59048.192 p48r 2897.3436 82.7251 18.845 0.031
OBS: 59048.256 p48g 700.1644 65.7773 20.387 0.102
OBS: 59049.187 p48r 2551.526 79.9014 18.983 0.034
OBS: 59050.193 p48g 744.732 74.7657 20.32 0.109
OBS: 59050.254 p48r 2149.8096 114.8428 19.169 0.058
OBS: 59051.17 p48g 668.0362 108.29 20.438 0.176
OBS: 59051.34 g_PS1 744.0464 43.1734 20.321 0.063
OBS: 59051.34 r_PS1 2026.7492 61.6013 19.233 0.033
OBS: 59053.193 p48g 507.2242 57.462 20.737 0.123
OBS: 59054.195 p48r 1750.6527 80.6205 19.392 0.05
OBS: 59054.244 p48g 637.9696 72.2738 20.488 0.123
OBS: 59054.34 g_PS1 622.8737 56.2214 20.514 0.098
OBS: 59054.34 i_PS1 1739.4021 132.97 19.399 0.083
OBS: 59055.19 p48r 1611.3875 78.6596 19.482 0.053
OBS: 59056.193 p48r 1445.4398 98.5161 19.6 0.074
OBS: 59057.173 p48r 1587.8154 106.7575 19.498 0.073
OBS: 59059.172 p48r 1346.4803 127.7359 19.677 0.103
OBS: 59059.275 p48g 740.6278 180.768 20.326 0.265
OBS: 59060.19 p48r 1350.2059 123.115 19.674 0.099
OBS: 59060.36 r_PS1 1166.2724 129.9754 19.833 0.121
OBS: 59060.37 z_PS1 924.6982 143.082 20.085 0.168
OBS: 59063.175 p48r 1129.2757 134.1731 19.868 0.129
OBS: 59063.32 i_PS1 826.4184 111.8904 20.207 0.147
OBS: 59063.32 r_PS1 974.5407 177.7219 20.028 0.198
OBS: 59064.276 p48r 1237.0863 254.0859 19.769 0.223
OBS: 59065.168 p48r 855.0667 145.6959 20.17 0.185
OBS: 59066.228 p48r 1023.293 133.8332 19.975 0.142
OBS: 59066.28 r_PS1 913.6924 78.2634 20.098 0.093
OBS: 59066.28 z_PS1 899.4976 97.7592 20.115 0.118
OBS: 59067.183 p48r 966.4959 74.7747 20.037 0.084
OBS: 59069.179 p48g 268.6581 67.7995 21.427 0.274
OBS: 59069.206 p48r 909.4943 73.7154 20.103 0.088
OBS: 59069.34 i_PS1 892.0722 62.4438 20.124 0.076
OBS: 59069.34 r_PS1 891.2509 53.3567 20.125 0.065
OBS: 59070.196 p48r 757.1815 75.3181 20.302 0.108
OBS: 59070.213 p48g 347.3762 68.1483 21.148 0.213
OBS: 59071.27 i_PS1 763.4841 85.0866 20.293 0.121
OBS: 59071.27 g_PS1 340.4082 63.6461 21.17 0.203
OBS: 59072.177 p48r 767.715 80.6084 20.287 0.114
