# 2020nlb 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020nlb
RA: 186.35075
DEC: 18.203478
MWEBV: 0.026
REDSHIFT_HELIO: 0.0024
REDSHIFT_CMB: 0.0013403777637031045
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59042.29
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 324
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59026.218 p48g 25374.6465 303.8219 16.489 0.013
OBS: 59026.27 r_PS1 40625.6198 261.9231 15.978 0.007
OBS: 59026.27 i_PS1 25374.6465 233.7091 16.489 0.01
OBS: 59026.27 g_PS1 31017.015 257.1095 16.271 0.009
OBS: 59026.27 z_PS1 38547.8358 390.5426 16.035 0.011
OBS: 59027.27 r_PS1 77839.4933 358.4641 15.272 0.005
OBS: 59027.27 g_PS1 66742.1204 430.3024 15.439 0.007
OBS: 59027.27 z_PS1 70599.2358 585.2187 15.378 0.009
OBS: 59028.27 r_PS1 134648.0288 496.0617 14.677 0.004
OBS: 59028.27 g_PS1 118249.687 544.5599 14.818 0.005
OBS: 59028.27 i_PS1 96649.5864 445.0878 15.037 0.005
OBS: 59028.27 z_PS1 116091.387 641.5447 14.838 0.006
OBS: 59029.27 r_PS1 206823.5556 571.4746 14.211 0.003
OBS: 59029.27 g_PS1 191073.2981 703.94 14.297 0.004
OBS: 59029.27 z_PS1 171553.6648 632.0271 14.414 0.004
OBS: 59029.27 i_PS1 157761.127 581.2135 14.505 0.004
OBS: 59030.28 r_PS1 301161.8803 554.7607 13.803 0.002
OBS: 59030.28 g_PS1 273905.0251 756.8276 13.906 0.003
OBS: 59030.28 z_PS1 231846.2095 640.6148 14.087 0.003
OBS: 59030.28 i_PS1 226151.7746 624.8804 14.114 0.003
OBS: 59031.27 r_PS1 417637.993 769.3176 13.448 0.002
OBS: 59031.27 z_PS1 306196.3434 846.0518 13.785 0.003
OBS: 59032.197 p48g 515703.4063 949.9608 13.219 0.002
OBS: 59032.215 p48r 539510.6225 496.9076 13.17 0.001
OBS: 59032.3 g_PS1 527715.6818 972.0882 13.194 0.002
OBS: 59032.3 r_PS1 562341.3252 1553.8065 13.125 0.003
OBS: 59032.3 z_PS1 370510.0563 2047.5142 13.578 0.006
OBS: 59033.27 r_PS1 660693.448 1217.0423 12.95 0.002
OBS: 59033.27 i_PS1 554625.713 1021.6583 13.14 0.002
OBS: 59033.27 z_PS1 458775.2705 1267.6429 13.346 0.003
OBS: 59033.27 g_PS1 640324.3245 1179.521 12.984 0.002
OBS: 59034.27 r_PS1 758577.575 2096.0273 12.8 0.003
OBS: 59034.27 g_PS1 818841.7919 2262.5435 12.717 0.003
OBS: 59036.27 z_PS1 676705.9577 1246.5384 12.924 0.002
OBS: 59036.27 i_PS1 765596.6069 2820.5621 12.79 0.004
OBS: 59037.235 p48g 1106623.784 2038.4763 12.39 0.002
OBS: 59037.27 g_PS1 1087426.7195 2003.114 12.409 0.002
OBS: 59037.27 r_PS1 1107643.4917 2040.3547 12.389 0.002
OBS: 59037.27 z_PS1 706642.9004 1952.5265 12.877 0.003
OBS: 59038.33 z_PS1 762781.2341 2107.6424 12.794 0.003
OBS: 59038.33 r_PS1 1180320.6357 2174.231 12.32 0.002
OBS: 59039.27 g_PS1 1341528.7983 2471.1874 12.181 0.002
OBS: 59039.27 r_PS1 1272916.7462 2344.7993 12.238 0.002
OBS: 59039.27 i_PS1 842558.3753 1552.0499 12.686 0.002
OBS: 59039.27 z_PS1 757879.2209 2094.0977 12.801 0.003
OBS: 59041.29 r_PS1 1332907.4642 2455.3063 12.188 0.002
OBS: 59041.29 g_PS1 1379113.469 2540.4209 12.151 0.002
OBS: 59041.29 z_PS1 765596.6069 2115.4216 12.79 0.003
OBS: 59041.29 i_PS1 819596.3205 2264.6283 12.716 0.003
OBS: 59042.29 z_PS1 783429.6428 2164.6961 12.765 0.003
OBS: 59042.29 r_PS1 1408639.9464 5189.6213 12.128 0.004
OBS: 59042.29 i_PS1 764891.791 2817.9655 12.791 0.004
OBS: 59043.29 z_PS1 757181.5097 2092.1698 12.802 0.003
OBS: 59043.29 i_PS1 787771.0196 1451.1278 12.759 0.002
OBS: 59043.29 r_PS1 1391874.2488 2563.9271 12.141 0.002
OBS: 59044.29 z_PS1 729793.5152 2016.494 12.842 0.003
OBS: 59044.29 r_PS1 1372777.0182 2528.7487 12.156 0.002
OBS: 59047.29 r_PS1 1308579.1612 2410.4919 12.208 0.002
OBS: 59047.29 z_PS1 689922.0098 2541.7666 12.903 0.004
OBS: 59048.29 r_PS1 1191242.008 2194.3489 12.31 0.002
OBS: 59048.29 g_PS1 1186861.3846 2186.2795 12.314 0.002
OBS: 59048.29 z_PS1 684857.1591 2523.107 12.911 0.004
OBS: 59049.28 z_PS1 651628.3941 2400.6877 12.965 0.004
OBS: 59050.27 r_PS1 1105605.015 2036.5997 12.391 0.002
OBS: 59050.27 z_PS1 660693.448 1825.5635 12.95 0.003
OBS: 59051.27 g_PS1 1035618.977 1907.6807 12.462 0.002
OBS: 59051.27 z_PS1 624022.1421 1724.2369 13.012 0.003
OBS: 59051.27 r_PS1 1044239.2185 3847.1195 12.453 0.004
OBS: 59052.27 r_PS1 964717.1519 1777.0747 12.539 0.002
OBS: 59052.27 z_PS1 599238.9026 2207.6777 13.056 0.004
OBS: 59053.27 r_PS1 854279.5299 2360.4616 12.671 0.003
OBS: 59053.27 z_PS1 596485.6499 2197.5343 13.061 0.004
OBS: 59058.27 z_PS1 651028.4984 1798.8582 12.966 0.003
OBS: 59060.27 z_PS1 640324.3245 1769.2815 12.984 0.003
OBS: 59061.26 r_PS1 725771.6503 1336.9208 12.848 0.002
OBS: 59061.26 z_PS1 668036.2047 1230.5682 12.938 0.002
OBS: 59062.171 p48r 652228.8425 600.725 12.964 0.001
OBS: 59062.26 r_PS1 737904.2301 2038.9047 12.83 0.003
OBS: 59062.26 z_PS1 642687.7173 2959.6863 12.98 0.005
OBS: 59064.17 p48r 618301.0728 1138.9527 13.022 0.002
OBS: 59064.26 z_PS1 631538.7454 1163.3374 12.999 0.002
OBS: 59065.27 r_PS1 603670.5648 1112.0023 13.048 0.002
OBS: 59065.27 z_PS1 598136.0798 1652.7111 13.058 0.003
OBS: 59066.167 p48r 577563.8464 1063.9119 13.096 0.002
OBS: 59066.26 z_PS1 625748.7634 1729.0077 13.009 0.003
OBS: 59068.166 p48r 523841.619 964.9519 13.202 0.002
OBS: 59068.26 r_PS1 568067.5741 1569.6287 13.114 0.003
OBS: 59068.26 z_PS1 579161.9211 1600.2835 13.093 0.003
OBS: 59068.26 i_PS1 510035.024 939.5192 13.231 0.002
OBS: 59068.26 g_PS1 241212.6056 888.6601 14.044 0.004
OBS: 59070.171 p48r 508627.6903 936.9268 13.234 0.002
OBS: 59070.26 r_PS1 504428.946 1393.7887 13.243 0.003
OBS: 59071.26 i_PS1 473369.2033 871.9783 13.312 0.002
OBS: 59071.26 z_PS1 483058.802 889.8272 13.29 0.002
OBS: 59071.26 g_PS1 195523.967 720.3369 14.272 0.004
OBS: 59071.26 r_PS1 457509.3773 842.7634 13.349 0.002
OBS: 59072.162 p48r 406630.5463 749.0411 13.477 0.002
OBS: 59072.26 g_PS1 196788.629 724.9961 14.265 0.004
OBS: 59072.26 r_PS1 416869.3835 767.9018 13.45 0.002
OBS: 59072.26 z_PS1 486631.2561 1344.6119 13.282 0.003
OBS: 59073.26 r_PS1 392283.4625 1083.9193 13.516 0.003
OBS: 59073.26 z_PS1 445040.9766 1229.6937 13.379 0.003
OBS: 59073.26 g_PS1 177010.8958 815.1653 14.38 0.005
OBS: 59074.26 z_PS1 424228.6549 1172.1871 13.431 0.003
OBS: 59074.26 r_PS1 369828.1798 681.2487 13.58 0.002
OBS: 59075.26 r_PS1 354813.3892 653.5904 13.625 0.002
OBS: 59075.26 z_PS1 382296.2166 1056.3235 13.544 0.003
OBS: 59075.26 g_PS1 161435.8557 594.7517 14.48 0.004
OBS: 59075.26 i_PS1 345461.7749 954.5462 13.654 0.003
OBS: 59076.26 r_PS1 334195.04 923.415 13.69 0.003
OBS: 59076.26 z_PS1 361077.1451 997.693 13.606 0.003
OBS: 59077.26 z_PS1 337287.3087 931.9593 13.68 0.003
OBS: 59077.26 r_PS1 309029.5433 853.8802 13.775 0.003
OBS: 59077.26 i_PS1 298675.7755 550.1811 13.812 0.002
OBS: 59077.26 g_PS1 144012.4371 530.5614 14.604 0.004
OBS: 59078.25 r_PS1 297577.4377 548.1579 13.816 0.002
OBS: 59078.25 z_PS1 317102.7439 876.1873 13.747 0.003
OBS: 59079.25 i_PS1 265705.167 734.1705 13.939 0.003
OBS: 59079.25 r_PS1 293224.3282 810.2088 13.832 0.003
OBS: 59079.25 g_PS1 132800.5886 611.5693 14.692 0.005
OBS: 59079.25 z_PS1 283922.6239 784.5072 13.867 0.003
OBS: 59168.512 p48g 34260.9972 220.8888 16.163 0.007
OBS: 59170.495 p48g 32779.3245 241.527 16.211 0.008
OBS: 59170.556 p48r 18984.5366 209.8249 16.804 0.012
OBS: 59173.49 p48g 33388.7377 246.0173 16.191 0.008
OBS: 59175.502 p48r 16188.2536 641.1271 16.977 0.043
OBS: 59177.528 p48g 29648.3139 191.1497 16.32 0.007
OBS: 59180.477 p48g 25609.4352 471.7432 16.479 0.02
OBS: 59180.559 p48r 14996.8484 276.2522 17.06 0.02
OBS: 59184.511 p48r 14190.5752 196.05 17.12 0.015
OBS: 59184.543 p48g 27694.9127 255.0796 16.394 0.01
OBS: 59186.524 p48g 24660.3934 499.6874 16.52 0.022
OBS: 59188.512 p48r 13316.8038 220.7741 17.189 0.018
OBS: 59188.539 p48g 26472.8074 243.8236 16.443 0.01
OBS: 59193.464 p48g 23550.4928 216.9081 16.57 0.01
OBS: 59193.535 p48r 12055.9101 166.5586 17.297 0.015
OBS: 59195.508 p48r 10480.9343 193.0659 17.449 0.02
OBS: 59195.58 i_PS1 11086.6414 142.9564 17.388 0.014
OBS: 59195.58 g_PS1 22428.4882 165.2592 16.623 0.008
OBS: 59198.487 p48r 10705.3285 197.1994 17.426 0.02
OBS: 59200.449 p48g 22202.404 408.9834 16.634 0.02
OBS: 59200.543 p48r 10784.4996 178.792 17.418 0.018
OBS: 59200.63 g_PS1 21657.0849 199.4691 16.661 0.01
OBS: 59200.64 i_PS1 10092.5289 167.3201 17.49 0.018
OBS: 59203.497 p48r 9044.8215 208.2647 17.609 0.025
OBS: 59203.527 p48g 20192.9607 204.5824 16.737 0.011
OBS: 59206.485 p48r 8863.3929 775.5312 17.631 0.095
OBS: 59206.541 p48g 20492.7386 490.7373 16.721 0.026
OBS: 59207.64 z_PS1 6003.4376 132.7049 18.054 0.024
OBS: 59207.65 r_PS1 7474.8073 117.0374 17.816 0.017
OBS: 59212.62 z_PS1 5670.2212 146.2291 18.116 0.028
OBS: 59212.63 r_PS1 6792.0363 118.8582 17.92 0.019
OBS: 59215.478 p48r 7177.9429 264.4452 17.86 0.04
OBS: 59217.409 p48r 7021.0166 226.3308 17.884 0.035
OBS: 59217.44 p48g 17554.9663 242.5308 16.889 0.015
OBS: 59221.449 p48r 6899.2201 228.759 17.903 0.036
OBS: 59221.483 p48g 16951.1825 171.7388 16.927 0.011
OBS: 59222.58 r_PS1 5733.2384 147.8542 18.104 0.028
OBS: 59222.58 g_PS1 15066.0707 138.7636 17.055 0.01
OBS: 59223.403 p48g 14955.4677 206.6174 17.063 0.015
OBS: 59223.483 p48r 6444.6598 160.2653 17.977 0.027
OBS: 59225.466 p48g 14969.2486 193.0206 17.062 0.014
OBS: 59225.507 p48r 6081.35 436.8882 18.04 0.078
OBS: 59226.57 i_PS1 7105.5876 117.8008 17.871 0.018
OBS: 59226.57 g_PS1 14295.5214 144.8333 17.112 0.011
OBS: 59227.38 p48r 6126.3245 146.7064 18.032 0.026
OBS: 59227.464 p48g 15219.4865 168.212 17.044 0.012
OBS: 59229.506 p48r 5633.7815 191.9895 18.123 0.037
OBS: 59230.55 g_PS1 13601.9132 137.8061 17.166 0.011
OBS: 59230.55 r_PS1 4711.9427 104.1566 18.317 0.024
OBS: 59231.457 p48g 14494.3919 133.4983 17.097 0.01
OBS: 59243.51 r_PS1 3561.2298 209.9209 18.621 0.064
OBS: 59248.439 p48r 4660.1511 150.2255 18.329 0.035
OBS: 59250.357 p48g 10480.9343 202.7192 17.449 0.021
OBS: 59250.403 p48r 4051.3522 190.3031 18.481 0.051
OBS: 59252.332 p48r 3784.4258 104.5676 18.555 0.03
OBS: 59252.487 p48g 11397.248 125.967 17.358 0.012
OBS: 59254.424 p48r 3944.573 232.5175 18.51 0.064
OBS: 59254.6 r_PS1 3203.3176 238.9795 18.736 0.081
OBS: 59256.421 p48r 3499.4517 116.0321 18.64 0.036
OBS: 59256.47 i_PS1 4808.3935 106.2887 18.295 0.024
OBS: 59256.48 g_PS1 9944.8904 109.915 17.506 0.012
OBS: 59256.491 p48g 10500.2587 135.3953 17.447 0.014
