# 2020nva 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.51 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020nva
RA: 41.527297
DEC: 37.972531
MWEBV: 0.054
REDSHIFT_HELIO: 0.05
REDSHIFT_CMB: 0.05025338216913866
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59013.467
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1
# -----------------------------------------------------------
NOBS: 120
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59013.467 p48r 11577.1057 309.2243 17.341 0.029
OBS: 59015.468 p48r 11439.3145 326.6159 17.354 0.031
OBS: 59017.468 p48r 11334.4382 240.1063 17.364 0.023
OBS: 59019.469 p48r 10934.527 201.4214 17.403 0.02
OBS: 59023.468 p48r 9323.9514 171.7535 17.576 0.02
OBS: 59025.468 p48r 9103.324 578.5285 17.602 0.069
OBS: 59027.46 p48r 7957.9279 168.579 17.748 0.023
OBS: 59031.469 p48r 7079.4578 130.4084 17.875 0.02
OBS: 59033.472 p48r 6643.5468 171.3301 17.944 0.028
OBS: 59036.481 p48g 2333.4581 341.7219 19.08 0.159
OBS: 59040.472 p48g 1939.0991 160.7379 19.281 0.09
OBS: 59046.451 p48r 4321.1565 111.4381 18.411 0.028
OBS: 59046.474 p48g 1510.7757 89.0545 19.552 0.064
OBS: 59049.433 p48r 3883.2916 103.7227 18.527 0.029
OBS: 59049.458 p48g 1301.3676 81.5051 19.714 0.068
OBS: 59052.432 p48r 3375.981 99.5006 18.679 0.032
OBS: 59052.472 p48g 1124.0872 72.4726 19.873 0.07
OBS: 59055.436 p48g 1149.2116 83.6186 19.849 0.079
OBS: 59055.466 p48r 2892.0114 87.9002 18.847 0.033
OBS: 59060.449 p48r 2481.9898 93.7259 19.013 0.041
OBS: 59060.489 p48g 1022.3509 91.3371 19.976 0.097
OBS: 59061.391 p48r 2263.6016 145.9398 19.113 0.07
OBS: 59062.449 p48g 954.9926 112.5863 20.05 0.128
OBS: 59062.495 p48r 2240.784 111.4473 19.124 0.054
OBS: 59063.406 p48r 1839.9245 208.4399 19.338 0.123
OBS: 59064.407 p48r 1776.6423 215.9979 19.376 0.132
OBS: 59065.424 p48r 1877.5867 235.1877 19.316 0.136
OBS: 59065.473 p48g 942.7575 204.9216 20.064 0.236
OBS: 59066.434 p48g 1161.9836 214.0453 19.837 0.2
OBS: 59066.467 p48r 2114.4626 142.1669 19.187 0.073
OBS: 59066.818 p48r 1926.6375 163.2539 19.288 0.092
OBS: 59067.466 p48g 992.6588 191.083 20.008 0.209
OBS: 59068.422 p48r 1886.2532 138.9843 19.311 0.08
OBS: 59068.488 p48g 918.7556 135.3928 20.092 0.16
OBS: 59069.468 p48r 1647.4036 112.2813 19.458 0.074
OBS: 59071.381 p48r 1676.4863 149.7778 19.439 0.097
OBS: 59071.463 p48g 871.7661 106.7892 20.149 0.133
OBS: 59072.446 p48g 783.4296 123.3877 20.265 0.171
OBS: 59072.485 p48r 1750.6527 117.706 19.392 0.073
OBS: 59073.419 p48g 748.1695 122.6579 20.315 0.178
OBS: 59073.469 p48r 1495.5468 130.8577 19.563 0.095
OBS: 59075.435 p48g 870.1618 92.1666 20.151 0.115
OBS: 59075.472 p48r 1520.5475 98.0333 19.545 0.07
OBS: 59076.433 p48r 1397.0116 109.3691 19.637 0.085
OBS: 59076.473 p48g 776.9624 75.1389 20.274 0.105
OBS: 59077.425 p48g 795.0602 68.1018 20.249 0.093
OBS: 59077.452 p48r 1417.7511 86.1826 19.621 0.066
OBS: 59079.473 p48g 830.233 89.4667 20.202 0.117
OBS: 59080.461 p48g 733.8377 81.1067 20.336 0.12
OBS: 59080.487 p48r 1433.5076 92.4217 19.609 0.07
OBS: 59081.135 p48r 1283.5122 93.3905 19.729 0.079
OBS: 59081.475 p48g 650.4292 77.2797 20.467 0.129
OBS: 59082.418 p48g 697.5896 112.4382 20.391 0.175
OBS: 59082.486 p48r 1113.7815 101.5572 19.883 0.099
OBS: 59082.986 p48r 1190.1453 96.4625 19.811 0.088
OBS: 59083.484 p48g 762.7812 82.1981 20.294 0.117
OBS: 59084.468 p48g 727.1098 68.3087 20.346 0.102
OBS: 59084.496 p48r 1253.1412 75.0221 19.755 0.065
OBS: 59084.989 p48r 1134.4882 78.3677 19.863 0.075
OBS: 59085.428 p48g 701.4553 75.5895 20.385 0.117
OBS: 59086.422 p48r 1191.242 76.8022 19.81 0.07
OBS: 59086.492 p48g 664.9669 64.9205 20.443 0.106
OBS: 59086.511 p48g 610.942 109.7262 20.535 0.195
OBS: 59087.43 p48r 1019.53 88.2681 19.979 0.094
OBS: 59088.42 p48r 929.8224 101.055 20.079 0.118
OBS: 59088.978 p48g 640.3243 93.7719 20.484 0.159
OBS: 59089.455 p48r 983.5581 112.3304 20.018 0.124
OBS: 59090.38 p48g 795.0602 128.8808 20.249 0.176
OBS: 59090.477 p48r 1009.2529 83.6601 19.99 0.09
OBS: 59091.39 p48g 604.7836 131.4582 20.546 0.236
OBS: 59091.477 p48r 1067.5789 68.8294 19.929 0.07
OBS: 59092.361 p48g 688.0183 179.9675 20.406 0.284
OBS: 59093.474 p48g 717.7943 151.3949 20.36 0.229
OBS: 59094.356 p48r 1232.5371 244.0699 19.773 0.215
OBS: 59095.398 p48r 998.1596 183.8678 20.002 0.2
OBS: 59096.351 p48r 860.5973 182.3071 20.163 0.23
OBS: 59097.474 p48r 877.4048 215.768 20.142 0.267
OBS: 59105.5 g_PS1 598.6872 49.0756 20.557 0.089
OBS: 59106.384 p48r 577.0321 104.6988 20.597 0.197
OBS: 59106.469 p48g 543.0002 100.0243 20.663 0.2
OBS: 59107.379 p48g 451.6479 89.8523 20.863 0.216
OBS: 59107.436 p48r 483.0588 99.6606 20.79 0.224
OBS: 59108.61 g_PS1 469.4615 53.6164 20.821 0.124
OBS: 59108.61 i_PS1 354.8134 48.6925 21.125 0.149
OBS: 59109.41 p48r 561.8236 109.7012 20.626 0.212
OBS: 59110.344 p48g 500.2649 108.2788 20.752 0.235
OBS: 59110.446 p48r 652.8298 95.6033 20.463 0.159
OBS: 59112.379 p48r 553.605 68.3251 20.642 0.134
OBS: 59112.57 r_PS1 498.4252 91.8133 20.756 0.2
OBS: 59112.57 g_PS1 581.2996 69.0662 20.589 0.129
OBS: 59112.943 p48g 433.7106 64.3134 20.907 0.161
OBS: 59113.379 p48r 579.1619 89.0824 20.593 0.167
OBS: 59114.413 p48r 565.9786 77.1503 20.618 0.148
OBS: 59115.362 p48r 566.5001 89.7437 20.617 0.172
OBS: 59115.435 p48g 587.76 63.3376 20.577 0.117
OBS: 59116.305 p48g 418.408 82.8541 20.946 0.215
OBS: 59116.367 p48r 459.198 81.2039 20.845 0.192
OBS: 59117.309 p48g 434.9106 86.5226 20.904 0.216
OBS: 59117.377 p48r 470.3271 74.9414 20.819 0.173
OBS: 59117.63 g_PS1 358.0964 77.1776 21.115 0.234
OBS: 59118.466 p48g 433.7106 63.115 20.907 0.158
OBS: 59119.36 p48g 531.129 113.0024 20.687 0.231
OBS: 59121.497 p48g 438.9348 63.0667 20.894 0.156
OBS: 59123.48 r_PS1 553.0953 103.4122 20.643 0.203
