# 2020pst 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020pst
RA: 18.300139
DEC: 2.283857
MWEBV: 0.032
REDSHIFT_HELIO: 0.046
REDSHIFT_CMB: 0.045664244966700185
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59064.82491495414
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 28
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59058.57 i_PS1 7379.0423 101.9452 17.83 0.015
OBS: 59058.57 g_PS1 9799.4116 117.3327 17.522 0.013
OBS: 59064.56 r_PS1 11313.5786 135.4625 17.366 0.013
OBS: 59064.56 i_PS1 6643.5468 104.0219 17.944 0.017
OBS: 59093.47 i_PS1 3948.2078 116.3659 18.509 0.032
OBS: 59093.48 r_PS1 4195.6572 127.5233 18.443 0.033
OBS: 59103.45 i_PS1 2324.8771 77.0865 19.084 0.036
OBS: 59103.45 g_PS1 1004.6158 63.8447 19.995 0.069
OBS: 59107.54 g_PS1 769.1304 93.5082 20.285 0.132
OBS: 59107.54 i_PS1 1841.6199 55.9744 19.337 0.033
OBS: 59109.6 r_PS1 2122.2669 76.2325 19.183 0.039
OBS: 59109.61 g_PS1 996.3226 72.4941 20.004 0.079
OBS: 59118.44 z_PS1 966.4959 89.0176 20.037 0.1
OBS: 59118.44 r_PS1 1476.3863 62.5509 19.577 0.046
OBS: 59128.46 r_PS1 1295.3884 90.6754 19.719 0.076
OBS: 59128.46 z_PS1 563.3782 135.4304 20.623 0.261
OBS: 59137.45 g_PS1 626.9025 47.9241 20.507 0.083
OBS: 59137.45 r_PS1 947.9818 52.3874 20.058 0.06
OBS: 59142.28 g_PS1 459.198 64.7094 20.845 0.153
OBS: 59142.28 r_PS1 689.922 55.2834 20.403 0.087
OBS: 59146.44 g_PS1 429.7343 54.2246 20.917 0.137
OBS: 59146.44 i_PS1 579.6956 60.3329 20.592 0.113
OBS: 59158.3 r_PS1 498.8845 49.6249 20.755 0.108
OBS: 59173.39 g_PS1 438.127 70.2142 20.896 0.174
OBS: 59186.27 r_PS1 320.6269 43.7056 21.235 0.148
OBS: 59193.25 r_PS1 200.4472 42.0931 21.745 0.228
OBS: 59193.26 g_PS1 212.4222 47.7381 21.682 0.244
OBS: 59221.23 g_PS1 274.41 61.1633 21.404 0.242
END:
