# 2020pyf 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.14 (yyyy.mm.dd); 11.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020pyf
RA: 237.459943
DEC: 27.077806
MWEBV: 0.029
REDSHIFT_HELIO: 0.073
REDSHIFT_CMB: 0.07355623478860251
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59056.49031710742
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 32
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59043.36 z_PS1 632.1207 137.9825 20.498 0.237
OBS: 59043.36 g_PS1 763.4841 56.9588 20.293 0.081
OBS: 59052.33 g_PS1 4134.2811 125.6578 18.459 0.033
OBS: 59052.4 i_PS1 2881.3764 95.5384 18.851 0.036
OBS: 59055.32 g_PS1 4442.2194 98.1944 18.381 0.024
OBS: 59055.33 r_PS1 4141.9037 87.7412 18.457 0.023
OBS: 59059.37 i_PS1 2618.183 120.5718 18.955 0.05
OBS: 59059.38 r_PS1 4203.393 104.5296 18.441 0.027
OBS: 59062.37 z_PS1 1690.4409 137.0119 19.43 0.088
OBS: 59062.37 r_PS1 3544.8674 114.273 18.626 0.035
OBS: 59065.3 r_PS1 3480.1663 92.9552 18.646 0.029
OBS: 59065.3 i_PS1 1755.4966 93.7786 19.389 0.058
OBS: 59069.34 i_PS1 1568.9171 99.7068 19.511 0.069
OBS: 59069.35 r_PS1 2525.8061 104.6859 18.994 0.045
OBS: 59071.28 g_PS1 1648.9216 66.8234 19.457 0.044
OBS: 59071.29 i_PS1 1453.4497 93.7074 19.594 0.07
OBS: 59074.3 g_PS1 1350.2059 95.7561 19.674 0.077
OBS: 59074.3 z_PS1 1141.8262 127.251 19.856 0.121
OBS: 59077.27 i_PS1 1742.6092 85.0651 19.397 0.053
OBS: 59077.27 g_PS1 1069.5473 70.9264 19.927 0.072
OBS: 59079.26 r_PS1 1856.9491 64.9919 19.328 0.038
OBS: 59079.26 g_PS1 782.7084 56.2303 20.266 0.078
OBS: 59082.31 i_PS1 957.635 136.7122 20.047 0.155
OBS: 59083.26 r_PS1 1262.4088 74.4142 19.747 0.064
OBS: 59083.26 g_PS1 510.505 64.4164 20.73 0.137
OBS: 59096.26 r_PS1 781.2679 71.2379 20.268 0.099
OBS: 59098.3 i_PS1 506.7573 113.8847 20.738 0.244
OBS: 59098.31 r_PS1 772.6806 106.7498 20.28 0.15
OBS: 59102.25 i_PS1 394.0942 89.6546 21.011 0.247
OBS: 59106.24 i_PS1 370.169 88.303 21.079 0.259
OBS: 59108.25 r_PS1 501.6491 88.7109 20.749 0.192
OBS: 59117.23 g_PS1 840.2335 192.697 20.189 0.249
END:
