# 2020qkx 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 19.59 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020qkx
RA: 5.626834
DEC: 26.702356
MWEBV: 0.03
REDSHIFT_HELIO: 0.127
REDSHIFT_CMB: 0.12523760204096934
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59069.16193694252
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 96
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59051.446 p48g 335.1197 59.8794 21.187 0.194
OBS: 59052.421 p48r 381.5926 64.3171 21.046 0.183
OBS: 59052.476 p48g 416.4856 61.7592 20.951 0.161
OBS: 59053.436 p48g 696.3058 57.0776 20.393 0.089
OBS: 59053.458 p48r 515.2286 56.9452 20.72 0.12
OBS: 59054.421 p48r 693.7452 67.0911 20.397 0.105
OBS: 59054.477 p48g 879.8325 62.3974 20.139 0.077
OBS: 59055.422 p48g 1012.0454 68.9775 19.987 0.074
OBS: 59055.469 p48r 883.8936 83.0378 20.134 0.102
OBS: 59055.54 i_PS1 777.6783 46.5574 20.273 0.065
OBS: 59055.54 g_PS1 1023.293 56.5493 19.975 0.06
OBS: 59056.444 p48g 1381.6562 62.3551 19.649 0.049
OBS: 59056.473 p48r 1190.1453 62.4814 19.811 0.057
OBS: 59057.434 p48g 1445.4398 65.2337 19.6 0.049
OBS: 59057.446 p48r 1192.3397 66.9893 19.809 0.061
OBS: 59059.42 p48g 1879.3168 67.5057 19.315 0.039
OBS: 59059.461 p48r 1526.1598 67.471 19.541 0.048
OBS: 59060.439 p48r 1615.8461 68.4595 19.479 0.046
OBS: 59060.466 p48g 1984.2665 62.1376 19.256 0.034
OBS: 59061.395 p48r 1768.4794 92.8433 19.381 0.057
OBS: 59061.465 p48g 2240.784 68.1067 19.124 0.033
OBS: 59062.439 p48g 2177.7098 106.3045 19.155 0.053
OBS: 59063.394 p48r 1894.9598 137.8805 19.306 0.079
OBS: 59063.461 p48g 2212.0758 122.2438 19.138 0.06
OBS: 59064.394 p48r 1829.7847 185.3823 19.344 0.11
OBS: 59064.51 r_PS1 1896.7059 164.2115 19.305 0.094
OBS: 59064.52 i_PS1 1395.7255 137.5496 19.638 0.107
OBS: 59065.422 p48r 1986.0949 204.8772 19.255 0.112
OBS: 59065.46 p48g 1905.4607 259.7391 19.3 0.148
OBS: 59066.418 p48g 2208.0047 185.0619 19.14 0.091
OBS: 59067.398 p48g 2106.6869 164.9281 19.191 0.085
OBS: 59067.435 p48r 2165.7085 131.6496 19.161 0.066
OBS: 59068.383 p48r 2114.4626 136.3244 19.187 0.07
OBS: 59068.46 p48g 2376.8403 146.6731 19.06 0.067
OBS: 59069.381 p48g 2214.1141 140.7099 19.137 0.069
OBS: 59069.424 p48r 2255.2776 116.3225 19.117 0.056
OBS: 59071.386 p48r 2034.2297 99.3005 19.229 0.053
OBS: 59071.451 p48g 2165.7085 101.7293 19.161 0.051
OBS: 59072.404 p48g 2116.411 97.4643 19.186 0.05
OBS: 59072.479 p48r 1881.0485 95.288 19.314 0.055
OBS: 59072.62 g_PS1 1949.8446 80.8143 19.275 0.045
OBS: 59072.62 z_PS1 747.4807 122.545 20.316 0.178
OBS: 59073.383 p48g 2043.6193 86.5832 19.224 0.046
OBS: 59073.47 p48r 2023.0192 96.89 19.235 0.052
OBS: 59074.387 p48r 2263.6016 348.1706 19.113 0.167
OBS: 59074.463 p48g 1850.1204 184.0346 19.332 0.108
OBS: 59075.378 p48g 1916.0198 75.8829 19.294 0.043
OBS: 59075.462 p48r 2145.8532 75.1033 19.171 0.038
OBS: 59076.38 p48r 1808.0066 83.2618 19.357 0.05
OBS: 59076.46 p48g 1773.3726 80.0335 19.378 0.049
OBS: 59077.4 p48g 1771.74 65.2733 19.379 0.04
OBS: 59077.462 p48r 1744.2149 72.2917 19.396 0.045
OBS: 59078.404 p48g 1650.441 74.4855 19.456 0.049
OBS: 59079.415 p48r 1667.2472 73.7084 19.445 0.048
OBS: 59079.466 p48g 1393.1568 74.4224 19.64 0.058
OBS: 59080.356 p48r 1454.789 80.3946 19.593 0.06
OBS: 59080.418 p48g 1365.2117 79.2166 19.662 0.063
OBS: 59081.414 p48r 1512.1678 79.3872 19.551 0.057
OBS: 59081.428 p48g 1320.6873 80.2823 19.698 0.066
OBS: 59082.378 p48g 1284.6949 157.3719 19.728 0.133
OBS: 59082.466 p48r 1218.9896 103.2912 19.785 0.092
