# 2020qql 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 17.25 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020qql
RA: 247.742152
DEC: 32.30755
MWEBV: 0.019
REDSHIFT_HELIO: 0.076
REDSHIFT_CMB: 0.07633807543920312
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59075.68614118902
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 33
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59059.38 r_PS1 323.5937 76.0004 21.225 0.255
OBS: 59065.3 r_PS1 2570.3958 160.9847 18.975 0.068
OBS: 59065.31 i_PS1 2342.0707 161.7845 19.076 0.075
OBS: 59071.38 i_PS1 3162.2777 93.2021 18.75 0.032
OBS: 59071.38 g_PS1 6058.9867 122.7717 18.044 0.022
OBS: 59073.27 z_PS1 2792.5438 133.7455 18.885 0.052
OBS: 59073.27 g_PS1 6564.475 114.876 17.957 0.019
OBS: 59075.27 i_PS1 3483.3732 89.8325 18.645 0.028
OBS: 59075.27 g_PS1 6649.6686 122.4914 17.943 0.02
OBS: 59077.27 g_PS1 6217.2739 91.6211 18.016 0.016
OBS: 59077.28 r_PS1 5904.7294 92.4538 18.072 0.017
OBS: 59079.27 i_PS1 3165.1916 72.8812 18.749 0.025
OBS: 59082.31 g_PS1 5380.2196 123.8841 18.173 0.025
OBS: 59082.32 r_PS1 5161.7861 123.6087 18.218 0.026
OBS: 59083.25 i_PS1 2854.9598 92.033 18.861 0.035
OBS: 59083.25 g_PS1 5048.9376 106.9556 18.242 0.023
OBS: 59098.31 r_PS1 2741.5742 111.1037 18.905 0.044
OBS: 59098.31 i_PS1 1741.0049 99.4185 19.398 0.062
OBS: 59102.26 g_PS1 1407.3431 59.6257 19.629 0.046
OBS: 59102.26 i_PS1 1673.4009 64.7329 19.441 0.042
OBS: 59106.25 g_PS1 1097.4886 66.7144 19.899 0.066
OBS: 59106.25 r_PS1 2189.7776 72.6069 19.149 0.036
OBS: 59110.24 g_PS1 882.2669 90.1984 20.136 0.111
OBS: 59110.24 r_PS1 1783.1998 68.9803 19.372 0.042
OBS: 59114.23 g_PS1 700.8095 111.0207 20.386 0.172
OBS: 59114.23 i_PS1 1590.7429 115.7451 19.496 0.079
OBS: 59118.23 r_PS1 1091.4403 179.9404 19.905 0.179
OBS: 59121.23 r_PS1 957.635 104.9597 20.047 0.119
OBS: 59121.23 z_PS1 842.5584 145.8927 20.186 0.188
OBS: 59128.23 r_PS1 894.5405 84.8619 20.121 0.103
OBS: 59131.23 g_PS1 573.8521 78.2235 20.603 0.148
OBS: 59131.23 z_PS1 767.715 135.7616 20.287 0.192
OBS: 59139.22 g_PS1 529.6634 80.0054 20.69 0.164
END:
