# 2020qwb 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 15.24 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020qwb
RA: 327.317138
DEC: 7.174453
MWEBV: 0.066
REDSHIFT_HELIO: 0.0711
REDSHIFT_CMB: 0.07006115604908358
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59080.05998050992
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 52
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59067.376 p48g 1142.8783 172.6313 19.855 0.164
OBS: 59067.419 p48r 2165.7085 195.4797 19.161 0.098
OBS: 59070.333 p48g 2546.8303 107.903 18.985 0.046
OBS: 59070.54 r_PS1 690.5577 105.5805 20.402 0.166
OBS: 59072.38 g_PS1 2159.7327 109.4053 19.164 0.055
OBS: 59072.39 z_PS1 1341.5288 228.5848 19.681 0.185
OBS: 59073.342 p48g 3274.9148 99.5382 18.712 0.033
OBS: 59075.416 p48g 3541.604 104.382 18.627 0.032
OBS: 59077.371 p48g 3739.3834 89.5466 18.568 0.026
OBS: 59079.334 p48g 3930.0674 94.1129 18.514 0.026
OBS: 59079.376 p48r 4655.8609 111.4934 18.33 0.026
OBS: 59079.43 r_PS1 2826.1812 85.8993 18.872 0.033
OBS: 59079.43 g_PS1 2779.7133 94.7278 18.89 0.037
OBS: 59080.34 p48r 4528.9758 120.9689 18.36 0.029
OBS: 59081.348 p48g 3314.3625 106.8424 18.699 0.035
OBS: 59082.268 p48r 4257.9445 133.3382 18.427 0.034
OBS: 59082.372 p48g 2694.0149 171.2083 18.924 0.069
OBS: 59085.315 p48r 3722.2025 99.42 18.573 0.029
OBS: 59085.336 p48g 2795.1171 90.1039 18.884 0.035
OBS: 59086.388 p48r 3940.9416 108.8922 18.511 0.03
OBS: 59088.322 p48g 2205.972 128.0018 19.141 0.063
OBS: 59088.36 p48r 3338.8738 113.783 18.691 0.037
OBS: 59089.321 p48g 1948.0496 174.0393 19.276 0.097
OBS: 59090.35 p48g 1784.8429 192.3364 19.371 0.117
OBS: 59091.32 p48g 1629.296 190.5809 19.47 0.127
OBS: 59095.374 p48r 2577.5079 360.8438 18.972 0.152
OBS: 59096.368 p48r 2808.0187 222.4202 18.879 0.086
OBS: 59098.358 p48r 2669.3161 164.7216 18.934 0.067
OBS: 59099.313 p48r 2560.9435 139.1643 18.979 0.059
OBS: 59099.374 p48g 901.156 168.4891 20.113 0.203
OBS: 59099.43 r_PS1 891.2509 109.176 20.125 0.133
OBS: 59099.43 z_PS1 1098.4998 222.5863 19.898 0.22
OBS: 59103.38 i_PS1 905.3156 115.0681 20.108 0.138
OBS: 59103.38 g_PS1 295.9375 73.5935 21.322 0.27
OBS: 59105.38 r_PS1 490.6819 89.0311 20.773 0.197
OBS: 59107.275 p48r 1863.803 142.48 19.324 0.083
OBS: 59107.322 p48g 528.2019 117.2446 20.693 0.241
OBS: 59110.255 p48r 1773.3726 169.867 19.378 0.104
OBS: 59110.31 p48g 567.0221 121.6835 20.616 0.233
OBS: 59113.275 p48r 1332.9075 98.2123 19.688 0.08
OBS: 59116.273 p48g 442.1809 76.1583 20.886 0.187
OBS: 59116.333 p48r 1062.6739 101.7909 19.934 0.104
OBS: 59117.273 p48g 548.0245 110.5401 20.653 0.219
OBS: 59118.277 p48r 1385.4792 131.4356 19.646 0.103
OBS: 59125.275 p48r 822.6214 178.0506 20.212 0.235
OBS: 59129.229 p48r 1018.5914 116.3315 19.98 0.124
OBS: 59131.215 p48r 1239.3672 108.4424 19.767 0.095
OBS: 59134.184 p48r 1059.7416 103.4622 19.937 0.106
OBS: 59136.214 p48g 348.0166 79.1722 21.146 0.247
OBS: 59138.134 p48r 975.4387 100.6222 20.027 0.112
OBS: 59140.134 p48r 672.9767 86.7768 20.43 0.14
OBS: 59144.192 p48r 666.8068 127.7436 20.44 0.208
END:
