# 2020rii 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.14 (yyyy.mm.dd); 11.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020rii
RA: 249.016723
DEC: 33.209832
MWEBV: 0.022
REDSHIFT_HELIO: 0.087
REDSHIFT_CMB: 0.08724211152850092
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59077.97876105132
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 28
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59069.35 r_PS1 1558.8345 99.066 19.518 0.069
OBS: 59069.35 z_PS1 1294.1958 127.5438 19.72 0.107
OBS: 59071.38 i_PS1 2331.3099 124.5385 19.081 0.058
OBS: 59071.38 g_PS1 2447.9357 101.4584 19.028 0.045
OBS: 59073.27 g_PS1 2940.3566 102.9104 18.829 0.038
OBS: 59073.27 z_PS1 1012.978 176.3346 19.986 0.189
OBS: 59075.27 g_PS1 3235.9366 107.2947 18.725 0.036
OBS: 59075.27 i_PS1 2627.8465 121.0168 18.951 0.05
OBS: 59077.27 g_PS1 3141.9553 98.3908 18.757 0.034
OBS: 59077.28 r_PS1 3025.5198 103.1044 18.798 0.037
OBS: 59079.27 i_PS1 2493.4462 91.862 19.008 0.04
OBS: 59079.27 g_PS1 3394.6891 78.1656 18.673 0.025
OBS: 59082.31 g_PS1 2728.9778 128.1876 18.91 0.051
OBS: 59082.32 r_PS1 2900.0134 122.8665 18.844 0.046
OBS: 59083.25 g_PS1 2560.9435 84.9138 18.979 0.036
OBS: 59083.25 i_PS1 2072.0489 127.8646 19.209 0.067
OBS: 59094.27 r_PS1 1695.1183 334.11 19.427 0.214
OBS: 59094.27 i_PS1 1420.3651 266.8737 19.619 0.204
OBS: 59096.27 z_PS1 912.0108 136.0789 20.1 0.162
OBS: 59096.27 r_PS1 1361.4447 95.2992 19.665 0.076
OBS: 59098.31 r_PS1 1534.617 161.1315 19.535 0.114
OBS: 59098.31 i_PS1 1324.3415 146.3716 19.695 0.12
OBS: 59106.25 r_PS1 916.2205 93.6696 20.095 0.111
OBS: 59108.24 i_PS1 1212.2718 125.0529 19.791 0.112
OBS: 59110.24 r_PS1 1084.4262 98.8806 19.912 0.099
OBS: 59114.23 i_PS1 691.831 159.3 20.4 0.25
OBS: 59121.23 z_PS1 1126.1597 194.9995 19.871 0.188
OBS: 59128.23 r_PS1 612.0685 138.1153 20.533 0.245
END:
