# 2020rmg 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.03 (yyyy.mm.dd); 12.01 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020rmg
RA: 17.280127
DEC: -15.997169
MWEBV: 0.022
REDSHIFT_HELIO: 0.04
REDSHIFT_CMB: 0.03833043164528904
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59092.457
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 89
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59083.55 g_PS1 10558.4459 145.8703 17.441 0.015
OBS: 59083.56 r_PS1 9153.7701 126.464 17.596 0.015
OBS: 59084.424 p48g 13073.7447 144.4964 17.209 0.012
OBS: 59084.59 g_PS1 12405.0923 137.1061 17.266 0.012
OBS: 59084.59 r_PS1 10824.3045 119.6346 17.414 0.012
OBS: 59092.457 p48g 16353.0965 271.1117 16.966 0.018
OBS: 59093.49 r_PS1 14547.8897 147.3901 17.093 0.011
OBS: 59095.334 p48g 14177.5112 665.9565 17.121 0.051
OBS: 59095.397 p48r 13415.288 395.39 17.181 0.032
OBS: 59099.336 p48r 10964.782 232.2756 17.4 0.023
OBS: 59099.395 p48g 12078.1384 300.3582 17.295 0.027
OBS: 59100.57 r_PS1 11209.8551 113.5712 17.376 0.011
OBS: 59100.57 z_PS1 5100.3502 126.8351 18.231 0.027
OBS: 59102.53 i_PS1 4634.4692 98.1756 18.335 0.023
OBS: 59102.54 g_PS1 9453.6605 121.9 17.561 0.014
OBS: 59105.49 i_PS1 4103.9305 68.0375 18.467 0.018
OBS: 59105.5 g_PS1 7021.0166 103.4655 17.884 0.016
OBS: 59107.45 g_PS1 6183.0107 108.2005 18.022 0.019
OBS: 59108.386 p48r 7271.098 154.0294 17.846 0.023
OBS: 59110.45 g_PS1 4664.4453 81.6261 18.328 0.019
OBS: 59110.45 i_PS1 4947.6617 82.0254 18.264 0.018
OBS: 59111.334 p48g 4062.562 127.2198 18.478 0.034
OBS: 59111.402 p48r 6924.6846 127.5574 17.899 0.02
OBS: 59114.337 p48g 3256.8668 104.989 18.718 0.035
OBS: 59114.398 p48r 7072.9404 117.2595 17.876 0.018
OBS: 59114.48 r_PS1 7217.7195 79.7732 17.854 0.012
OBS: 59114.48 g_PS1 3290.0311 84.8465 18.707 0.028
OBS: 59117.333 p48g 2551.526 91.6516 18.983 0.039
OBS: 59117.355 p48r 6510.285 101.9353 17.966 0.017
OBS: 59118.5 i_PS1 5536.05 76.4834 18.142 0.015
OBS: 59118.51 r_PS1 6269.025 98.1578 18.007 0.017
OBS: 59127.46 z_PS1 2857.5905 242.1383 18.86 0.092
OBS: 59127.46 r_PS1 3688.0772 197.017 18.583 0.058
OBS: 59128.301 p48g 1137.6273 248.327 19.86 0.237
OBS: 59128.381 p48r 3341.9504 267.7904 18.69 0.087
OBS: 59130.272 p48r 3070.4357 118.775 18.782 0.042
OBS: 59130.359 p48g 1627.7961 151.4248 19.471 0.101
OBS: 59130.49 r_PS1 3133.2857 86.5759 18.76 0.03
OBS: 59130.5 i_PS1 2751.6931 88.7041 18.901 0.035
OBS: 59132.42 g_PS1 1024.2359 52.8279 19.974 0.056
OBS: 59132.42 z_PS1 1998.9411 90.2135 19.248 0.049
OBS: 59134.272 p48g 1168.4227 119.4534 19.831 0.111
OBS: 59134.316 p48r 2691.5348 131.3867 18.925 0.053
OBS: 59136.312 p48r 2551.526 91.6516 18.983 0.039
OBS: 59136.35 p48g 1132.4004 91.7822 19.865 0.088
OBS: 59137.44 g_PS1 1095.4688 55.493 19.901 0.055
