# 2020row 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020row
RA: 331.63483
DEC: 7.62478
MWEBV: 0.062
REDSHIFT_HELIO: 0.09
REDSHIFT_CMB: 0.08896553479204616
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59095.374
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 56
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59077.365 p48g 365.4265 67.6506 21.093 0.201
OBS: 59078.331 p48r 582.3713 75.0937 20.587 0.14
OBS: 59078.412 p48g 614.3276 91.0965 20.529 0.161
OBS: 59079.331 p48g 933.2543 73.0625 20.075 0.085
OBS: 59079.376 p48r 828.7051 100.7511 20.204 0.132
OBS: 59080.34 p48r 1041.3579 108.3812 19.956 0.113
OBS: 59081.324 p48g 1510.7757 90.4459 19.552 0.065
OBS: 59082.268 p48r 1725.0433 115.9841 19.408 0.073
OBS: 59082.369 p48g 1789.7814 125.2822 19.368 0.076
OBS: 59085.315 p48r 2432.204 94.086 19.035 0.042
OBS: 59085.37 p48g 2477.4221 91.2716 19.015 0.04
OBS: 59086.388 p48r 2649.7201 114.7027 18.942 0.047
OBS: 59087.353 p48g 2802.8509 100.6793 18.881 0.039
OBS: 59088.306 p48g 3008.8463 135.7912 18.804 0.049
OBS: 59088.36 p48r 3031.0982 125.6285 18.796 0.045
OBS: 59089.321 p48g 2749.1599 164.5845 18.902 0.065
OBS: 59090.35 p48g 2841.8425 193.6901 18.866 0.074
OBS: 59091.32 p48g 2601.3573 206.0507 18.962 0.086
OBS: 59092.397 p48g 3302.1744 298.0587 18.703 0.098
OBS: 59095.297 p48g 3127.5193 311.0996 18.762 0.108
OBS: 59095.374 p48r 3432.4167 294.0076 18.661 0.093
OBS: 59096.368 p48r 3238.9183 208.8208 18.724 0.07
OBS: 59098.358 p48r 2951.2092 179.3988 18.825 0.066
OBS: 59099.313 p48r 3039.485 137.174 18.793 0.049
OBS: 59099.374 p48g 3033.8912 170.4533 18.795 0.061
OBS: 59099.43 z_PS1 1106.6238 192.636 19.89 0.189
OBS: 59107.275 p48r 2070.1413 133.4669 19.21 0.07
OBS: 59107.322 p48g 1757.1142 122.9955 19.388 0.076
OBS: 59110.255 p48r 1930.1897 151.1105 19.286 0.085
OBS: 59110.31 p48g 1389.3127 120.2828 19.643 0.094
OBS: 59113.194 p48g 1091.4403 68.3573 19.905 0.068
OBS: 59113.275 p48r 1702.9426 100.382 19.422 0.064
OBS: 59116.273 p48g 1061.6956 81.1622 19.935 0.083
OBS: 59116.333 p48r 1673.4009 103.2644 19.441 0.067
OBS: 59117.273 p48g 953.235 104.4775 20.052 0.119
OBS: 59118.277 p48r 1621.8101 131.4493 19.475 0.088
OBS: 59123.296 p48r 1900.203 358.7811 19.303 0.205
OBS: 59124.311 p48r 1212.2718 257.9216 19.791 0.231
OBS: 59125.275 p48r 1291.814 163.0032 19.722 0.137
OBS: 59126.36 r_PS1 980.8441 81.3052 20.021 0.09
OBS: 59126.36 i_PS1 799.466 122.968 20.243 0.167
OBS: 59129.229 p48r 1282.3306 107.4774 19.73 0.091
OBS: 59131.215 p48r 1045.2014 103.0053 19.952 0.107
OBS: 59131.256 p48g 370.8515 92.223 21.077 0.27
OBS: 59134.184 p48r 964.7172 95.0735 20.039 0.107
OBS: 59134.225 p48g 361.7429 72.6327 21.104 0.218
OBS: 59136.214 p48g 393.7314 77.9676 21.012 0.215
OBS: 59138.134 p48r 677.3295 106.6772 20.423 0.171
OBS: 59138.193 p48g 389.0451 85.2811 21.025 0.238
OBS: 59140.134 p48r 648.6344 81.2484 20.47 0.136
OBS: 59140.179 p48g 387.9717 67.179 21.028 0.188
OBS: 59140.22 r_PS1 605.8987 103.7979 20.544 0.186
OBS: 59140.22 g_PS1 496.5923 111.6003 20.76 0.244
OBS: 59144.192 p48r 624.5972 109.8776 20.511 0.191
OBS: 59164.197 p48g 669.2679 165.2002 20.436 0.268
OBS: 59173.111 p48r 425.7945 93.3367 20.927 0.238
END:
