# 2020sag 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 16.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020sag
RA: 328.159773
DEC: 7.230755
MWEBV: 0.051
REDSHIFT_HELIO: 0.04
REDSHIFT_CMB: 0.039047395846008026
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59107.322
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 107
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59085.315 p48r 774.8185 74.9316 20.277 0.105
OBS: 59085.336 p48g 686.1199 65.0898 20.409 0.103
OBS: 59086.388 p48r 1128.2361 90.4055 19.869 0.087
OBS: 59088.322 p48g 2240.784 119.7026 19.124 0.058
OBS: 59088.36 p48r 2110.5712 106.9149 19.189 0.055
OBS: 59089.321 p48g 2847.0822 159.9578 18.864 0.061
OBS: 59090.35 p48g 3664.3757 195.7509 18.59 0.058
OBS: 59091.32 p48g 5025.7398 194.4129 18.247 0.042
OBS: 59092.397 p48g 5986.8724 319.8186 18.057 0.058
OBS: 59095.297 p48g 9003.2643 331.6925 17.614 0.04
OBS: 59095.374 p48r 7372.2491 319.1343 17.831 0.047
OBS: 59096.368 p48r 8325.3021 222.3687 17.699 0.029
OBS: 59097.41 r_PS1 8871.5601 114.3941 17.63 0.014
OBS: 59097.42 i_PS1 6385.5749 123.508 17.987 0.021
OBS: 59098.358 p48r 9602.8468 176.891 17.544 0.02
OBS: 59099.313 p48r 10337.1305 161.8544 17.464 0.017
OBS: 59099.374 p48g 11716.5567 183.4529 17.328 0.017
OBS: 59099.43 z_PS1 5659.7859 151.1728 18.118 0.029
OBS: 59099.43 r_PS1 9736.4357 116.5787 17.529 0.013
OBS: 59103.38 g_PS1 11716.5567 118.7048 17.328 0.011
OBS: 59103.38 i_PS1 6474.407 77.5209 17.972 0.013
OBS: 59105.37 g_PS1 11566.4477 95.8778 17.342 0.009
OBS: 59105.38 r_PS1 11158.3505 113.0494 17.381 0.011
OBS: 59107.275 p48r 11096.8573 173.7499 17.387 0.017
OBS: 59107.322 p48g 11912.4201 164.5762 17.31 0.015
OBS: 59109.34 g_PS1 10064.6807 315.1771 17.493 0.034
OBS: 59109.34 i_PS1 5375.2665 257.4418 18.174 0.052
OBS: 59110.255 p48r 10442.3922 182.7382 17.453 0.019
OBS: 59110.31 p48g 10784.4996 168.8592 17.418 0.017
OBS: 59111.35 g_PS1 9594.0063 680.4033 17.545 0.077
OBS: 59111.35 r_PS1 10129.7797 475.8235 17.486 0.051
OBS: 59113.194 p48g 9620.5522 115.1911 17.542 0.013
OBS: 59113.275 p48r 9594.0063 132.5461 17.545 0.015
OBS: 59113.41 i_PS1 4965.9232 324.7387 18.26 0.071
OBS: 59113.41 g_PS1 8912.5094 632.0718 17.625 0.077
OBS: 59115.35 z_PS1 3808.9038 126.2927 18.548 0.036
OBS: 59115.35 g_PS1 7994.66 95.7236 17.743 0.013
OBS: 59116.273 p48g 8158.3062 112.7112 17.721 0.015
OBS: 59116.333 p48r 8165.8237 120.336 17.72 0.016
OBS: 59117.273 p48g 7358.6814 128.7743 17.833 0.019
OBS: 59118.277 p48r 6943.8447 140.7014 17.896 0.022
OBS: 59120.297 p48g 5888.4366 260.3256 18.075 0.048
OBS: 59121.352 p48g 5340.7223 314.8152 18.181 0.064
OBS: 59122.3 p48g 4668.7433 374.1062 18.327 0.087
OBS: 59123.184 p48g 4504.0168 306.9781 18.366 0.074
OBS: 59123.296 p48r 5633.7815 342.4677 18.123 0.066
OBS: 59124.311 p48r 5759.7018 270.549 18.099 0.051
OBS: 59125.222 p48g 3861.8909 181.4036 18.533 0.051
OBS: 59125.275 p48r 6047.8359 178.2484 18.046 0.032
OBS: 59127.271 p48r 5948.3977 1035.4699 18.064 0.189
OBS: 59129.229 p48r 5915.6163 130.7636 18.07 0.024
OBS: 59129.276 p48g 2831.392 132.9982 18.87 0.051
OBS: 59131.215 p48r 5257.7508 121.0642 18.198 0.025
OBS: 59131.256 p48g 2398.8329 92.7951 19.05 0.042
OBS: 59134.184 p48r 5219.1527 115.3684 18.206 0.024
OBS: 59134.225 p48g 2122.2669 80.1419 19.183 0.041
OBS: 59136.214 p48g 1916.0198 79.4124 19.294 0.045
OBS: 59136.3 r_PS1 4716.2846 125.9719 18.316 0.029
OBS: 59136.3 g_PS1 1856.9491 95.7775 19.328 0.056
OBS: 59138.134 p48r 4566.6739 117.7697 18.351 0.028
OBS: 59138.193 p48g 1577.6113 81.3699 19.505 0.056
OBS: 59140.134 p48r 4309.2332 107.1617 18.414 0.027
OBS: 59140.179 p48g 1541.7005 69.578 19.53 0.049
OBS: 59140.22 r_PS1 3604.1263 112.8638 18.608 0.034
OBS: 59140.22 g_PS1 1648.9216 82.0105 19.457 0.054
OBS: 59144.161 p48g 1563.1476 175.6449 19.515 0.122
OBS: 59144.192 p48r 3722.2025 133.7027 18.573 0.039
OBS: 59144.22 i_PS1 3059.1446 104.2503 18.786 0.037
OBS: 59144.23 g_PS1 1138.6756 109.0709 19.859 0.104
OBS: 59146.122 p48r 3308.2628 457.0534 18.701 0.15
OBS: 59149.191 p48r 2070.1413 244.0538 19.21 0.128
OBS: 59151.125 p48r 2447.9357 180.3706 19.028 0.08
OBS: 59153.089 p48r 2365.9197 161.2529 19.065 0.074
OBS: 59153.157 p48g 954.1134 189.8145 20.051 0.216
OBS: 59153.26 r_PS1 2324.8771 92.0755 19.084 0.043
OBS: 59153.26 z_PS1 1734.6026 87.8695 19.402 0.055
OBS: 59155.109 p48r 1951.6413 116.8393 19.274 0.065
OBS: 59155.173 p48g 618.8708 148.2003 20.521 0.26
OBS: 59157.228 p48r 1916.0198 167.6484 19.294 0.095
OBS: 59159.24 r_PS1 2102.8098 253.7155 19.193 0.131
OBS: 59164.15 p48r 1720.2834 115.6641 19.411 0.073
OBS: 59164.197 p48g 636.2093 136.5311 20.491 0.233
OBS: 59166.21 r_PS1 1838.2306 101.5844 19.339 0.06
OBS: 59166.22 g_PS1 668.6518 90.5301 20.437 0.147
OBS: 59167.12 p48r 1477.7467 103.4402 19.576 0.076
OBS: 59167.166 p48g 745.4182 116.0279 20.319 0.169
OBS: 59169.122 p48g 657.6578 92.676 20.455 0.153
OBS: 59169.166 p48r 1537.4465 127.4436 19.533 0.09
OBS: 59171.107 p48r 1554.5332 94.4973 19.521 0.066
OBS: 59171.151 p48g 644.466 77.1648 20.477 0.13
OBS: 59173.111 p48r 1319.4715 86.2847 19.699 0.071
OBS: 59177.085 p48r 1214.5069 187.9252 19.789 0.168
OBS: 59179.085 p48r 1180.3206 140.2379 19.82 0.129
OBS: 59179.152 p48g 715.8137 154.9329 20.363 0.235
OBS: 59181.102 p48r 989.9198 210.6142 20.011 0.231
OBS: 59181.25 z_PS1 787.771 158.8985 20.259 0.219
OBS: 59181.25 r_PS1 1113.7815 123.0997 19.883 0.12
OBS: 59183.071 p48r 1055.8446 195.4662 19.941 0.201
OBS: 59185.121 p48g 748.8589 181.3976 20.314 0.263
OBS: 59185.145 p48r 1038.4845 165.471 19.959 0.173
OBS: 59185.22 r_PS1 855.8546 92.2277 20.169 0.117
OBS: 59185.22 i_PS1 516.1786 83.1982 20.718 0.175
OBS: 59189.144 p48g 686.1199 123.2283 20.409 0.195
OBS: 59194.097 p48g 536.0435 82.4503 20.677 0.167
OBS: 59194.122 p48r 795.0602 122.2903 20.249 0.167
OBS: 59199.112 p48r 761.3774 135.3421 20.296 0.193
OBS: 59202.114 p48r 745.4182 145.5498 20.319 0.212
END:
