# 2020scj 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 18.26 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020scj
RA: 1.126042
DEC: 17.542932
MWEBV: 0.025
REDSHIFT_HELIO: 0.103
REDSHIFT_CMB: 0.10095690016237424
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59099.35
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 77
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59079.352 p48g 253.2795 60.186 21.491 0.258
OBS: 59079.49 r_PS1 316.5192 57.1389 21.249 0.196
OBS: 59080.424 p48g 332.6596 73.8402 21.195 0.241
OBS: 59081.409 p48g 507.2242 81.7549 20.737 0.175
OBS: 59081.41 p48r 469.8941 76.1708 20.82 0.176
OBS: 59085.384 p48g 1224.6162 67.6748 19.78 0.06
OBS: 59085.465 p48r 1245.0879 74.5399 19.762 0.065
OBS: 59086.358 p48r 1524.7548 70.2176 19.542 0.05
OBS: 59087.377 p48r 1681.125 72.7735 19.436 0.047
OBS: 59088.398 p48r 1723.4552 80.9554 19.409 0.051
OBS: 59088.474 p48g 1894.9598 102.974 19.306 0.059
OBS: 59089.327 p48g 2062.5287 125.3775 19.214 0.066
OBS: 59090.327 p48g 1875.8582 164.1343 19.317 0.095
OBS: 59091.311 p48g 2126.1799 160.5793 19.181 0.082
OBS: 59092.34 p48g 2689.057 200.6138 18.926 0.081
OBS: 59093.401 p48g 2639.9761 248.0138 18.946 0.102
OBS: 59093.41 i_PS1 1824.7358 129.4096 19.347 0.077
OBS: 59093.41 r_PS1 2212.0758 130.3934 19.138 0.064
OBS: 59094.383 p48r 2463.7691 294.998 19.021 0.13
OBS: 59095.383 p48r 2493.4462 266.3997 19.008 0.116
OBS: 59096.363 p48r 2502.6493 214.3673 19.004 0.093
OBS: 59098.351 p48r 2689.057 158.5096 18.926 0.064
OBS: 59099.35 p48r 2711.44 162.3264 18.917 0.065
OBS: 59100.43 z_PS1 1192.3397 141.6659 19.809 0.129
OBS: 59100.43 r_PS1 2322.7368 134.7771 19.085 0.063
OBS: 59103.4 g_PS1 1770.109 63.5829 19.38 0.039
OBS: 59104.412 p48r 2475.1413 209.7314 19.016 0.092
OBS: 59106.323 p48g 2039.8583 103.3328 19.226 0.055
OBS: 59106.37 p48r 2383.4168 111.9556 19.057 0.051
