# 2020sjo 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020sjo
RA: 66.591442
DEC: -10.098813
MWEBV: 0.057
REDSHIFT_HELIO: 0.0311
REDSHIFT_CMB: 0.03031072866022755
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59107.25697958151
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 42
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59105.61 g_PS1 20892.9613 173.1882 16.7 0.009
OBS: 59105.61 r_PS1 20873.727 134.5779 16.701 0.007
OBS: 59107.55 g_PS1 21777.0977 180.517 16.655 0.009
OBS: 59107.55 i_PS1 12647.3635 116.4865 17.245 0.01
OBS: 59115.63 g_PS1 16489.2157 151.8713 16.957 0.01
OBS: 59115.63 i_PS1 9306.7918 120.0062 17.578 0.014
OBS: 59119.61 i_PS1 7138.3855 111.7698 17.866 0.017
OBS: 59119.61 r_PS1 14008.7698 154.8306 17.134 0.012
OBS: 59133.58 g_PS1 3528.5803 87.7484 18.631 0.027
OBS: 59133.58 i_PS1 8279.4216 114.3844 17.705 0.015
OBS: 59138.52 i_PS1 6969.474 109.1251 17.892 0.017
OBS: 59138.52 g_PS1 2546.8303 84.4458 18.985 0.036
OBS: 59142.54 r_PS1 5525.8616 96.7006 18.144 0.019
OBS: 59142.55 g_PS1 2087.3727 105.7398 19.201 0.055
OBS: 59146.53 g_PS1 2087.3727 253.7755 19.201 0.132
OBS: 59146.54 z_PS1 3777.4611 320.0837 18.557 0.092
OBS: 59148.54 z_PS1 3457.801 117.8358 18.653 0.037
OBS: 59148.54 r_PS1 4454.5106 86.1579 18.378 0.021
OBS: 59158.49 z_PS1 2087.3727 224.9373 19.201 0.117
OBS: 59158.49 r_PS1 3247.8802 98.7165 18.721 0.033
OBS: 59161.46 z_PS1 1651.9618 132.3716 19.455 0.087
OBS: 59161.46 g_PS1 1395.7255 75.8451 19.638 0.059
OBS: 59167.46 r_PS1 2427.7278 116.273 19.037 0.052
OBS: 59167.47 g_PS1 1617.3351 153.4309 19.478 0.103
OBS: 59172.46 g_PS1 1228.0046 74.6482 19.777 0.066
OBS: 59172.46 i_PS1 1773.3726 88.2002 19.378 0.054
OBS: 59188.45 i_PS1 1008.3238 88.2265 19.991 0.095
OBS: 59188.45 r_PS1 1553.1021 98.7017 19.522 0.069
OBS: 59190.41 g_PS1 976.3376 56.6521 20.026 0.063
OBS: 59190.42 i_PS1 795.7928 52.0396 20.248 0.071
OBS: 59192.42 z_PS1 554.6257 82.2435 20.64 0.161
OBS: 59192.43 g_PS1 964.7172 55.9779 20.039 0.063
OBS: 59205.42 g_PS1 707.294 79.4759 20.376 0.122
OBS: 59213.28 r_PS1 835.603 183.1693 20.195 0.238
OBS: 59217.32 r_PS1 577.5638 69.6862 20.596 0.131
OBS: 59217.33 i_PS1 457.5094 52.2513 20.849 0.124
OBS: 59218.36 r_PS1 510.505 62.0654 20.73 0.132
OBS: 59220.33 g_PS1 699.5198 57.9853 20.388 0.09
OBS: 59220.33 i_PS1 398.8412 58.7754 20.998 0.16
OBS: 59225.33 g_PS1 684.8572 88.3087 20.411 0.14
OBS: 59245.26 i_PS1 350.5904 63.6124 21.138 0.197
OBS: 59245.26 r_PS1 364.7539 66.1823 21.095 0.197
END:
