# 2020skd 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020skd
RA: 315.896372
DEC: -0.17288
MWEBV: 0.06
REDSHIFT_HELIO: 0.06
REDSHIFT_CMB: 0.059075805716574115
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59101.60775731543
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 30
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59095.42 r_PS1 4434.044 110.2654 18.383 0.027
OBS: 59095.42 i_PS1 3419.7944 94.4924 18.665 0.03
OBS: 59097.41 r_PS1 4751.1638 113.7756 18.308 0.026
OBS: 59097.41 z_PS1 2862.8593 87.0141 18.858 0.033
OBS: 59099.42 r_PS1 5365.374 123.5423 18.176 0.025
OBS: 59099.42 i_PS1 3410.3582 128.7833 18.668 0.041
OBS: 59100.33 r_PS1 5455.0659 90.4374 18.158 0.018
OBS: 59100.34 z_PS1 2908.0375 125.8849 18.841 0.047
OBS: 59104.3 i_PS1 3113.1497 97.4888 18.767 0.034
OBS: 59104.3 g_PS1 5296.6344 107.3244 18.19 0.022
OBS: 59108.25 g_PS1 4742.4199 96.0945 18.31 0.022
OBS: 59108.26 r_PS1 4685.9754 94.9507 18.323 0.022
OBS: 59110.3 i_PS1 2423.2599 116.0591 19.039 0.052
OBS: 59110.3 g_PS1 4051.3522 93.2858 18.481 0.025
OBS: 59114.31 r_PS1 3274.9148 108.5871 18.712 0.036
OBS: 59114.31 g_PS1 3299.1343 100.2743 18.704 0.033
OBS: 59127.23 r_PS1 2299.3231 97.4167 19.096 0.046
OBS: 59127.23 z_PS1 1436.1507 145.5018 19.607 0.11
OBS: 59132.23 z_PS1 1357.6881 207.5792 19.668 0.166
OBS: 59137.23 g_PS1 669.8846 39.4871 20.435 0.064
OBS: 59137.23 i_PS1 1633.8042 82.7634 19.467 0.055
OBS: 59139.23 g_PS1 539.5106 79.0083 20.67 0.159
OBS: 59139.23 r_PS1 1481.8355 70.9707 19.573 0.052
OBS: 59143.26 i_PS1 1012.978 81.1699 19.986 0.087
OBS: 59153.25 r_PS1 707.294 67.0985 20.376 0.103
OBS: 59153.25 i_PS1 610.942 75.4016 20.535 0.134
OBS: 59155.21 z_PS1 895.3648 178.9515 20.12 0.217
OBS: 59159.24 r_PS1 1130.3163 204.0477 19.867 0.196
OBS: 59163.25 z_PS1 551.0614 112.6753 20.647 0.222
OBS: 59167.21 i_PS1 427.7598 78.4023 20.922 0.199
END:
