# 2020svo 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 17.25 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020svo
RA: 40.633464
DEC: -0.963143
MWEBV: 0.029
REDSHIFT_HELIO: 0.0387
REDSHIFT_CMB: 0.03885676361985557
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59112.49181001048
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 30
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59095.59 r_PS1 381.5926 86.4591 21.046 0.246
OBS: 59102.54 g_PS1 5877.5996 113.6829 18.077 0.021
OBS: 59102.54 z_PS1 3894.0363 118.3558 18.524 0.033
OBS: 59109.61 g_PS1 13880.3367 140.6269 17.144 0.011
OBS: 59109.61 i_PS1 8725.6944 104.4766 17.648 0.013
OBS: 59121.52 z_PS1 5405.0535 179.2166 18.168 0.036
OBS: 59121.52 r_PS1 11407.7501 126.0831 17.357 0.012
OBS: 59129.46 r_PS1 7791.1219 100.4624 17.771 0.014
OBS: 59129.47 i_PS1 3819.4427 98.4994 18.545 0.028
OBS: 59131.5 g_PS1 5633.7815 140.1004 18.123 0.027
OBS: 59131.5 z_PS1 4341.1021 155.9338 18.406 0.039
OBS: 59133.48 i_PS1 4010.5137 81.264 18.492 0.022
OBS: 59133.48 g_PS1 4681.6614 107.7992 18.324 0.025
OBS: 59138.45 g_PS1 3073.2649 110.3927 18.781 0.039
OBS: 59138.45 i_PS1 4409.6082 121.842 18.389 0.03
OBS: 59142.38 g_PS1 2183.7353 68.384 19.152 0.034
OBS: 59142.38 i_PS1 4681.6614 73.3035 18.324 0.017
OBS: 59148.42 z_PS1 3256.8668 158.9833 18.718 0.053
OBS: 59148.42 r_PS1 3904.8108 97.1045 18.521 0.027
OBS: 59157.47 r_PS1 2647.2807 87.7765 18.943 0.036
OBS: 59157.47 i_PS1 2265.6875 73.0371 19.112 0.035
OBS: 59164.47 g_PS1 899.4976 125.0987 20.115 0.151
OBS: 59164.47 i_PS1 1517.7492 176.1352 19.547 0.126
OBS: 59188.33 i_PS1 912.0108 70.5594 20.1 0.084
OBS: 59188.34 r_PS1 1084.4262 72.9119 19.912 0.073
OBS: 59191.24 g_PS1 648.0373 58.4927 20.471 0.098
OBS: 59193.26 r_PS1 1017.6537 66.5478 19.981 0.071
OBS: 59193.26 g_PS1 753.7026 82.6081 20.307 0.119
OBS: 59199.35 g_PS1 555.1368 61.356 20.639 0.12
OBS: 59199.35 i_PS1 497.5079 89.8115 20.758 0.196
END:
