# 2020teb 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020teb
RA: 46.446988
DEC: -0.161556
MWEBV: 0.072
REDSHIFT_HELIO: 0.104
REDSHIFT_CMB: 0.10265580432045973
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59102.453
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 46
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59085.487 p48r 445.8615 77.2029 20.877 0.188
OBS: 59086.481 p48g 443.813 83.3884 20.882 0.204
OBS: 59087.447 p48r 620.5832 113.1725 20.518 0.198
OBS: 59087.482 p48g 523.3594 108.4572 20.703 0.225
OBS: 59088.441 p48r 671.1197 146.4954 20.433 0.237
OBS: 59088.497 p48g 835.603 135.4529 20.195 0.176
OBS: 59089.473 p48r 746.1051 105.1398 20.318 0.153
OBS: 59089.483 p48g 778.3949 107.5392 20.272 0.15
OBS: 59090.432 p48g 1055.8446 81.6874 19.941 0.084
OBS: 59090.58 r_PS1 1079.4437 55.6754 19.917 0.056
OBS: 59090.59 z_PS1 705.9924 94.2852 20.378 0.145
OBS: 59090.748 p48r 989.9198 102.116 20.011 0.112
OBS: 59091.42 p48g 1246.2352 128.5564 19.761 0.112
OBS: 59092.414 p48g 1574.7079 192.8978 19.507 0.133
OBS: 59093.382 p48r 1314.6193 294.2266 19.703 0.243
OBS: 59094.419 p48r 1494.17 291.7505 19.564 0.212
OBS: 59094.5 p48g 1647.4036 297.3937 19.458 0.196
OBS: 59095.462 p48r 1144.9855 247.8241 19.853 0.235
OBS: 59095.59 r_PS1 1537.4465 93.4587 19.533 0.066
OBS: 59095.6 i_PS1 1309.785 96.5085 19.707 0.08
OBS: 59096.387 p48r 1638.3248 330.4607 19.464 0.219
OBS: 59102.453 p48r 1752.2659 426.0687 19.391 0.264
OBS: 59103.61 g_PS1 1225.7446 80.1556 19.779 0.071
OBS: 59103.62 z_PS1 622.8737 103.8375 20.514 0.181
OBS: 59105.6 i_PS1 951.4807 64.8496 20.054 0.074
OBS: 59105.6 g_PS1 1169.4994 62.4746 19.83 0.058
OBS: 59107.398 p48g 794.3282 92.9136 20.25 0.127
OBS: 59107.421 p48r 1039.4414 111.0539 19.958 0.116
OBS: 59108.59 r_PS1 995.4054 51.3409 20.005 0.056
OBS: 59108.59 g_PS1 887.9735 60.5212 20.129 0.074
OBS: 59110.459 p48r 1111.7317 106.49 19.885 0.104
OBS: 59110.503 p48g 834.8338 98.4205 20.196 0.128
OBS: 59110.51 i_PS1 572.2687 61.6682 20.606 0.117
OBS: 59110.51 g_PS1 769.1304 65.1724 20.285 0.092
OBS: 59112.416 p48r 921.2977 74.6721 20.089 0.088
OBS: 59113.416 p48g 599.2389 75.061 20.556 0.136
OBS: 59113.421 p48r 962.9417 84.2557 20.041 0.095
OBS: 59114.57 g_PS1 410.7712 55.9935 20.966 0.148
OBS: 59114.57 r_PS1 747.4807 62.6494 20.316 0.091
OBS: 59115.39 p48r 820.3515 88.4019 20.215 0.117
OBS: 59116.403 p48r 755.0922 82.0649 20.305 0.118
OBS: 59118.56 r_PS1 705.3424 64.9644 20.379 0.1
OBS: 59130.422 p48r 449.5728 111.3853 20.868 0.269
OBS: 59136.51 i_PS1 201.187 41.5072 21.741 0.224
OBS: 59140.48 i_PS1 245.0191 60.4798 21.527 0.268
OBS: 59144.5 i_PS1 276.9491 63.5148 21.394 0.249
END:
