# 2020tfy 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.31 (yyyy.mm.dd); 16.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020tfy
RA: 337.767296
DEC: 36.685564
MWEBV: 0.096
REDSHIFT_HELIO: 0.23
REDSHIFT_CMB: 0.2321647485533549
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59113.42
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 38
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59084.314 p48g 260.6154 64.3295 21.46 0.268
OBS: 59090.41 r_PS1 316.5192 76.6711 21.249 0.263
OBS: 59090.412 p48g 324.489 62.164 21.222 0.208
OBS: 59090.452 p48r 348.9796 72.9628 21.143 0.227
OBS: 59094.43 z_PS1 477.3094 111.663 20.803 0.254
OBS: 59094.44 r_PS1 461.7427 92.7112 20.839 0.218
OBS: 59096.313 p48r 582.908 139.5883 20.586 0.26
OBS: 59097.47 r_PS1 502.574 106.0013 20.747 0.229
OBS: 59099.316 p48r 755.0922 104.3198 20.305 0.15
OBS: 59099.43 z_PS1 740.6278 168.4894 20.326 0.247
OBS: 59099.44 r_PS1 441.7738 101.3153 20.887 0.249
OBS: 59104.4 z_PS1 639.1459 111.8483 20.486 0.19
OBS: 59104.4 g_PS1 329.0031 54.5442 21.207 0.18
OBS: 59106.26 g_PS1 335.7376 46.0746 21.185 0.149
OBS: 59106.26 i_PS1 602.5596 44.9532 20.55 0.081
OBS: 59106.344 p48r 543.5006 111.1293 20.662 0.222
OBS: 59109.242 p48r 445.8615 78.4348 20.877 0.191
OBS: 59109.316 p48g 439.3392 84.9757 20.893 0.21
OBS: 59109.35 r_PS1 514.2804 87.1552 20.722 0.184
OBS: 59110.292 p48r 713.8386 128.2066 20.366 0.195
OBS: 59112.202 p48r 519.039 71.7079 20.712 0.15
OBS: 59112.295 p48g 282.8785 56.0163 21.371 0.215
OBS: 59113.289 p48r 648.6344 71.6897 20.47 0.12
OBS: 59113.42 i_PS1 764.8918 158.5106 20.291 0.225
OBS: 59115.236 p48g 292.4152 67.8697 21.335 0.252
OBS: 59115.325 p48r 569.6394 80.2726 20.611 0.153
OBS: 59115.34 z_PS1 542.5003 78.9465 20.664 0.158
OBS: 59116.367 p48r 510.035 74.6918 20.731 0.159
OBS: 59118.282 p48r 465.1575 83.543 20.831 0.195
OBS: 59118.43 i_PS1 416.4856 66.746 20.951 0.174
OBS: 59118.44 r_PS1 329.0031 61.8167 21.207 0.204
OBS: 59128.3 i_PS1 401.4209 56.9372 20.991 0.154
OBS: 59131.247 p48r 289.4676 66.6524 21.346 0.25
OBS: 59131.37 i_PS1 376.7038 55.8601 21.06 0.161
OBS: 59134.174 p48r 373.5941 87.0555 21.069 0.253
OBS: 59136.178 p48r 293.2243 68.0575 21.332 0.252
OBS: 59144.225 p48r 276.4394 67.4717 21.396 0.265
OBS: 59148.31 z_PS1 377.3984 91.0703 21.058 0.262
END:
