# 2020tug 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 22.55 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020tug
RA: 359.866177
DEC: 17.865214
MWEBV: 0.025
REDSHIFT_HELIO: 0.05
REDSHIFT_CMB: 0.04950448813030506
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59126.279
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 41
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59111.51 g_PS1 849.5716 198.751 20.177 0.254
OBS: 59112.55 g_PS1 1323.1223 129.1759 19.696 0.106
OBS: 59117.37 g_PS1 5460.0925 85.4918 18.157 0.017
OBS: 59117.37 z_PS1 3050.7035 109.5823 18.789 0.039
OBS: 59120.37 r_PS1 6767.0596 236.8423 17.924 0.038
OBS: 59127.36 z_PS1 4218.9075 167.0876 18.437 0.043
OBS: 59127.36 r_PS1 8717.6615 200.7316 17.649 0.025
OBS: 59130.48 i_PS1 4911.34 99.5172 18.272 0.022
OBS: 59130.48 r_PS1 8920.7219 139.6769 17.624 0.017
OBS: 59132.45 z_PS1 3812.4135 98.3182 18.547 0.028
OBS: 59132.45 g_PS1 9229.9638 136.0178 17.587 0.016
OBS: 59137.45 g_PS1 7151.547 105.3891 17.864 0.016
OBS: 59137.45 r_PS1 6861.1988 107.4298 17.909 0.017
OBS: 59142.27 r_PS1 5214.3479 139.2752 18.207 0.029
OBS: 59142.27 g_PS1 4965.9232 96.0495 18.26 0.021
OBS: 59143.26 i_PS1 2370.2819 102.6062 19.063 0.047
OBS: 59143.27 g_PS1 4353.1136 128.2997 18.403 0.032
OBS: 59145.29 g_PS1 3955.4874 91.0785 18.507 0.025
OBS: 59145.29 i_PS1 2355.0493 73.7487 19.07 0.034
OBS: 59147.42 z_PS1 2047.3873 143.3142 19.222 0.076
OBS: 59154.41 i_PS1 2795.1171 162.1871 18.884 0.063
OBS: 59154.41 r_PS1 3865.4495 142.4084 18.532 0.04
OBS: 59156.37 r_PS1 3787.913 90.7087 18.554 0.026
OBS: 59156.38 z_PS1 2141.904 88.7745 19.173 0.045
OBS: 59158.39 r_PS1 3394.6891 96.9253 18.673 0.031
OBS: 59158.39 i_PS1 3033.8912 108.9784 18.795 0.039
OBS: 59163.35 g_PS1 1116.8632 62.7488 19.88 0.061
OBS: 59163.35 i_PS1 2598.9624 90.9618 18.963 0.038
OBS: 59169.22 g_PS1 999.0794 68.0938 20.001 0.074
OBS: 59169.22 i_PS1 1755.4966 67.9086 19.389 0.042
OBS: 59173.37 g_PS1 830.233 62.7032 20.202 0.082
OBS: 59173.38 r_PS1 1704.5118 78.4957 19.421 0.05
OBS: 59182.36 r_PS1 1328.0059 162.6774 19.692 0.133
OBS: 59186.34 r_PS1 1251.9875 98.0155 19.756 0.085
OBS: 59186.35 i_PS1 769.8392 80.1224 20.284 0.113
OBS: 59190.28 g_PS1 652.2288 55.2667 20.464 0.092
OBS: 59190.29 z_PS1 492.9467 82.1778 20.768 0.181
OBS: 59192.3 i_PS1 738.5842 59.1827 20.329 0.087
OBS: 59192.31 g_PS1 604.2268 76.2423 20.547 0.137
OBS: 59194.31 i_PS1 677.3295 59.2651 20.423 0.095
OBS: 59194.31 g_PS1 552.0774 50.8482 20.645 0.1
END:
