# 2020ue 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.29 (yyyy.mm.dd); 12.53 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020ue
RA: 190.694908
DEC: 2.659503
MWEBV: 0.025
REDSHIFT_HELIO: 0.003
REDSHIFT_CMB: 0.004123907506458746
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58867.61
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 72
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58867.61 i_PS1 228244.3312 840.8832 14.104 0.004
OBS: 58867.61 g_PS1 707294.0424 1302.8838 12.876 0.002
OBS: 58874.59 g_PS1 342609.9725 946.6663 13.663 0.003
OBS: 58874.6 i_PS1 604226.822 1113.0269 13.047 0.002
OBS: 58877.58 g_PS1 632703.1549 1165.4823 12.997 0.002
OBS: 58877.59 r_PS1 181134.0093 667.3224 14.355 0.004
OBS: 58883.56 i_PS1 410015.2405 755.276 13.468 0.002
OBS: 58931.45 g_PS1 80835.1037 297.8075 15.231 0.004
OBS: 58931.45 r_PS1 99265.8807 274.2818 15.008 0.003
OBS: 58941.42 z_PS1 32991.3434 212.7031 16.204 0.007
OBS: 58941.42 g_PS1 66069.3448 304.2606 15.45 0.005
OBS: 58943.36 r_PS1 65644.7502 302.3052 15.457 0.005
OBS: 58949.36 z_PS1 24615.0091 272.0551 16.522 0.012
OBS: 58949.36 r_PS1 53554.9971 246.6299 15.678 0.005
OBS: 58956.44 g_PS1 50769.1626 187.0405 15.736 0.004
OBS: 58956.45 i_PS1 36745.1479 203.0612 16.087 0.006
OBS: 58964.43 r_PS1 33666.6574 310.0814 16.182 0.01
OBS: 58967.49 i_PS1 26061.5355 120.0178 16.46 0.005
OBS: 58967.49 r_PS1 30310.9815 139.5872 16.296 0.005
OBS: 58979.33 z_PS1 11770.6379 227.6643 17.323 0.021
OBS: 58979.33 r_PS1 21438.7767 157.9667 16.672 0.008
OBS: 58986.27 g_PS1 30422.8573 168.1229 16.292 0.006
OBS: 58986.27 r_PS1 18046.7915 132.9737 16.859 0.008
OBS: 58990.27 g_PS1 27745.9756 204.4399 16.392 0.008
OBS: 58990.27 i_PS1 16010.3195 132.7144 16.989 0.009
OBS: 58994.27 r_PS1 14969.2486 137.8719 17.062 0.01
OBS: 58994.27 g_PS1 25894.0511 143.0958 16.467 0.006
OBS: 58998.27 g_PS1 25049.5541 161.5004 16.503 0.007
OBS: 58998.27 i_PS1 13918.7425 141.016 17.141 0.011
OBS: 59004.31 i_PS1 12325.371 204.3376 17.273 0.018
OBS: 59008.29 z_PS1 7217.7195 146.2508 17.854 0.022
OBS: 59008.29 r_PS1 11005.2522 121.6345 17.396 0.012
OBS: 59011.29 r_PS1 10073.9548 139.1768 17.492 0.015
OBS: 59011.29 i_PS1 10894.3168 140.4765 17.407 0.014
OBS: 59015.28 g_PS1 18518.2524 119.3916 16.831 0.007
OBS: 59015.28 z_PS1 6564.475 169.2909 17.957 0.028
OBS: 59022.27 r_PS1 7884.9692 79.8856 17.758 0.011
OBS: 59022.28 g_PS1 17571.1425 161.8362 16.888 0.01
OBS: 59034.3 i_PS1 6848.5716 113.5398 17.911 0.018
OBS: 59039.3 r_PS1 5375.2665 123.7701 18.174 0.025
OBS: 59039.3 i_PS1 6474.407 178.8945 17.972 0.03
OBS: 59041.28 z_PS1 3940.9416 105.2625 18.511 0.029
OBS: 59041.28 r_PS1 4893.2792 76.6169 18.276 0.017
OBS: 59044.27 g_PS1 11662.7241 139.643 17.333 0.013
OBS: 59044.27 i_PS1 5727.9603 105.5129 18.105 0.02
OBS: 59048.28 g_PS1 11748.9755 140.6757 17.325 0.013
