# 2020uwr 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020uwr
RA: 359.264637
DEC: 17.904025
MWEBV: 0.024
REDSHIFT_HELIO: 0.08
REDSHIFT_CMB: 0.08112300305783515
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59134.299
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 43
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59121.329 p48g 941.0225 188.9436 20.066 0.218
OBS: 59124.297 p48r 1596.6142 272.0492 19.492 0.185
OBS: 59126.279 p48g 1749.041 180.4237 19.393 0.112
OBS: 59126.33 p48r 1940.8859 169.8241 19.28 0.095
OBS: 59127.36 r_PS1 2023.0192 180.7371 19.235 0.097
OBS: 59127.36 z_PS1 1225.7446 174.9876 19.779 0.155
OBS: 59128.258 p48r 2161.7228 129.4163 19.163 0.065
OBS: 59128.294 p48g 2320.5985 164.576 19.086 0.077
OBS: 59130.248 p48g 2723.9554 87.8099 18.912 0.035
OBS: 59130.26 p48r 2623.0103 94.2194 18.953 0.039
OBS: 59134.246 p48g 2926.8469 80.8718 18.834 0.03
OBS: 59134.299 p48r 3162.2777 99.0272 18.75 0.034
OBS: 59136.198 p48r 2894.6763 95.9794 18.846 0.036
OBS: 59136.237 p48g 2940.3566 78.5369 18.829 0.029
OBS: 59138.232 p48g 2669.3161 95.8827 18.934 0.039
OBS: 59138.278 p48r 3136.1729 103.9868 18.759 0.036
OBS: 59140.208 p48g 2659.5 75.9342 18.938 0.031
OBS: 59140.249 p48r 3047.895 89.8309 18.79 0.032
OBS: 59142.27 r_PS1 2594.1794 66.9012 18.965 0.028
OBS: 59142.27 g_PS1 2100.874 65.7892 19.194 0.034
OBS: 59143.215 p48r 2703.9584 82.1844 18.92 0.033
OBS: 59143.26 i_PS1 1949.8446 122.1194 19.275 0.068
OBS: 59143.27 g_PS1 2124.2225 119.3454 19.182 0.061
OBS: 59143.358 p48g 2122.2669 76.2325 19.183 0.039
OBS: 59145.18 p48r 2333.4581 96.7137 19.08 0.045
OBS: 59145.275 p48g 1778.2794 62.2385 19.375 0.038
OBS: 59145.29 i_PS1 1495.5468 71.6274 19.563 0.052
OBS: 59145.29 g_PS1 1678.0311 83.4583 19.438 0.054
OBS: 59149.197 p48r 1704.5118 246.4764 19.421 0.157
OBS: 59149.259 p48g 1239.3672 256.8374 19.767 0.225
OBS: 59151.194 p48g 1102.5543 190.9121 19.894 0.188
OBS: 59151.242 p48r 1753.8805 192.2307 19.39 0.119
OBS: 59153.324 p48r 1626.2975 253.1409 19.472 0.169
OBS: 59155.247 p48r 1603.9839 149.2097 19.487 0.101
OBS: 59164.174 p48r 1246.2352 115.9303 19.761 0.101
OBS: 59167.206 p48r 1067.5789 77.6788 19.929 0.079
OBS: 59169.193 p48r 970.957 96.5827 20.032 0.108
OBS: 59169.22 i_PS1 939.2907 68.3444 20.068 0.079
OBS: 59169.22 g_PS1 264.972 50.0299 21.442 0.205
OBS: 59172.15 p48r 921.2977 79.7634 20.089 0.094
OBS: 59174.121 p48r 606.457 115.6235 20.543 0.207
OBS: 59178.3 p48r 1317.0431 240.1822 19.701 0.198
OBS: 59184.263 p48r 757.8792 171.018 20.301 0.245
END:
