# 2020yhn 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020yhn
RA: 331.011154
DEC: 3.284925
MWEBV: 0.04
REDSHIFT_HELIO: 0.09
REDSHIFT_CMB: 0.08893450457278695
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59155.173
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 40
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59144.161 p48g 1142.8783 199.9997 19.855 0.19
OBS: 59144.192 p48r 897.8422 109.9834 20.117 0.133
OBS: 59144.22 i_PS1 1033.7131 83.7835 19.964 0.088
OBS: 59144.23 g_PS1 1138.6756 195.0692 19.859 0.186
OBS: 59149.191 p48r 1803.0177 272.3451 19.36 0.164
OBS: 59151.125 p48r 2337.7604 172.2526 19.078 0.08
OBS: 59151.144 p48g 2900.0134 219.0229 18.844 0.082
OBS: 59153.089 p48r 2973.0348 164.296 18.817 0.06
OBS: 59153.157 p48g 3133.2857 216.4397 18.76 0.075
OBS: 59155.109 p48r 3296.0971 112.3253 18.705 0.037
OBS: 59155.173 p48g 3457.801 175.1614 18.653 0.055
OBS: 59155.21 r_PS1 3116.0183 114.7984 18.766 0.04
OBS: 59155.22 i_PS1 2240.784 111.4473 19.124 0.054
OBS: 59157.228 p48r 3171.0274 166.4756 18.747 0.057
OBS: 59157.36 i_PS1 2216.1543 63.2758 19.136 0.031
OBS: 59157.36 r_PS1 3070.4357 101.8071 18.782 0.036
OBS: 59164.15 p48r 2632.6917 121.2399 18.949 0.05
OBS: 59164.197 p48g 2070.1413 148.7203 19.21 0.078
OBS: 59166.21 r_PS1 2368.0998 78.5196 19.064 0.036
OBS: 59166.22 g_PS1 2066.3315 116.0929 19.212 0.061
OBS: 59167.12 p48r 2175.705 106.2066 19.156 0.053
OBS: 59167.166 p48g 1771.74 122.3875 19.379 0.075
OBS: 59169.122 p48g 1544.543 99.5804 19.528 0.07
OBS: 59169.166 p48r 1901.954 113.8647 19.302 0.065
OBS: 59171.107 p48r 1926.6375 79.8524 19.288 0.045
OBS: 59171.151 p48g 1298.9726 86.1407 19.716 0.072
OBS: 59173.111 p48r 1768.4794 99.3586 19.381 0.061
OBS: 59177.085 p48r 1829.7847 202.2353 19.344 0.12
OBS: 59179.085 p48r 1731.4103 130.7644 19.404 0.082
OBS: 59181.102 p48r 1362.6992 192.0291 19.664 0.153
OBS: 59181.25 r_PS1 1428.2361 123.6527 19.613 0.094
OBS: 59181.25 z_PS1 1331.6804 179.0724 19.689 0.146
OBS: 59183.071 p48r 1189.0497 173.0345 19.812 0.158
OBS: 59183.31 r_PS1 1208.9268 241.6214 19.794 0.217
OBS: 59185.145 p48r 1171.6557 183.4529 19.828 0.17
OBS: 59185.22 i_PS1 1245.0879 89.4479 19.762 0.078
OBS: 59185.22 r_PS1 1075.4742 85.1872 19.921 0.086
OBS: 59187.171 p48r 1063.6531 210.627 19.933 0.215
OBS: 59189.185 p48r 826.4184 136.2476 20.207 0.179
OBS: 59194.122 p48r 787.0458 126.1319 20.26 0.174
END:
