# 2020yza 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.03 (yyyy.mm.dd); 12.01 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020yza
RA: 160.39654
DEC: -3.4415
MWEBV: 0.051
REDSHIFT_HELIO: 0.071
REDSHIFT_CMB: 0.07225858091916404
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59165.522
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 56
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59156.548 p48r 2314.1953 200.3565 19.089 0.094
OBS: 59158.498 p48g 2461.5009 308.3292 19.022 0.136
OBS: 59159.174 p48r 3011.6188 252.4161 18.803 0.091
OBS: 59159.51 p48g 3335.8 190.4879 18.692 0.062
OBS: 59165.483 p48r 4149.5404 129.9435 18.455 0.034
OBS: 59165.522 p48g 4537.3262 100.2968 18.358 0.024
OBS: 59168.526 p48r 4369.1806 120.7249 18.399 0.03
OBS: 59168.83 p48g 4164.8561 122.7512 18.451 0.032
OBS: 59170.483 p48g 3691.4756 105.3992 18.582 0.031
OBS: 59171.489 p48r 4289.4341 185.6836 18.419 0.047
OBS: 59173.479 p48g 3448.26 114.3347 18.656 0.036
OBS: 59173.534 p48r 3620.7622 400.1814 18.603 0.12
OBS: 59174.542 p48g 3637.4749 318.2726 18.598 0.095
OBS: 59176.503 p48g 2959.375 95.399 18.822 0.035
OBS: 59176.549 p48r 3388.4416 146.6809 18.675 0.047
OBS: 59179.484 p48g 2376.8403 116.025 19.06 0.053
OBS: 59179.524 p48r 2749.1599 116.4752 18.902 0.046
OBS: 59181.488 p48r 2447.9357 196.153 19.028 0.087
OBS: 59181.515 p48g 2085.451 201.681 19.202 0.105
OBS: 59185.516 p48g 1428.2361 198.6336 19.613 0.151
OBS: 59185.533 p48r 2493.4462 163.055 19.008 0.071
OBS: 59187.485 p48r 2577.5079 284.8767 18.972 0.12
OBS: 59187.523 p48g 1230.2688 273.0818 19.775 0.241
OBS: 59189.465 p48r 2486.5661 480.9445 19.011 0.21
OBS: 59194.481 p48r 1921.3213 132.7202 19.291 0.075
OBS: 59194.527 p48g 656.4475 99.7607 20.457 0.165
OBS: 59196.504 p48r 2163.7147 193.3069 19.162 0.097
OBS: 59198.478 p48r 1526.1598 146.1871 19.541 0.104
OBS: 59198.503 p48g 620.5832 117.7451 20.518 0.206
OBS: 59199.448 p48r 1409.9379 129.8601 19.627 0.1
OBS: 59199.524 p48g 639.1459 155.4102 20.486 0.264
OBS: 59200.521 p48r 1502.4499 268.4587 19.558 0.194
OBS: 59203.475 p48r 1225.7446 120.7979 19.779 0.107
OBS: 59205.58 g_PS1 381.2414 64.6091 21.047 0.184
OBS: 59205.59 z_PS1 830.998 156.9024 20.201 0.205
OBS: 59208.54 z_PS1 1049.0592 138.1694 19.948 0.143
OBS: 59208.55 r_PS1 797.9947 64.6783 20.245 0.088
OBS: 59210.422 p48r 1289.4366 199.5193 19.724 0.168
OBS: 59214.62 r_PS1 671.1197 142.1685 20.433 0.23
OBS: 59222.404 p48g 320.6269 81.2098 21.235 0.275
OBS: 59222.441 p48r 702.7486 106.7971 20.383 0.165
OBS: 59224.487 p48r 643.2799 145.1583 20.479 0.245
OBS: 59226.452 p48r 577.0321 131.8036 20.597 0.248
OBS: 59226.56 g_PS1 330.2174 49.2709 21.203 0.162
OBS: 59226.56 i_PS1 621.155 64.0758 20.517 0.112
OBS: 59228.47 p48r 697.5896 87.3805 20.391 0.136
OBS: 59230.446 p48r 483.5039 105.987 20.789 0.238
OBS: 59230.61 g_PS1 504.4289 102.2112 20.743 0.22
OBS: 59230.61 r_PS1 408.8839 94.5256 20.971 0.251
OBS: 59232.437 p48g 283.9226 68.2521 21.367 0.261
OBS: 59232.484 p48r 544.5027 89.268 20.66 0.178
OBS: 59251.444 p48r 466.8743 92.0215 20.827 0.214
OBS: 59253.354 p48r 469.0293 102.8141 20.822 0.238
OBS: 59255.52 g_PS1 400.3133 85.1702 20.994 0.231
OBS: 59264.359 p48r 455.4073 81.3725 20.854 0.194
OBS: 59317.32 r_PS1 463.4469 102.0172 20.835 0.239
END:
