# 2020zbr 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 18.26 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020zbr
RA: 59.981433
DEC: -12.237808
MWEBV: 0.046
REDSHIFT_HELIO: 0.091
REDSHIFT_CMB: 0.09074902227985082
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59168.318
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 38
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59156.332 p48r 755.0922 180.8211 20.305 0.26
OBS: 59158.294 p48g 1144.9855 248.8787 19.853 0.236
OBS: 59158.49 z_PS1 925.5502 121.9022 20.084 0.143
OBS: 59158.49 r_PS1 1064.6332 77.4645 19.932 0.079
OBS: 59161.45 z_PS1 1318.2567 101.9894 19.7 0.084
OBS: 59161.46 g_PS1 1386.7558 86.853 19.645 0.068
OBS: 59165.354 p48r 1946.2562 87.8358 19.277 0.049
OBS: 59165.363 p48g 1645.8869 83.3755 19.459 0.055
OBS: 59167.34 p48r 1960.6497 119.1845 19.269 0.066
OBS: 59167.357 p48g 1492.7944 85.2447 19.565 0.062
OBS: 59167.46 g_PS1 1448.1048 108.0341 19.598 0.081
OBS: 59167.46 r_PS1 1856.9491 92.3569 19.328 0.054
OBS: 59168.318 p48r 1986.0949 104.2679 19.255 0.057
OBS: 59168.364 p48g 1671.8604 87.7709 19.442 0.057
OBS: 59170.231 p48g 1491.4201 111.2655 19.566 0.081
OBS: 59170.284 p48r 1723.4552 119.0521 19.409 0.075
OBS: 59172.317 p48g 1448.1048 82.6927 19.598 0.062
OBS: 59174.321 p48g 1323.1223 168.1724 19.696 0.138
OBS: 59176.318 p48r 1516.3519 134.0747 19.548 0.096
OBS: 59176.338 p48g 1168.4227 105.4634 19.831 0.098
OBS: 59178.316 p48r 1551.6723 148.6309 19.523 0.104
OBS: 59182.225 p48g 1367.7288 294.7756 19.66 0.234
OBS: 59182.371 p48r 1264.7363 294.7109 19.745 0.253
OBS: 59184.297 p48r 1064.6332 231.413 19.932 0.236
OBS: 59185.4 r_PS1 871.7661 97.1541 20.149 0.121
OBS: 59185.41 z_PS1 591.5616 114.963 20.57 0.211
OBS: 59188.308 p48r 845.6682 134.7478 20.182 0.173
OBS: 59192.42 g_PS1 321.8103 57.7977 21.231 0.195
OBS: 59192.42 z_PS1 562.8595 118.7165 20.624 0.229
OBS: 59193.271 p48r 842.5584 90.0189 20.186 0.116
OBS: 59195.262 p48r 918.7556 116.7763 20.092 0.138
OBS: 59198.253 p48r 913.6924 163.2591 20.098 0.194
OBS: 59198.38 r_PS1 496.5923 75.0101 20.76 0.164
OBS: 59204.278 p48r 540.5054 109.0234 20.668 0.219
OBS: 59205.42 z_PS1 717.7943 108.4225 20.36 0.164
OBS: 59217.32 r_PS1 298.1261 55.466 21.314 0.202
OBS: 59217.33 i_PS1 404.7622 56.6656 20.982 0.152
OBS: 59222.24 p48r 440.1493 107.8344 20.891 0.266
END:
