# 2020zfn 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.30 (yyyy.mm.dd); 18.40 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020zfn
RA: 326.084129
DEC: 8.623478
MWEBV: 0.053
REDSHIFT_HELIO: 0.038
REDSHIFT_CMB: 0.03681005461300879
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59173.113
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 31
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59164.129 p48r 1124.0872 108.7089 19.873 0.105
OBS: 59167.125 p48r 1953.4397 113.3486 19.273 0.063
OBS: 59167.13 p48g 887.9735 85.0568 20.129 0.104
OBS: 59169.12 p48g 1235.9474 111.5583 19.77 0.098
OBS: 59169.166 p48r 2372.466 144.218 19.062 0.066
OBS: 59170.22 i_PS1 3200.3686 150.3301 18.737 0.051
OBS: 59170.22 g_PS1 1353.9418 164.6075 19.671 0.132
OBS: 59171.11 p48r 3351.1973 89.5104 18.687 0.029
OBS: 59173.113 p48r 3614.0986 99.8612 18.605 0.03
OBS: 59173.152 p48g 1513.5612 142.1922 19.55 0.102
OBS: 59177.089 p48r 3522.0864 181.6618 18.633 0.056
OBS: 59179.102 p48r 3382.2056 130.8353 18.677 0.042
OBS: 59179.131 p48g 1475.0271 146.7234 19.578 0.108
OBS: 59181.1 p48r 3557.9513 222.8356 18.622 0.068
OBS: 59181.128 p48g 1278.7923 203.7613 19.733 0.173
OBS: 59181.25 r_PS1 3121.7635 195.517 18.764 0.068
OBS: 59181.25 z_PS1 2694.0149 198.5024 18.924 0.08
OBS: 59183.072 p48r 3147.7483 182.6486 18.755 0.063
OBS: 59183.135 p48g 1389.3127 267.4373 19.643 0.209
OBS: 59183.3 r_PS1 2984.0081 236.3601 18.813 0.086
OBS: 59183.31 z_PS1 2493.4462 319.2203 19.008 0.139
OBS: 59185.121 p48g 1053.9014 175.6929 19.943 0.181
OBS: 59185.129 p48r 2913.3992 166.3671 18.839 0.062
OBS: 59185.21 r_PS1 2782.2747 110.1905 18.889 0.043
OBS: 59185.21 i_PS1 2352.8812 60.6783 19.071 0.028
OBS: 59187.119 p48g 1037.5284 104.1603 19.96 0.109
OBS: 59189.201 p48r 2191.7953 161.4974 19.148 0.08
OBS: 59194.098 p48g 378.4426 84.0026 21.055 0.241
OBS: 59194.119 p48r 1803.0177 139.4938 19.36 0.084
OBS: 59199.112 p48r 1693.5577 146.6235 19.428 0.094
OBS: 59204.154 p48r 1077.4571 224.2767 19.919 0.226
END:
