# 2020zhh 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.14 (yyyy.mm.dd); 11.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020zhh
RA: 66.58267
DEC: -10.09911
MWEBV: 0.057
REDSHIFT_HELIO: 0.04
REDSHIFT_CMB: 0.041882658493327174
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59178.65216116089
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 32
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59161.46 g_PS1 519.039 77.9226 20.712 0.163
OBS: 59161.46 z_PS1 565.9786 125.1085 20.618 0.24
OBS: 59167.46 r_PS1 9187.556 135.3928 17.592 0.016
OBS: 59167.47 g_PS1 9179.0979 169.0852 17.593 0.02
OBS: 59172.46 g_PS1 19624.5632 180.7489 16.768 0.01
OBS: 59172.46 i_PS1 15121.6785 153.2034 17.051 0.011
OBS: 59188.45 i_PS1 9036.4947 108.1979 17.61 0.013
OBS: 59188.45 r_PS1 16998.0851 156.5581 16.924 0.01
OBS: 59190.41 g_PS1 13514.5005 149.3678 17.173 0.012
OBS: 59190.42 i_PS1 8203.5154 105.78 17.715 0.014
OBS: 59192.42 z_PS1 9229.9638 136.0178 17.587 0.016
OBS: 59192.43 g_PS1 11481.5362 126.8986 17.35 0.012
OBS: 59205.42 z_PS1 10101.8287 176.7784 17.489 0.019
OBS: 59205.42 g_PS1 3705.1006 92.1381 18.578 0.027
OBS: 59218.36 r_PS1 4651.5747 102.8222 18.331 0.024
OBS: 59218.36 z_PS1 4621.6814 157.4989 18.338 0.037
OBS: 59220.33 i_PS1 4199.5233 88.9618 18.442 0.023
OBS: 59220.33 g_PS1 1799.6995 81.2216 19.362 0.049
OBS: 59225.33 g_PS1 1704.5118 91.055 19.421 0.058
OBS: 59225.34 i_PS1 3438.7452 107.6848 18.659 0.034
OBS: 59229.29 g_PS1 1633.8042 93.2969 19.467 0.062
OBS: 59229.3 r_PS1 3535.0861 104.1899 18.629 0.032
OBS: 59243.23 r_PS1 2177.7098 182.5228 19.155 0.091
OBS: 59243.23 i_PS1 1940.8859 135.8593 19.28 0.076
OBS: 59245.26 r_PS1 2220.2404 98.156 19.134 0.048
OBS: 59254.24 g_PS1 1144.9855 89.6385 19.853 0.085
OBS: 59254.25 r_PS1 1733.0057 97.3656 19.403 0.061
OBS: 59258.24 g_PS1 1085.4254 70.9797 19.911 0.071
OBS: 59258.24 r_PS1 1448.1048 86.694 19.598 0.065
OBS: 59267.24 i_PS1 818.088 96.4463 20.218 0.128
OBS: 59267.24 r_PS1 1312.1999 100.3122 19.705 0.083
OBS: 59269.27 r_PS1 1270.5741 224.6865 19.74 0.192
END:
