# 2020zj 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020zj
RA: 240.334933
DEC: 16.677739
MWEBV: 0.032
REDSHIFT_HELIO: 0.0316
REDSHIFT_CMB: 0.029976845212601244
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 58868.65
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 101
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 58855.502 p48g 1691.9986 148.0469 19.429 0.095
OBS: 58861.506 p48g 11365.7997 387.3267 17.361 0.037
OBS: 58868.65 r_PS1 18080.0655 116.5665 16.857 0.007
OBS: 58868.65 g_PS1 19624.5632 180.7489 16.768 0.01
OBS: 58873.538 p48r 18264.1725 151.3973 16.846 0.009
OBS: 58873.549 p48g 18724.059 155.2095 16.819 0.009
OBS: 58873.64 r_PS1 17282.2387 127.3402 16.906 0.008
OBS: 58876.54 p48g 16292.9603 135.0573 16.97 0.009
OBS: 58876.561 p48r 16099.0408 148.2776 16.983 0.01
OBS: 58878.65 g_PS1 13182.5674 182.1239 17.2 0.015
OBS: 58878.66 r_PS1 13049.6841 432.6913 17.211 0.036
OBS: 58879.519 p48g 11824.9687 141.5856 17.318 0.013
OBS: 58879.544 p48r 10814.3395 209.1679 17.415 0.021
OBS: 58882.65 g_PS1 9736.4357 134.5138 17.529 0.015
OBS: 58882.66 z_PS1 7271.098 220.9986 17.846 0.033
OBS: 58883.483 p48g 7557.8801 167.0656 17.804 0.024
OBS: 58883.56 p48r 8757.9004 193.5918 17.644 0.024
OBS: 58886.499 p48g 6205.8318 177.1893 18.018 0.031
OBS: 58886.562 p48r 9673.8645 151.4693 17.536 0.017
OBS: 58890.482 p48r 8417.8271 310.1242 17.687 0.04
OBS: 58890.545 p48g 3739.3834 292.7485 18.568 0.085
OBS: 58893.48 p48g 3162.2777 166.0162 18.75 0.057
OBS: 58893.524 p48r 8113.3461 156.926 17.727 0.021
OBS: 58898.539 p48r 5839.8272 102.1949 18.084 0.019
OBS: 58903.525 p48g 1627.7961 83.9583 19.471 0.056
OBS: 58906.52 p48r 3644.1815 228.2362 18.596 0.068
OBS: 58906.524 p48g 1310.9919 154.5559 19.706 0.128
OBS: 58911.496 p48r 2913.3992 144.9004 18.839 0.054
OBS: 58914.482 p48g 1527.5661 123.8107 19.54 0.088
OBS: 58914.541 p48r 2862.8593 92.2877 18.858 0.035
OBS: 58931.51 g_PS1 953.235 67.6031 20.052 0.077
OBS: 58931.52 r_PS1 1745.8222 73.9662 19.395 0.046
OBS: 58933.52 i_PS1 1152.3914 117.8145 19.846 0.111
OBS: 58936.441 p48r 1492.7944 89.3694 19.565 0.065
OBS: 58939.432 p48r 1460.1585 234.0049 19.589 0.174
OBS: 58939.442 p48g 906.9848 179.6032 20.106 0.215
OBS: 58942.49 i_PS1 1027.0699 122.9756 19.971 0.13
OBS: 58942.5 r_PS1 1203.3723 130.7849 19.799 0.118
OBS: 58943.437 p48g 934.975 126.5881 20.073 0.147
OBS: 58943.462 p48r 1152.3914 128.4284 19.846 0.121
OBS: 58947.61 r_PS1 1064.6332 262.791 19.932 0.268
OBS: 58951.47 r_PS1 1040.3992 128.4046 19.957 0.134
OBS: 58953.441 p48r 830.998 96.4376 20.201 0.126
OBS: 58956.351 p48r 812.0822 130.8922 20.226 0.175
OBS: 58961.57 g_PS1 688.0183 52.5961 20.406 0.083
OBS: 58961.58 r_PS1 702.7486 61.4893 20.383 0.095
OBS: 58962.331 p48r 777.6783 105.2914 20.273 0.147
OBS: 58962.374 p48g 700.8095 79.3927 20.386 0.123
OBS: 58963.401 p48g 774.8185 72.0771 20.277 0.101
OBS: 58964.378 p48g 602.0049 72.6352 20.551 0.131
OBS: 58964.402 p48r 675.4606 83.3644 20.426 0.134
OBS: 58965.349 p48r 681.7105 86.0194 20.416 0.137
OBS: 58965.399 p48g 664.3547 63.6369 20.444 0.104
OBS: 58966.379 p48r 514.2804 81.9449 20.722 0.173
OBS: 58966.57 i_PS1 390.1216 56.4125 21.022 0.157
OBS: 58966.57 g_PS1 647.4407 64.9983 20.472 0.109
OBS: 58967.378 p48r 535.0569 104.4748 20.679 0.212
OBS: 58967.422 p48g 490.2301 73.146 20.774 0.162
OBS: 58968.378 p48r 668.0362 75.6799 20.438 0.123
OBS: 58968.54 g_PS1 681.7105 44.5794 20.416 0.071
OBS: 58968.54 r_PS1 617.7319 52.9125 20.523 0.093
OBS: 58970.396 p48r 439.3392 79.7153 20.893 0.197
OBS: 58970.444 p48g 606.457 60.3253 20.543 0.108
OBS: 58971.4 i_PS1 361.4099 70.5686 21.105 0.212
OBS: 58971.4 g_PS1 535.0569 69.4856 20.679 0.141
OBS: 58971.416 p48r 393.3689 89.8519 21.013 0.248
OBS: 58974.005 r_PS1 405.5085 87.396 20.98 0.234
OBS: 58981.296 p48g 612.0685 83.4329 20.533 0.148
OBS: 58982.51 g_PS1 423.4479 63.9616 20.933 0.164
OBS: 58984.49 g_PS1 494.3107 43.7066 20.765 0.096
OBS: 58984.49 i_PS1 305.0703 48.0476 21.289 0.171
OBS: 58985.311 p48g 310.1701 73.1334 21.271 0.256
OBS: 58986.383 p48g 516.6542 60.9096 20.717 0.128
OBS: 58987.247 p48g 510.505 59.7144 20.73 0.127
OBS: 58987.315 p48r 357.4374 64.5256 21.117 0.196
OBS: 58988.49 g_PS1 502.1113 49.4834 20.748 0.107
OBS: 58988.49 i_PS1 246.1501 54.6377 21.522 0.241
