# 2020zjo 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 19.59 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020zjo
RA: 109.973488
DEC: 37.558072
MWEBV: 0.058
REDSHIFT_HELIO: 0.082
REDSHIFT_CMB: 0.08027833332781853
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59176.46891533691
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 52
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59163.509 p48r 458.3529 93.2971 20.847 0.221
OBS: 59165.384 p48g 774.8185 72.7907 20.277 0.102
OBS: 59165.406 p48r 544.0014 94.6973 20.661 0.189
OBS: 59167.464 p48r 1213.3889 109.5221 19.79 0.098
OBS: 59167.509 p48g 1206.7019 100.0272 19.796 0.09
OBS: 59169.475 p48g 1865.5204 96.2196 19.323 0.056
OBS: 59169.51 p48r 1804.6791 132.9737 19.359 0.08
OBS: 59171.413 p48g 2261.5177 83.3174 19.114 0.04
OBS: 59171.45 p48r 2132.0628 98.1851 19.178 0.05
OBS: 59175.59 g_PS1 2889.349 103.7864 18.848 0.039
OBS: 59175.59 i_PS1 1975.1496 83.6823 19.261 0.046
OBS: 59177.415 p48g 2894.6763 82.649 18.846 0.031
OBS: 59179.373 p48r 2708.9438 144.7117 18.918 0.058
OBS: 59179.448 p48g 2870.7806 105.7635 18.855 0.04
OBS: 59181.404 p48r 2769.4913 155.5985 18.894 0.061
OBS: 59181.517 p48g 2615.7727 149.3714 18.956 0.062
OBS: 59181.64 r_PS1 2429.9649 266.3316 19.036 0.119
OBS: 59181.65 z_PS1 1249.6834 222.1432 19.758 0.193
OBS: 59185.277 p48r 2504.9554 265.3222 19.003 0.115
OBS: 59187.385 p48g 2251.127 203.1897 19.119 0.098
OBS: 59187.472 p48r 1524.7548 296.3181 19.542 0.211
OBS: 59189.32 p48r 1779.918 129.5098 19.374 0.079
OBS: 59192.316 p48g 1342.765 126.1467 19.68 0.102
OBS: 59192.344 p48r 1997.1009 297.9825 19.249 0.162
OBS: 59193.64 r_PS1 1629.296 58.5248 19.47 0.039
OBS: 59193.64 g_PS1 1222.3624 58.5435 19.782 0.052
OBS: 59194.391 p48r 1548.8166 122.6801 19.525 0.086
OBS: 59194.423 p48g 1080.4384 116.4291 19.916 0.117
OBS: 59196.383 p48r 1263.572 153.6207 19.746 0.132
OBS: 59196.429 p48g 835.603 108.5163 20.195 0.141
OBS: 59199.308 p48r 1509.3849 150.141 19.553 0.108
OBS: 59199.343 p48g 707.294 95.762 20.376 0.147
OBS: 59202.325 p48r 1114.8078 128.347 19.882 0.125
OBS: 59202.363 p48g 668.6518 99.152 20.437 0.161
OBS: 59204.344 p48g 630.3765 78.3808 20.501 0.135
OBS: 59204.368 p48r 1190.1453 89.8855 19.811 0.082
OBS: 59206.426 p48r 969.1701 197.2731 20.034 0.221
OBS: 59206.48 i_PS1 1086.4256 64.0406 19.91 0.064
OBS: 59208.53 r_PS1 940.1562 60.6141 20.067 0.07
OBS: 59208.53 z_PS1 870.1618 115.4086 20.151 0.144
OBS: 59217.332 p48r 723.1027 135.8645 20.352 0.204
OBS: 59217.49 r_PS1 457.0882 101.8805 20.85 0.242
OBS: 59217.49 i_PS1 689.922 96.5871 20.403 0.152
OBS: 59219.304 p48r 789.2235 120.6657 20.257 0.166
OBS: 59219.42 z_PS1 451.2321 83.5356 20.864 0.201
OBS: 59220.44 g_PS1 237.684 35.2453 21.56 0.161
OBS: 59220.44 i_PS1 516.1786 50.3943 20.718 0.106
OBS: 59223.299 p48r 509.5655 112.1692 20.732 0.239
OBS: 59225.291 p48r 621.7274 88.1853 20.516 0.154
OBS: 59226.45 r_PS1 499.3442 72.6663 20.754 0.158
OBS: 59251.225 p48r 407.0052 85.4694 20.976 0.228
OBS: 59257.45 i_PS1 189.1472 44.7722 21.808 0.257
END:
