# 2020zmi 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.14 (yyyy.mm.dd); 11.35 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2020zmi
RA: 315.045875
DEC: -4.067011
MWEBV: 0.075
REDSHIFT_HELIO: 0.0196
REDSHIFT_CMB: 0.01897382492207922
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59186.04826757765
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 48
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59167.21 i_PS1 5644.1689 140.3587 18.121 0.027
OBS: 59167.21 g_PS1 7338.3767 141.9368 17.836 0.021
OBS: 59181.24 z_PS1 35645.1133 295.4733 16.12 0.009
OBS: 59181.24 r_PS1 57174.1873 263.2969 15.607 0.005
OBS: 59184.2 r_PS1 61150.4983 281.6085 15.534 0.005
OBS: 59184.2 z_PS1 35416.04 260.955 16.127 0.008
OBS: 59319.62 g_PS1 1658.0591 82.465 19.451 0.054
OBS: 59319.62 r_PS1 1362.6992 87.8565 19.664 0.07
OBS: 59323.6 g_PS1 1551.6723 72.8863 19.523 0.051
OBS: 59327.57 r_PS1 1170.577 79.7825 19.829 0.074
OBS: 59327.57 i_PS1 932.3951 132.2502 20.076 0.154
OBS: 59328.59 r_PS1 1012.0454 95.0771 19.987 0.102
OBS: 59329.61 r_PS1 858.2227 169.9472 20.166 0.215
OBS: 59329.61 i_PS1 645.6542 118.9339 20.475 0.2
OBS: 59334.6 r_PS1 838.6872 105.8269 20.191 0.137
OBS: 59342.6 r_PS1 844.8897 45.134 20.183 0.058
OBS: 59342.6 g_PS1 1213.3889 56.9962 19.79 0.051
OBS: 59345.6 g_PS1 1235.9474 69.4393 19.77 0.061
OBS: 59345.61 i_PS1 602.0049 92.0415 20.551 0.166
OBS: 59351.59 g_PS1 1173.8159 95.1389 19.826 0.088
OBS: 59351.59 i_PS1 538.022 84.2412 20.673 0.17
OBS: 59356.57 r_PS1 454.9881 67.8876 20.855 0.162
OBS: 59356.57 i_PS1 424.2287 51.967 20.931 0.133
OBS: 59357.58 r_PS1 454.1507 43.9203 20.857 0.105
OBS: 59358.58 r_PS1 542.0009 87.3602 20.665 0.175
OBS: 59358.59 i_PS1 605.8987 95.9852 20.544 0.172
OBS: 59369.54 g_PS1 895.3648 112.154 20.12 0.136
OBS: 59370.57 g_PS1 994.489 58.6213 20.006 0.064
OBS: 59373.59 i_PS1 441.7738 51.268 20.887 0.126
OBS: 59373.59 g_PS1 779.8301 37.349 20.27 0.052
OBS: 59376.54 r_PS1 372.5632 47.3538 21.072 0.138
OBS: 59376.54 g_PS1 891.2509 54.1776 20.125 0.066
OBS: 59381.57 r_PS1 323.5937 34.2747 21.225 0.115
OBS: 59381.57 g_PS1 815.8306 49.5929 20.221 0.066
OBS: 59385.51 r_PS1 276.4394 47.1029 21.396 0.185
OBS: 59386.54 r_PS1 263.2692 34.6746 21.449 0.143
OBS: 59386.54 i_PS1 373.5941 50.5817 21.069 0.147
OBS: 59409.44 g_PS1 745.4182 100.2371 20.319 0.146
OBS: 59411.54 g_PS1 543.5006 40.5472 20.662 0.081
OBS: 59415.42 i_PS1 364.0827 87.8571 21.097 0.262
OBS: 59423.49 i_PS1 254.683 51.1366 21.485 0.218
OBS: 59429.41 g_PS1 577.5638 62.2388 20.596 0.117
OBS: 59432.45 g_PS1 362.7438 81.1862 21.101 0.243
OBS: 59443.44 g_PS1 365.0901 91.1266 21.094 0.271
OBS: 59456.47 g_PS1 314.485 74.4404 21.256 0.257
OBS: 59466.33 g_PS1 381.9443 64.7282 21.045 0.184
OBS: 59485.28 g_PS1 240.547 43.6457 21.547 0.197
OBS: 59494.22 g_PS1 356.7796 82.8087 21.119 0.252
END:
