# 2021abam 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.30 (yyyy.mm.dd); 18.40 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021abam
RA: 17.050999
DEC: -19.790003
MWEBV: 0.016
REDSHIFT_HELIO: 0.049
REDSHIFT_CMB: 0.04799916793060843
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59512.276
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 35
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59493.48 g_PS1 522.3962 88.0495 20.705 0.183
OBS: 59493.48 r_PS1 559.2423 97.8654 20.631 0.19
OBS: 59497.355 p48g 1670.3212 119.997 19.443 0.078
OBS: 59497.425 p48r 1910.733 219.9813 19.297 0.125
OBS: 59500.45 i_PS1 3104.5596 157.2673 18.77 0.055
OBS: 59502.336 p48r 3970.0868 223.0517 18.503 0.061
OBS: 59502.397 p48g 2800.2706 237.2813 18.882 0.092
OBS: 59503.296 p48r 4337.1056 219.7042 18.407 0.055
OBS: 59503.321 p48g 3293.0627 242.6418 18.706 0.08
OBS: 59510.44 r_PS1 4634.4692 149.3976 18.335 0.035
OBS: 59510.45 i_PS1 3624.0986 176.9097 18.602 0.053
OBS: 59512.221 p48g 3385.3221 165.2538 18.676 0.053
OBS: 59512.276 p48r 4751.1638 140.0315 18.308 0.032
OBS: 59513.5 r_PS1 4321.1565 151.2374 18.411 0.038
OBS: 59513.5 i_PS1 2795.1171 144.1663 18.884 0.056
OBS: 59515.37 g_PS1 2383.4168 114.1508 19.057 0.052
OBS: 59515.37 z_PS1 2694.0149 183.6147 18.924 0.074
OBS: 59518.272 p48g 2376.8403 78.8094 19.06 0.036
OBS: 59518.295 p48r 3335.8 98.3163 18.692 0.032
OBS: 59518.42 g_PS1 2463.7691 113.4608 19.021 0.05
OBS: 59518.42 i_PS1 1177.0638 170.2062 19.823 0.157
OBS: 59521.21 p48g 1971.5146 101.6866 19.263 0.056
OBS: 59521.253 p48r 2800.2706 95.4283 18.882 0.037
OBS: 59523.191 p48g 1358.9391 97.6271 19.667 0.078
OBS: 59523.211 p48r 2686.5814 98.9773 18.927 0.04
OBS: 59524.37 g_PS1 739.946 96.7752 20.327 0.142
OBS: 59524.38 r_PS1 2416.5735 115.7388 19.042 0.052
OBS: 59525.21 p48g 1175.9802 100.73 19.824 0.093
OBS: 59525.254 p48r 2746.629 96.1301 18.903 0.038
OBS: 59527.252 p48r 2857.5905 178.9718 18.86 0.068
OBS: 59530.211 p48r 2348.551 157.906 19.073 0.073
OBS: 59532.145 p48r 1976.9696 209.3985 19.26 0.115
OBS: 59538.203 p48g 1676.4863 253.2325 19.439 0.164
OBS: 59538.232 p48r 1860.3729 229.6045 19.326 0.134
OBS: 59542.19 p48r 1034.6656 128.6499 19.963 0.135
END:
