# 2021abwm 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 12.22 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021abwm
RA: 125.539875
DEC: 49.000094
MWEBV: 0.037
REDSHIFT_HELIO: 0.094
REDSHIFT_CMB: 0.09457226898981275
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59518.518
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 24
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59504.6 i_PS1 594.8398 61.909 20.564 0.113
OBS: 59507.59 r_PS1 793.597 77.4786 20.251 0.106
OBS: 59507.6 z_PS1 666.1929 98.7874 20.441 0.161
OBS: 59509.41 p48g 1105.605 197.5502 19.891 0.194
OBS: 59509.469 p48r 967.3864 126.5214 20.036 0.142
OBS: 59510.58 i_PS1 1172.7353 79.9296 19.827 0.074
OBS: 59510.58 r_PS1 1117.8924 118.4059 19.879 0.115
OBS: 59512.458 p48g 1157.7106 163.1425 19.841 0.153
OBS: 59518.365 p48g 1192.3397 72.4802 19.809 0.066
OBS: 59518.518 p48r 1573.2582 66.6551 19.508 0.046
OBS: 59519.63 g_PS1 1142.8783 61.0525 19.855 0.058
OBS: 59519.64 r_PS1 1496.9249 57.9062 19.562 0.042
OBS: 59522.347 p48r 1385.4792 81.6687 19.646 0.064
OBS: 59522.453 p48g 998.1596 59.757 20.002 0.065
OBS: 59524.451 p48r 1134.4882 74.1881 19.863 0.071
OBS: 59524.516 p48g 744.0464 63.7322 20.321 0.093
OBS: 59526.47 p48g 507.6916 59.3854 20.736 0.127
OBS: 59526.497 p48r 1059.7416 69.3001 19.937 0.071
OBS: 59526.62 i_PS1 842.5584 55.8738 20.186 0.072
OBS: 59526.62 g_PS1 515.2286 44.6071 20.72 0.094
OBS: 59529.37 p48r 1002.7669 96.0526 19.997 0.104
OBS: 59531.412 p48r 910.3324 67.9142 20.102 0.081
OBS: 59531.478 p48g 430.9233 58.7405 20.914 0.148
OBS: 59536.488 p48r 753.7026 112.4581 20.307 0.162
END:
