# 2021actw 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 18.26 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021actw
RA: 17.963887
DEC: -19.481119
MWEBV: 0.012
REDSHIFT_HELIO: 0.084
REDSHIFT_CMB: 0.07798412983017333
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59527.252
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 25
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59512.276 p48r 646.8447 123.9193 20.473 0.208
OBS: 59513.5 r_PS1 966.4959 111.2719 20.037 0.125
OBS: 59513.5 i_PS1 739.2648 96.6861 20.328 0.142
OBS: 59515.37 z_PS1 688.0183 129.2724 20.406 0.204
OBS: 59515.37 g_PS1 1487.3049 71.2326 19.569 0.052
OBS: 59518.272 p48g 2542.1431 77.2662 18.987 0.033
OBS: 59518.295 p48r 2357.2194 86.8432 19.069 0.04
OBS: 59521.21 p48g 3250.873 101.8016 18.72 0.034
OBS: 59521.253 p48r 3141.9553 95.497 18.757 0.033
OBS: 59523.191 p48g 3787.913 101.1751 18.554 0.029
OBS: 59523.211 p48r 3715.3523 102.659 18.575 0.03
OBS: 59524.37 g_PS1 3647.5395 83.9877 18.595 0.025
OBS: 59524.38 r_PS1 3404.0819 94.0583 18.67 0.03
OBS: 59525.21 p48g 3691.4756 101.9992 18.582 0.03
OBS: 59525.254 p48r 3735.9409 99.7869 18.569 0.029
OBS: 59527.252 p48r 4066.3055 157.2986 18.477 0.042
OBS: 59530.129 p48g 3241.9029 286.6467 18.723 0.096
OBS: 59530.211 p48r 3840.6082 155.6426 18.539 0.044
OBS: 59532.145 p48r 3435.5795 227.8286 18.66 0.072
OBS: 59532.189 p48g 3262.8717 210.3651 18.716 0.07
OBS: 59537.231 p48g 2924.1524 554.8082 18.835 0.206
OBS: 59538.203 p48g 2077.7821 229.645 19.206 0.12
OBS: 59538.232 p48r 3290.0311 236.358 18.707 0.078
OBS: 59542.19 p48r 2292.9786 124.6028 19.099 0.059
OBS: 59542.252 p48g 1926.6375 168.5774 19.288 0.095
END:
