# 2021acza 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021acza
RA: 357.286924
DEC: 24.684221
MWEBV: 0.046
REDSHIFT_HELIO: 0.19
REDSHIFT_CMB: 0.18945665986901794
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59531.299
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1
# -----------------------------------------------------------
NOBS: 43
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59517.192 p48g 573.3238 63.8941 20.604 0.121
OBS: 59517.246 p48r 319.7422 62.7271 21.238 0.213
OBS: 59517.27 g_PS1 409.2607 75.0117 20.97 0.199
OBS: 59518.266 p48g 462.1681 54.4861 20.838 0.128
OBS: 59518.305 p48r 365.4265 62.9386 21.093 0.187
OBS: 59519.27 r_PS1 458.3529 58.6801 20.847 0.139
OBS: 59519.27 g_PS1 522.3962 63.9922 20.705 0.133
OBS: 59520.237 p48r 496.1352 78.1397 20.761 0.171
OBS: 59520.311 p48g 508.6277 81.9811 20.734 0.175
OBS: 59521.16 p48r 521.4348 69.1573 20.707 0.144
OBS: 59521.21 p48g 645.6542 64.819 20.475 0.109
OBS: 59522.196 p48r 553.605 72.9141 20.642 0.143
OBS: 59522.238 p48g 688.0183 65.2699 20.406 0.103
OBS: 59523.135 p48r 723.1027 79.9203 20.352 0.12
OBS: 59523.194 p48g 774.8185 61.3725 20.277 0.086
OBS: 59524.227 p48r 632.7032 71.0944 20.497 0.122
OBS: 59524.302 p48g 790.6786 61.1723 20.255 0.084
OBS: 59525.191 p48g 774.8185 71.3634 20.277 0.1
OBS: 59526.15 p48r 620.5832 76.0199 20.518 0.133
OBS: 59526.21 i_PS1 671.7381 59.3946 20.432 0.096
OBS: 59526.21 g_PS1 723.1027 61.9382 20.352 0.093
OBS: 59526.214 p48g 919.6022 62.6769 20.091 0.074
OBS: 59527.191 p48r 731.8128 72.7946 20.339 0.108
OBS: 59527.213 p48g 806.1206 75.7314 20.234 0.102
OBS: 59529.172 p48r 536.0435 103.68 20.677 0.21
OBS: 59529.243 p48g 824.1381 107.7864 20.21 0.142
OBS: 59530.139 p48g 962.0552 126.7102 20.042 0.143
OBS: 59530.21 i_PS1 613.197 73.4208 20.531 0.13
OBS: 59530.21 g_PS1 725.7717 88.2368 20.348 0.132
OBS: 59530.235 p48r 753.0087 122.7578 20.308 0.177
OBS: 59531.149 p48r 729.1217 121.5498 20.343 0.181
OBS: 59531.299 p48g 977.2372 231.3177 20.025 0.257
OBS: 59532.139 p48r 726.4404 123.7791 20.347 0.185
OBS: 59532.195 p48g 934.975 141.2276 20.073 0.164
OBS: 59537.319 p48r 851.138 189.7104 20.175 0.242
OBS: 59537.32 r_PS1 468.1661 112.1112 20.824 0.26
OBS: 59539.2 i_PS1 566.5001 59.4813 20.617 0.114
OBS: 59539.21 r_PS1 537.5266 63.8654 20.674 0.129
OBS: 59540.202 p48r 666.1929 150.9422 20.441 0.246
OBS: 59541.32 r_PS1 589.9293 86.9352 20.573 0.16
OBS: 59543.35 r_PS1 436.114 69.4899 20.901 0.173
OBS: 59543.35 i_PS1 551.0614 85.7753 20.647 0.169
OBS: 59545.34 g_PS1 361.0771 73.4967 21.106 0.221
END:
