# 2021adug 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 18.26 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021adug
RA: 13.549121
DEC: -14.969836
MWEBV: 0.02
REDSHIFT_HELIO: 0.0735
REDSHIFT_CMB: 0.068108745863247
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59538.232
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 26
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59524.37 g_PS1 254.9177 53.5316 21.484 0.228
OBS: 59525.21 p48g 471.6285 91.221 20.816 0.21
OBS: 59525.254 p48r 533.5806 93.3747 20.682 0.19
OBS: 59527.252 p48r 1283.5122 283.718 19.729 0.24
OBS: 59529.35 z_PS1 1062.6739 88.0883 19.934 0.09
OBS: 59529.35 g_PS1 1765.2247 61.7816 19.383 0.038
OBS: 59530.129 p48g 2023.0192 249.6781 19.235 0.134
OBS: 59530.211 p48r 1976.9696 156.5936 19.26 0.086
OBS: 59532.145 p48r 2447.9357 202.9169 19.028 0.09
OBS: 59532.189 p48g 2787.4045 202.8163 18.887 0.079
OBS: 59537.231 p48g 3280.9529 534.8709 18.71 0.177
OBS: 59537.42 r_PS1 3637.4749 83.756 18.598 0.025
OBS: 59537.42 z_PS1 2081.613 118.8687 19.204 0.062
OBS: 59538.203 p48g 4014.2092 258.8056 18.491 0.07
OBS: 59538.232 p48r 4168.6938 249.5681 18.45 0.065
OBS: 59540.25 i_PS1 2376.8403 177.3212 19.06 0.081
OBS: 59540.26 r_PS1 3984.7401 146.8033 18.499 0.04
OBS: 59541.31 r_PS1 3614.0986 86.5464 18.605 0.026
OBS: 59541.31 z_PS1 1905.4607 115.8296 19.3 0.066
OBS: 59542.19 p48r 3858.3356 120.8244 18.534 0.034
OBS: 59542.252 p48g 3919.2232 184.0966 18.517 0.051
OBS: 59542.26 r_PS1 3473.7615 108.7814 18.648 0.034
OBS: 59544.38 g_PS1 3200.3686 132.6442 18.737 0.045
OBS: 59544.38 i_PS1 2432.204 73.9247 19.035 0.033
OBS: 59546.32 g_PS1 3227.0077 83.2211 18.728 0.028
OBS: 59546.32 z_PS1 1636.8165 107.037 19.465 0.071
END:
