# 2021agu 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 18.26 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021agu
RA: 193.60077
DEC: 7.042739
MWEBV: 0.029
REDSHIFT_HELIO: 0.05
REDSHIFT_CMB: 0.051741672592201304
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59243.57
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 90
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59227.379 p48r 490.6819 119.7627 20.773 0.265
OBS: 59227.482 p48g 665.5796 92.5662 20.442 0.151
OBS: 59229.468 p48g 1173.8159 163.2498 19.826 0.151
OBS: 59229.505 p48r 1212.2718 160.7823 19.791 0.144
OBS: 59231.483 p48r 2348.551 88.6869 19.073 0.041
OBS: 59231.6 r_PS1 2240.784 97.0004 19.124 0.047
OBS: 59231.61 g_PS1 2639.9761 92.3973 18.946 0.038
OBS: 59238.57 r_PS1 6450.5983 101.0008 17.976 0.017
OBS: 59238.57 i_PS1 4884.2738 112.4646 18.278 0.025
OBS: 59243.57 r_PS1 7516.2289 159.2222 17.81 0.023
OBS: 59243.58 z_PS1 4138.0906 262.9812 18.458 0.069
OBS: 59248.523 p48r 6680.362 172.2795 17.938 0.028
OBS: 59250.42 p48r 5953.8789 142.5769 18.063 0.026
OBS: 59250.478 p48g 6613.0225 115.7256 17.949 0.019
OBS: 59252.332 p48r 5685.9102 109.9753 18.113 0.021
OBS: 59252.487 p48g 5855.9856 97.0841 18.081 0.018
OBS: 59252.54 i_PS1 2910.7171 85.7878 18.84 0.032
OBS: 59252.54 g_PS1 5926.5234 109.1706 18.068 0.02
OBS: 59254.422 p48r 4711.9427 199.6335 18.317 0.046
OBS: 59256.422 p48r 4377.2364 96.758 18.397 0.024
OBS: 59256.489 p48g 4454.5106 98.4661 18.378 0.024
OBS: 59256.53 g_PS1 4261.8681 82.4318 18.426 0.021
OBS: 59256.53 r_PS1 4458.6153 82.1307 18.377 0.02
OBS: 59258.52 g_PS1 3812.4135 245.7954 18.547 0.07
OBS: 59258.53 i_PS1 2132.0628 96.2214 19.178 0.049
OBS: 59260.4 p48r 4040.1734 189.778 18.484 0.051
OBS: 59262.57 r_PS1 3620.7622 73.3666 18.603 0.022
OBS: 59262.57 g_PS1 2441.1811 76.446 19.031 0.034
OBS: 59263.357 p48g 1935.5304 155.094 19.283 0.087
OBS: 59265.373 p48r 3691.4756 118.9991 18.582 0.035
OBS: 59265.419 p48g 1939.0991 89.2988 19.281 0.05
OBS: 59267.418 p48r 3397.8171 143.9572 18.672 0.046
OBS: 59267.57 i_PS1 2466.0393 90.8522 19.02 0.04
OBS: 59267.57 r_PS1 3509.1344 77.5688 18.637 0.024
OBS: 59269.374 p48r 3253.8685 128.8677 18.719 0.043
