# 2021bmt 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 19.59 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021bmt
RA: 93.136879
DEC: -21.12335
MWEBV: 0.078
REDSHIFT_HELIO: 0.07
REDSHIFT_CMB: 0.07027830775181565
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59252.694858443574
FILTERS: i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 30
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59242.37 i_PS1 1312.1999 233.2561 19.705 0.193
OBS: 59242.37 r_PS1 1627.7961 311.8452 19.471 0.208
OBS: 59244.35 r_PS1 1993.4255 130.3569 19.251 0.071
OBS: 59244.35 z_PS1 1189.0497 122.6574 19.812 0.112
OBS: 59245.26 r_PS1 2318.4621 72.603 19.087 0.034
OBS: 59245.27 i_PS1 2049.2739 84.9353 19.221 0.045
OBS: 59246.34 r_PS1 2348.551 88.6869 19.073 0.041
OBS: 59246.35 z_PS1 2023.0192 143.4718 19.235 0.077
OBS: 59248.167 p48r 2986.7578 178.8089 18.812 0.065
OBS: 59248.209 p48g 3299.1343 127.6218 18.704 0.042
OBS: 59249.21 p48g 3311.3112 323.282 18.7 0.106
OBS: 59251.21 p48r 3407.2186 147.4937 18.669 0.047
OBS: 59251.254 p48g 3590.8726 162.0585 18.612 0.049
OBS: 59253.204 p48g 3865.4495 121.0472 18.532 0.034
OBS: 59253.275 p48r 3812.4135 200.1477 18.547 0.057
OBS: 59255.202 p48g 3742.8291 175.8109 18.567 0.051
OBS: 59257.19 p48r 3624.0986 110.1513 18.602 0.033
OBS: 59257.248 p48g 3476.9624 108.8816 18.647 0.034
OBS: 59262.165 p48g 2542.1431 182.6292 18.987 0.078
OBS: 59262.188 p48r 3168.1082 180.912 18.748 0.062
OBS: 59264.203 p48r 2684.1081 185.4116 18.928 0.075
OBS: 59264.249 p48g 1905.4607 196.5593 19.3 0.112
OBS: 59266.183 p48g 2037.9804 287.1885 19.227 0.153
OBS: 59266.215 p48r 2077.7821 325.3304 19.206 0.17
OBS: 59268.148 p48g 1592.2087 249.3013 19.495 0.17
OBS: 59268.233 p48r 2195.8365 214.3787 19.146 0.106
OBS: 59270.147 p48r 2068.2356 255.2587 19.211 0.134
OBS: 59272.189 p48r 2486.5661 354.9829 19.011 0.155
OBS: 59276.147 p48r 1775.0067 152.0403 19.377 0.093
OBS: 59279.138 p48r 1632.3001 195.4425 19.468 0.13
END:
