# 2021bpq 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.10 (yyyy.mm.dd); 18.26 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021bpq
RA: 152.542304
DEC: 6.750943
MWEBV: 0.02
REDSHIFT_HELIO: 0.1
REDSHIFT_CMB: 0.10023896314251068
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59266.32
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1
# -----------------------------------------------------------
NOBS: 40
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59248.387 p48r 1194.5381 107.8206 19.807 0.098
OBS: 59248.415 p48g 1391.8742 119.2226 19.641 0.093
OBS: 59250.338 p48r 1533.2042 117.2071 19.536 0.083
OBS: 59250.371 p48g 1720.2834 109.3263 19.411 0.069
OBS: 59252.299 p48r 2002.6267 84.8464 19.246 0.046
OBS: 59252.382 p48g 2066.3315 76.1265 19.212 0.04
OBS: 59252.43 g_PS1 2011.8704 66.708 19.241 0.036
OBS: 59252.43 r_PS1 1901.954 70.0706 19.302 0.04
OBS: 59254.298 p48g 2224.334 71.7041 19.132 0.035
OBS: 59254.381 p48r 2095.0771 86.8337 19.197 0.045
OBS: 59256.336 p48g 2409.9054 88.7842 19.045 0.04
OBS: 59256.38 p48r 2438.9337 85.361 19.032 0.038
OBS: 59256.47 i_PS1 1721.8686 61.8501 19.41 0.039
OBS: 59256.47 g_PS1 2220.2404 67.4823 19.134 0.033
OBS: 59258.371 p48g 2516.5178 97.3475 18.998 0.042
OBS: 59262.25 p48r 2429.9649 152.1895 19.036 0.068
OBS: 59262.329 p48g 2259.4358 93.6458 19.115 0.045
OBS: 59264.293 p48r 2327.0194 111.4497 19.083 0.052
OBS: 59266.279 p48g 2159.7327 184.9944 19.164 0.093
OBS: 59266.32 p48r 2618.183 188.092 18.955 0.078
OBS: 59268.226 p48g 2051.1622 168.1379 19.22 0.089
OBS: 59268.339 p48r 2359.3914 134.7309 19.068 0.062
OBS: 59270.254 p48g 1958.8447 299.491 19.27 0.166
OBS: 59270.323 p48r 2297.2063 226.3912 19.097 0.107
OBS: 59275.309 p48g 1205.591 202.091 19.797 0.182
OBS: 59275.319 p48r 2110.5712 159.4004 19.189 0.082
OBS: 59278.259 p48g 919.6022 105.0261 20.091 0.124
OBS: 59278.282 p48r 1506.6071 129.0502 19.555 0.093
OBS: 59281.247 p48r 1374.042 99.9776 19.655 0.079
OBS: 59281.316 p48g 754.3971 82.6842 20.306 0.119
OBS: 59291.236 p48r 1156.6448 83.0941 19.842 0.078
OBS: 59293.213 p48r 828.7051 100.7511 20.204 0.132
OBS: 59293.277 p48g 447.0952 80.7108 20.874 0.196
OBS: 59303.317 p48r 795.0602 181.6048 20.249 0.248
OBS: 59307.156 p48g 289.4676 70.9181 21.346 0.266
OBS: 59307.229 p48r 636.7955 85.6305 20.49 0.146
OBS: 59309.248 p48r 682.9674 161.0333 20.414 0.256
OBS: 59313.207 p48r 463.874 89.2939 20.834 0.209
OBS: 59317.172 p48g 387.2576 65.272 21.03 0.183
OBS: 59335.192 p48r 569.6394 133.2629 20.611 0.254
END:
