# 2021cca 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 00.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021cca
RA: 154.08046
DEC: -1.787467
MWEBV: 0.04
REDSHIFT_HELIO: 0.085
REDSHIFT_CMB: 0.0860758735157634
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59267.46
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 56
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59251.373 p48g 1400.877 96.7692 19.634 0.075
OBS: 59251.444 p48r 1076.4652 101.129 19.92 0.102
OBS: 59253.337 p48r 1487.3049 84.9312 19.569 0.062
OBS: 59253.359 p48g 1989.7568 69.6401 19.253 0.038
OBS: 59253.51 g_PS1 1984.2665 91.3788 19.256 0.05
OBS: 59253.51 i_PS1 1507.9953 93.0573 19.554 0.067
OBS: 59255.361 p48g 2582.2602 71.3505 18.97 0.03
OBS: 59255.52 r_PS1 2179.7164 78.2961 19.154 0.039
OBS: 59255.52 g_PS1 2284.5465 79.9575 19.103 0.038
OBS: 59257.369 p48g 2744.1004 171.8639 18.904 0.068
OBS: 59257.401 p48r 2147.8305 132.5411 19.17 0.067
OBS: 59261.44 i_PS1 2130.1 66.7044 19.179 0.034
OBS: 59261.45 g_PS1 2862.8593 71.1934 18.858 0.027
OBS: 59262.316 p48g 3179.8014 90.7899 18.744 0.031
OBS: 59262.351 p48r 2644.8436 97.4396 18.944 0.04
OBS: 59264.358 p48r 3056.3283 90.0794 18.787 0.032
OBS: 59266.303 p48g 2746.629 177.0817 18.903 0.07
OBS: 59267.46 r_PS1 3215.1408 85.8764 18.732 0.029
OBS: 59267.47 z_PS1 1101.5393 103.4846 19.895 0.102
OBS: 59268.225 p48g 3194.4787 152.9956 18.739 0.052
OBS: 59268.336 p48r 3144.8505 130.3431 18.756 0.045
OBS: 59270.277 p48g 3003.3089 320.8734 18.806 0.116
OBS: 59270.324 p48r 2434.4452 239.9161 19.034 0.107
OBS: 59273.275 p48r 2620.5956 610.6554 18.954 0.253
OBS: 59275.31 p48g 2108.6281 188.3855 19.19 0.097
OBS: 59275.315 p48r 1930.1897 197.3325 19.286 0.111
OBS: 59278.281 p48r 1791.4306 133.6475 19.367 0.081
OBS: 59278.295 p48g 1726.6329 104.959 19.407 0.066
OBS: 59278.47 g_PS1 1476.3863 126.4616 19.577 0.093
OBS: 59281.247 p48r 1571.8098 107.1291 19.509 0.074
OBS: 59281.315 p48g 1351.4501 110.7811 19.673 0.089
OBS: 59291.236 p48r 1587.8154 95.0581 19.498 0.065
OBS: 59291.36 r_PS1 1376.5754 119.18 19.653 0.094
OBS: 59291.36 g_PS1 635.6236 118.2571 20.492 0.202
OBS: 59293.232 p48r 1171.6557 126.2588 19.828 0.117
OBS: 59293.277 p48g 532.1083 89.6864 20.685 0.183
OBS: 59294.36 i_PS1 962.0552 157.7232 20.042 0.178
OBS: 59296.249 p48r 1200.0518 170.2144 19.802 0.154
OBS: 59303.35 z_PS1 893.717 181.0916 20.122 0.22
OBS: 59303.36 r_PS1 862.1841 154.0556 20.161 0.194
OBS: 59304.17 p48r 785.5973 126.6233 20.262 0.175
OBS: 59304.3 r_PS1 607.5751 94.572 20.541 0.169
OBS: 59304.3 i_PS1 550.5541 129.8122 20.648 0.256
OBS: 59305.3 z_PS1 592.1067 110.1608 20.569 0.202
OBS: 59305.31 r_PS1 693.1065 61.284 20.398 0.096
OBS: 59306.33 r_PS1 668.6518 52.3473 20.437 0.085
OBS: 59306.33 i_PS1 646.8447 82.8115 20.473 0.139
OBS: 59306.374 p48r 826.4184 185.7229 20.207 0.244
OBS: 59308.27 p48g 349.9452 77.3547 21.14 0.24
OBS: 59314.3 i_PS1 352.858 62.7239 21.131 0.193
OBS: 59319.211 p48r 562.8595 100.5721 20.624 0.194
OBS: 59320.25 g_PS1 188.6253 41.6953 21.811 0.24
OBS: 59320.26 i_PS1 268.4108 56.6123 21.428 0.229
OBS: 59321.214 p48r 441.7738 89.1086 20.887 0.219
OBS: 59325.172 p48r 554.6257 109.8283 20.64 0.215
OBS: 59335.28 r_PS1 336.3566 68.7747 21.183 0.222
END:
