# 2021dcu 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.22 (yyyy.mm.dd); 23.40 hrs (GMT).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021dcu
RA: 242.025953
DEC: 25.483744
MWEBV: 0.049
REDSHIFT_HELIO: 0.042
REDSHIFT_CMB: 0.04324870548659021
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59272.486
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 94
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59256.454 p48r 828.7051 104.5674 20.204 0.137
OBS: 59256.542 p48g 718.4557 80.7301 20.359 0.122
OBS: 59264.486 p48g 8203.5154 105.78 17.715 0.014
OBS: 59264.526 p48r 8195.9632 120.7802 17.716 0.016
OBS: 59266.508 p48g 8309.9804 183.6906 17.701 0.024
OBS: 59266.526 p48r 8241.3812 197.3554 17.71 0.026
OBS: 59268.451 p48r 10734.9494 158.1961 17.423 0.016
OBS: 59268.508 p48g 10944.6027 120.9642 17.402 0.012
OBS: 59270.454 p48g 9954.0542 247.5366 17.505 0.027
OBS: 59270.495 p48r 10327.6141 209.2658 17.465 0.022
OBS: 59270.6 z_PS1 5915.6163 212.4909 18.07 0.039
OBS: 59270.6 r_PS1 10299.1172 199.2026 17.468 0.021
OBS: 59272.486 p48r 11334.4382 219.2275 17.364 0.021
OBS: 59272.518 p48g 10452.0144 259.9198 17.452 0.027
OBS: 59275.464 p48g 9187.556 220.0133 17.592 0.026
OBS: 59278.486 p48r 7419.9333 143.5142 17.824 0.021
OBS: 59278.511 p48g 7304.6599 134.5568 17.841 0.02
OBS: 59282.508 p48r 5845.2084 107.6727 18.083 0.02
OBS: 59291.383 p48r 4888.7744 112.5682 18.277 0.025
OBS: 59291.487 p48g 1685.7765 71.4222 19.433 0.046
OBS: 59292.5 g_PS1 1462.8507 91.6188 19.587 0.068
OBS: 59292.5 i_PS1 3798.3939 108.452 18.551 0.031
OBS: 59295.329 p48g 961.1695 197.4152 20.043 0.223
OBS: 59295.386 p48r 3338.8738 147.6104 18.691 0.048
OBS: 59297.406 p48r 2808.0187 160.3494 18.879 0.062
OBS: 59299.54 i_PS1 2263.6016 77.1396 19.113 0.037
OBS: 59299.55 r_PS1 2320.5985 98.3181 19.086 0.046
OBS: 59300.425 p48r 2189.7776 254.1243 19.149 0.126
OBS: 59302.41 p48r 2116.411 218.3201 19.186 0.112
OBS: 59303.52 r_PS1 2197.8599 119.4339 19.145 0.059
OBS: 59303.52 z_PS1 1581.9764 142.7913 19.502 0.098
OBS: 59304.444 p48r 1505.2201 267.5673 19.556 0.193
OBS: 59307.41 p48r 1875.8582 100.2083 19.317 0.058
OBS: 59307.424 p48g 742.677 106.7088 20.323 0.156
OBS: 59309.346 p48g 722.437 85.8352 20.353 0.129
OBS: 59309.415 p48r 1558.8345 101.9375 19.518 0.071
OBS: 59311.373 p48g 755.0922 74.4148 20.305 0.107
OBS: 59311.463 p48r 1667.2472 73.7084 19.445 0.048
OBS: 59313.421 p48r 1345.2407 179.6568 19.678 0.145
OBS: 59313.481 p48g 572.2687 103.3075 20.606 0.196
OBS: 59315.37 p48r 1457.4713 171.8247 19.591 0.128
OBS: 59317.435 p48r 1377.8438 82.4877 19.652 0.065
OBS: 59320.477 p48r 1328.0059 86.8428 19.692 0.071
OBS: 59321.47 r_PS1 1179.234 54.3057 19.821 0.05
OBS: 59321.48 g_PS1 632.7032 50.1157 20.497 0.086
OBS: 59322.308 p48r 1345.2407 116.4672 19.678 0.094
OBS: 59322.352 p48g 608.6954 75.1243 20.539 0.134
OBS: 59324.276 p48r 1007.3955 132.6819 19.992 0.143
OBS: 59324.382 p48g 581.2996 83.5219 20.589 0.156
OBS: 59326.42 i_PS1 735.1907 92.7676 20.334 0.137
OBS: 59326.43 r_PS1 844.1119 102.6242 20.184 0.132
OBS: 59327.45 r_PS1 950.6048 79.6741 20.055 0.091
OBS: 59328.299 p48r 886.3393 172.2496 20.131 0.211
OBS: 59334.242 p48g 510.035 96.3007 20.731 0.205
OBS: 59334.359 p48r 758.5776 139.0365 20.3 0.199
OBS: 59336.339 p48r 908.657 93.7333 20.104 0.112
OBS: 59336.426 p48g 475.9924 106.0941 20.806 0.242
OBS: 59337.55 g_PS1 771.2586 139.2297 20.282 0.196
OBS: 59339.332 p48r 563.3782 78.8713 20.623 0.152
OBS: 59339.361 p48g 474.242 64.2086 20.81 0.147
OBS: 59341.32 p48g 461.7427 63.7921 20.839 0.15
OBS: 59341.403 p48r 634.4538 133.2326 20.494 0.228
OBS: 59343.282 p48g 487.5285 72.7429 20.78 0.162
OBS: 59343.328 p48r 545.5066 79.384 20.658 0.158
OBS: 59343.39 g_PS1 379.8394 48.6285 21.051 0.139
OBS: 59343.4 i_PS1 302.2734 55.6808 21.299 0.2
OBS: 59345.344 p48r 549.035 88.9997 20.651 0.176
OBS: 59345.416 p48g 503.5006 76.0536 20.745 0.164
OBS: 59347.54 g_PS1 398.474 45.876 20.999 0.125
OBS: 59347.55 r_PS1 473.8054 56.2944 20.811 0.129
OBS: 59349.321 p48r 614.8936 77.022 20.528 0.136
OBS: 59349.386 p48g 454.1507 64.8347 20.857 0.155
OBS: 59352.301 p48r 522.3962 91.8986 20.705 0.191
OBS: 59352.345 p48g 495.6784 88.5681 20.762 0.194
OBS: 59352.55 g_PS1 388.687 73.7468 21.026 0.206
OBS: 59354.414 p48r 585.0595 142.7978 20.582 0.265
OBS: 59363.377 p48r 563.3782 119.8637 20.623 0.231
OBS: 59365.33 p48g 410.0152 97.053 20.968 0.257
OBS: 59365.36 r_PS1 288.6689 58.2264 21.349 0.219
OBS: 59367.295 p48g 322.4037 77.7995 21.229 0.262
OBS: 59367.375 p48r 411.1497 96.5641 20.965 0.255
OBS: 59369.319 p48r 451.2321 76.4704 20.864 0.184
OBS: 59369.369 p48g 390.8409 65.516 21.02 0.182
OBS: 59371.369 p48g 334.195 66.7937 21.19 0.217
OBS: 59372.46 g_PS1 275.4229 36.529 21.4 0.144
OBS: 59376.298 p48r 427.366 72.8195 20.923 0.185
OBS: 59376.338 p48g 314.1955 66.8479 21.257 0.231
OBS: 59378.35 p48g 346.0987 75.867 21.152 0.238
OBS: 59379.31 g_PS1 198.9757 37.2025 21.753 0.203
OBS: 59382.29 g_PS1 207.9697 44.822 21.705 0.234
OBS: 59385.27 r_PS1 359.0873 87.9746 21.112 0.266
OBS: 59394.228 p48g 437.3207 80.1547 20.898 0.199
OBS: 59399.4 r_PS1 203.798 44.6738 21.727 0.238
OBS: 59403.288 p48g 436.114 85.5569 20.901 0.213
END:
