# 2021dnm 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.05.02 (yyyy.mm.dd); 19.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021dnm
RA: 189.350886
DEC: 23.093552
MWEBV: 0.012
REDSHIFT_HELIO: 0.0461
REDSHIFT_CMB: 0.04741705759887682
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59280.39328560165
FILTERS: g_PS1,i_PS1,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 66
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59276.6 z_PS1 4724.9803 165.371 18.314 0.038
OBS: 59276.6 r_PS1 8741.7826 152.9781 17.646 0.019
OBS: 59292.39 i_PS1 3388.4416 106.1096 18.675 0.034
OBS: 59292.39 g_PS1 6042.2682 105.7376 18.047 0.019
OBS: 59295.53 i_PS1 3011.6188 85.9879 18.803 0.031
OBS: 59295.54 g_PS1 4759.9238 96.4491 18.306 0.022
OBS: 59297.49 i_PS1 2959.375 158.0897 18.822 0.058
OBS: 59297.49 r_PS1 5802.2976 165.6675 18.091 0.031
OBS: 59305.31 r_PS1 5021.1131 87.8677 18.248 0.019
OBS: 59305.31 z_PS1 3244.8902 152.4214 18.722 0.051
OBS: 59307.34 z_PS1 3056.3283 115.4143 18.787 0.041
OBS: 59307.35 g_PS1 1868.96 84.3474 19.321 0.049
OBS: 59311.34 r_PS1 4211.1431 73.6935 18.439 0.019
OBS: 59311.34 g_PS1 1550.2438 62.8244 19.524 0.044
OBS: 59313.3 i_PS1 3554.6758 85.1234 18.623 0.026
OBS: 59313.3 g_PS1 1222.3624 75.4311 19.782 0.067
OBS: 59314.3 g_PS1 1235.9474 180.9976 19.77 0.159
OBS: 59314.31 r_PS1 3780.9419 125.3655 18.556 0.036
OBS: 59316.45 g_PS1 702.1017 87.299 20.384 0.135
OBS: 59316.45 i_PS1 3022.7345 111.3617 18.799 0.04
OBS: 59318.44 g_PS1 946.2372 81.051 20.06 0.093
OBS: 59320.47 i_PS1 2333.4581 79.5202 19.08 0.037
OBS: 59320.48 g_PS1 909.4943 62.8256 20.103 0.075
OBS: 59331.4 i_PS1 888.7917 182.5495 20.128 0.223
OBS: 59333.42 r_PS1 1799.6995 79.5641 19.362 0.048
OBS: 59333.43 z_PS1 943.6262 119.0683 20.063 0.137
OBS: 59335.4 i_PS1 1012.978 99.8296 19.986 0.107
OBS: 59335.4 r_PS1 1741.0049 88.1939 19.398 0.055
OBS: 59337.26 g_PS1 609.8177 47.1797 20.537 0.084
OBS: 59337.26 z_PS1 809.0959 84.9534 20.23 0.114
OBS: 59338.27 i_PS1 1201.1576 86.2919 19.801 0.078
OBS: 59338.27 g_PS1 585.0595 72.2072 20.582 0.134
OBS: 59343.26 i_PS1 970.0631 56.2881 20.033 0.063
OBS: 59343.26 g_PS1 572.2687 45.3288 20.606 0.086
OBS: 59345.26 r_PS1 1416.4459 62.6206 19.622 0.048
OBS: 59345.26 g_PS1 585.0595 59.8134 20.582 0.111
OBS: 59347.36 i_PS1 989.0084 70.1401 20.012 0.077
OBS: 59347.37 g_PS1 675.4606 57.2352 20.426 0.092
OBS: 59350.39 r_PS1 1125.123 78.757 19.872 0.076
OBS: 59359.34 r_PS1 895.3648 96.4854 20.12 0.117
OBS: 59361.36 r_PS1 828.7051 88.5388 20.204 0.116
OBS: 59361.37 i_PS1 652.2288 85.9037 20.464 0.143
OBS: 59365.33 i_PS1 402.161 49.2637 20.989 0.133
OBS: 59365.33 r_PS1 772.6806 46.2582 20.28 0.065
OBS: 59367.32 g_PS1 517.6068 70.0798 20.715 0.147
OBS: 59370.29 g_PS1 496.1352 63.974 20.761 0.14
OBS: 59370.29 i_PS1 443.4044 76.7774 20.883 0.188
OBS: 59372.33 g_PS1 540.0078 74.6048 20.669 0.15
OBS: 59372.33 i_PS1 550.0473 69.4059 20.649 0.137
OBS: 59374.33 g_PS1 460.0447 63.9812 20.843 0.151
OBS: 59374.33 r_PS1 748.1695 84.0689 20.315 0.122
OBS: 59376.28 g_PS1 443.813 82.9797 20.882 0.203
OBS: 59376.29 i_PS1 427.7598 85.1 20.922 0.216
OBS: 59377.28 r_PS1 593.745 52.4985 20.566 0.096
OBS: 59377.28 g_PS1 329.6097 63.145 21.205 0.208
OBS: 59379.32 g_PS1 452.4806 74.1815 20.861 0.178
OBS: 59379.32 i_PS1 242.7728 59.9253 21.537 0.268
OBS: 59388.28 r_PS1 477.7492 76.5641 20.802 0.174
OBS: 59388.28 i_PS1 268.6581 62.3557 21.427 0.252
OBS: 59392.32 i_PS1 242.1029 57.3071 21.54 0.257
OBS: 59392.32 r_PS1 382.2962 58.0978 21.044 0.165
OBS: 59395.29 r_PS1 374.2829 61.7062 21.067 0.179
OBS: 59397.29 g_PS1 276.4394 62.8887 21.396 0.247
OBS: 59400.28 r_PS1 420.3393 58.4592 20.941 0.151
OBS: 59401.27 g_PS1 303.6687 60.9722 21.294 0.218
OBS: 59404.28 r_PS1 304.7895 62.8816 21.29 0.224
END:
