# 2021dov 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.03.30 (yyyy.mm.dd); 18.40 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021dov
RA: 134.077949
DEC: -0.442139
MWEBV: 0.03
REDSHIFT_HELIO: 0.012
REDSHIFT_CMB: 0.013032087122881952
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59288.31
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 82
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59267.274 p48g 5209.5475 177.5323 18.208 0.037
OBS: 59267.334 p48r 6148.9364 175.5648 18.028 0.031
OBS: 59267.45 i_PS1 4943.1069 145.6886 18.265 0.032
OBS: 59267.45 r_PS1 7040.4432 123.2053 17.881 0.019
OBS: 59269.253 p48g 6655.796 140.9949 17.942 0.023
OBS: 59269.331 p48r 36948.7712 3130.859 16.081 0.092
OBS: 59271.252 p48r 32598.6789 360.2939 16.217 0.012
OBS: 59271.366 p48g 31827.3148 469.0246 16.243 0.016
OBS: 59273.234 p48r 52239.6189 384.9157 15.705 0.008
OBS: 59273.303 p48g 51951.7283 478.4931 15.711 0.01
OBS: 59275.189 p48g 74267.7044 273.6123 15.323 0.004
OBS: 59275.274 p48r 73586.814 271.1038 15.333 0.004
OBS: 59278.171 p48r 91537.7008 337.2374 15.096 0.004
OBS: 59278.236 p48g 99174.4955 365.3723 15.009 0.004
OBS: 59278.49 i_PS1 73046.599 538.2272 15.341 0.008
OBS: 59278.49 g_PS1 105390.1445 970.6791 14.943 0.01
OBS: 59281.321 p48g 108742.672 500.7785 14.909 0.005
OBS: 59288.28 g_PS1 114498.5535 421.8283 14.853 0.004
OBS: 59288.31 r_PS1 115345.3258 318.7109 14.845 0.003
OBS: 59291.232 p48r 105779.1322 292.2785 14.939 0.003
OBS: 59293.15 p48g 93669.8878 345.0926 15.071 0.004
OBS: 59293.21 p48r 88879.172 327.443 15.128 0.004
OBS: 59293.3 z_PS1 52917.583 438.6501 15.691 0.009
OBS: 59295.29 g_PS1 83023.3016 305.8691 15.202 0.004
OBS: 59295.29 i_PS1 41686.9383 345.5558 15.95 0.009
OBS: 59296.212 p48r 67546.0567 373.2733 15.426 0.006
OBS: 59296.289 p48g 71121.3514 458.5363 15.37 0.007
OBS: 59298.292 p48r 62402.2142 1666.7623 15.512 0.029
OBS: 59302.151 p48g 49567.8407 319.5757 15.762 0.007
OBS: 59302.243 p48r 59429.2159 328.418 15.565 0.006
OBS: 59304.151 p48r 57174.1873 263.2969 15.607 0.005
OBS: 59304.329 p48g 37393.8344 413.2919 16.068 0.012
OBS: 59305.24 i_PS1 39120.1039 252.2166 16.019 0.007
OBS: 59305.25 r_PS1 59979.1076 220.9712 15.555 0.004
