# 2021fnt 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 15.24 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021fnt
RA: 203.247596
DEC: 32.60959
MWEBV: 0.009
REDSHIFT_HELIO: 0.0358
REDSHIFT_CMB: 0.03720202384720617
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59298.84428420636
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 61
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59291.283 p48g 4604.6858 93.3036 18.342 0.022
OBS: 59291.372 p48r 5566.728 92.2886 18.136 0.018
OBS: 59291.42 i_PS1 4389.3479 117.2394 18.394 0.029
OBS: 59291.42 g_PS1 4483.3227 107.3616 18.371 0.026
OBS: 59293.258 p48r 5921.0673 103.6166 18.069 0.019
OBS: 59296.375 p48r 5587.2744 169.8203 18.132 0.033
OBS: 59296.44 i_PS1 4218.9075 93.2582 18.437 0.024
OBS: 59296.45 g_PS1 3314.3625 116.0003 18.699 0.038
OBS: 59298.45 r_PS1 4975.0792 123.7199 18.258 0.027
OBS: 59298.45 z_PS1 3557.9513 190.0657 18.622 0.058
OBS: 59300.347 p48g 1318.2567 292.6124 19.7 0.241
OBS: 59302.259 p48r 3897.6245 236.9298 18.523 0.066
OBS: 59302.341 p48g 1235.9474 256.1287 19.77 0.225
OBS: 59304.359 p48r 3110.2837 220.5801 18.768 0.077
OBS: 59306.4 r_PS1 2405.4703 99.6984 19.047 0.045
OBS: 59306.4 i_PS1 2892.0114 106.5456 18.847 0.04
OBS: 59307.325 p48g 789.2235 64.6943 20.257 0.089
OBS: 59307.354 p48r 2361.5655 80.478 19.067 0.037
OBS: 59309.287 p48r 1962.4563 84.952 19.268 0.047
OBS: 59309.305 p48g 578.096 76.6722 20.595 0.144
OBS: 59310.35 g_PS1 575.9702 71.6159 20.599 0.135
OBS: 59310.36 i_PS1 1816.3519 78.6273 19.352 0.047
OBS: 59311.287 p48g 564.4169 68.1 20.621 0.131
OBS: 59311.327 p48r 1589.2785 71.7252 19.497 0.049
OBS: 59312.49 g_PS1 565.9786 74.5438 20.618 0.143
OBS: 59312.49 r_PS1 1368.9891 71.8705 19.659 0.057
OBS: 59313.262 p48g 414.1904 84.3078 20.957 0.221
OBS: 59313.31 p48r 1487.3049 87.6709 19.569 0.064
OBS: 59315.36 g_PS1 475.5542 81.9063 20.807 0.187
OBS: 59317.269 p48g 342.2946 58.6393 21.164 0.186
OBS: 59317.322 p48r 1132.4004 69.8796 19.865 0.067
OBS: 59317.37 r_PS1 1170.577 69.001 19.829 0.064
OBS: 59317.37 g_PS1 532.1083 81.3549 20.685 0.166
OBS: 59319.37 g_PS1 392.6449 72.6895 21.015 0.201
OBS: 59319.37 i_PS1 1084.4262 77.9059 19.912 0.078
OBS: 59321.307 p48r 924.6982 72.3927 20.085 0.085
OBS: 59321.366 p48g 390.4811 57.1838 21.021 0.159
OBS: 59321.45 g_PS1 403.6454 50.1891 20.985 0.135
OBS: 59321.46 r_PS1 946.2372 52.291 20.06 0.06
OBS: 59323.35 g_PS1 376.0105 61.2984 21.062 0.177
OBS: 59323.35 i_PS1 776.2471 70.0651 20.275 0.098
OBS: 59323.366 p48r 856.6433 88.3677 20.168 0.112
OBS: 59325.305 p48r 673.5968 93.0608 20.429 0.15
OBS: 59329.266 p48r 664.9669 161.6887 20.443 0.264
OBS: 59332.44 r_PS1 524.8075 98.1232 20.7 0.203
OBS: 59332.44 z_PS1 505.8247 126.2539 20.74 0.271
OBS: 59334.42 i_PS1 628.0584 78.671 20.505 0.136
OBS: 59334.43 r_PS1 628.0584 71.7294 20.505 0.124
OBS: 59336.44 r_PS1 486.6313 60.9557 20.782 0.136
OBS: 59336.44 z_PS1 503.5006 109.9067 20.745 0.237
OBS: 59340.299 p48r 519.5173 73.6879 20.711 0.154
OBS: 59342.27 i_PS1 369.1476 72.7595 21.082 0.214
OBS: 59342.354 p48g 263.0268 65.4093 21.45 0.27
OBS: 59342.403 p48r 347.6962 68.5314 21.147 0.214
OBS: 59344.235 p48r 334.503 64.0824 21.189 0.208
OBS: 59346.39 g_PS1 196.7886 39.6935 21.765 0.219
OBS: 59346.392 p48r 346.4176 76.575 21.151 0.24
OBS: 59346.4 i_PS1 276.6942 65.4951 21.395 0.257
OBS: 59348.323 p48r 309.5993 68.7215 21.273 0.241
OBS: 59352.43 r_PS1 316.8108 67.9879 21.248 0.233
OBS: 59364.4 r_PS1 198.7925 48.1539 21.754 0.263
END:
