# 2021foz 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.05 (yyyy.mm.dd); 10.49 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021foz
RA: 224.835024
DEC: 38.515978
MWEBV: 0.011
REDSHIFT_HELIO: 0.075
REDSHIFT_CMB: 0.07893763115034025
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59302.406
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 49
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59291.391 p48r 2218.1964 91.9365 19.135 0.045
OBS: 59291.496 p48g 2282.4433 75.6795 19.104 0.036
OBS: 59292.56 i_PS1 1907.2165 73.7777 19.299 0.042
OBS: 59292.56 g_PS1 2434.4452 73.9928 19.034 0.033
OBS: 59295.304 p48g 2649.7201 158.6314 18.942 0.065
OBS: 59295.409 p48r 2839.2262 101.9859 18.867 0.039
OBS: 59296.52 i_PS1 1946.2562 138.0277 19.277 0.077
OBS: 59296.52 g_PS1 2759.3069 162.6506 18.898 0.064
OBS: 59297.328 p48g 2959.375 149.9127 18.822 0.055
OBS: 59297.39 p48r 2734.0094 118.3514 18.908 0.047
OBS: 59300.366 p48g 2461.5009 262.9866 19.022 0.116
OBS: 59300.432 p48r 2684.1081 234.8547 18.928 0.095
OBS: 59300.5 i_PS1 1794.7336 370.2744 19.365 0.224
OBS: 59300.5 r_PS1 2694.0149 342.4166 18.924 0.138
OBS: 59302.394 p48g 2632.6917 198.8335 18.949 0.082
OBS: 59302.406 p48r 2997.7817 168.4246 18.808 0.061
OBS: 59303.53 i_PS1 1547.3908 136.8192 19.526 0.096
OBS: 59303.53 r_PS1 2556.2304 150.68 18.981 0.064
OBS: 59304.51 r_PS1 2278.2428 121.7037 19.106 0.058
OBS: 59304.51 z_PS1 997.2407 112.0561 20.003 0.122
OBS: 59305.346 p48r 2331.3099 126.6857 19.081 0.059
OBS: 59305.411 p48g 1846.7155 120.763 19.334 0.071
OBS: 59307.365 p48r 2226.3836 84.0736 19.131 0.041
OBS: 59307.39 p48g 1545.9662 79.7377 19.527 0.056
OBS: 59309.344 p48g 1142.8783 67.3683 19.855 0.064
OBS: 59309.407 p48r 1838.2306 104.9705 19.339 0.062
OBS: 59311.371 p48g 1019.53 60.0974 19.979 0.064
OBS: 59311.469 p48r 1826.4172 79.063 19.346 0.047
OBS: 59313.43 p48r 1710.803 141.8137 19.417 0.09
OBS: 59313.469 p48g 781.9878 86.4285 20.267 0.12
OBS: 59315.325 p48g 639.7348 68.3492 20.485 0.116
OBS: 59317.287 p48g 487.0797 56.5257 20.781 0.126
OBS: 59317.416 p48r 1505.2201 83.1815 19.556 0.06
OBS: 59321.413 p48r 1172.7353 72.3687 19.827 0.067
OBS: 59323.302 p48g 367.7901 83.3318 21.086 0.246
OBS: 59323.375 p48r 980.8441 84.9187 20.021 0.094
OBS: 59325.306 p48r 830.233 89.4667 20.202 0.117
OBS: 59325.371 p48g 485.7357 88.1337 20.784 0.197
OBS: 59329.288 p48r 673.5968 148.2769 20.429 0.239
OBS: 59331.4 r_PS1 608.135 138.3479 20.54 0.247
OBS: 59336.45 r_PS1 501.1872 84.0131 20.75 0.182
OBS: 59336.45 i_PS1 486.1833 68.0643 20.783 0.152
OBS: 59338.385 p48r 514.7543 85.3391 20.721 0.18
OBS: 59340.331 p48r 500.7258 69.1778 20.751 0.15
OBS: 59342.414 p48r 600.897 68.0739 20.553 0.123
OBS: 59344.33 i_PS1 284.9706 56.4305 21.363 0.215
OBS: 59345.328 p48r 369.4877 67.3815 21.081 0.198
OBS: 59349.31 p48r 393.0067 65.879 21.014 0.182
OBS: 59353.321 p48r 355.1403 80.1386 21.124 0.245
END:
