# 2021gqc 
# SNANA-like file generated from user-provided data
# Zeropoint of the converted SNANA file: 27.5 mag
# -----------------------------------------------------------
# Data table created by: anonymous
# On date: 2023.04.06 (yyyy.mm.dd); 16.05 hrs (BST).
# Script used: BayeSNmodel.io.write_snana_lcfile.py
# -----------------------------------------------------------
SNID: 2021gqc
RA: 226.949936
DEC: -10.247193
MWEBV: 0.092
REDSHIFT_HELIO: 0.047
REDSHIFT_CMB: 0.04801649161243038
REDSHIFT_CMB_ERR: 0.005
PEAKMJD: 59306.441
FILTERS: g_PS1,i_PS1,p48g,p48r,r_PS1,z_PS1
# -----------------------------------------------------------
NOBS: 84
NVAR: 6
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 59290.419 p48g 744.0464 85.6615 20.321 0.125
OBS: 59295.333 p48g 4393.3925 226.602 18.393 0.056
OBS: 59295.392 p48r 3919.2232 151.609 18.517 0.042
OBS: 59297.335 p48g 5325.9857 269.7978 18.184 0.055
OBS: 59297.382 p48r 6020.0486 188.5188 18.051 0.034
OBS: 59297.51 z_PS1 4317.1784 186.8846 18.412 0.047
OBS: 59297.51 r_PS1 5712.1552 189.3992 18.108 0.036
OBS: 59299.56 r_PS1 6661.929 110.4455 17.941 0.018
OBS: 59299.57 i_PS1 5286.8867 165.5597 18.192 0.034
OBS: 59301.399 p48r 6637.4307 372.9113 17.945 0.061
OBS: 59301.449 p48g 7634.8411 372.6933 17.793 0.053
OBS: 59306.334 p48g 7040.4432 207.5036 17.881 0.032
OBS: 59306.441 p48r 8248.9752 205.1348 17.709 0.027
OBS: 59308.377 p48g 6438.7268 118.6057 17.978 0.02
OBS: 59308.419 p48r 7379.0423 163.1124 17.83 0.024
OBS: 59310.399 p48r 6835.9677 132.2193 17.913 0.021
OBS: 59310.47 g_PS1 5618.2363 119.0155 18.126 0.023
OBS: 59310.47 z_PS1 3681.2897 145.7955 18.585 0.043
OBS: 59311.46 i_PS1 4040.1734 119.0764 18.484 0.032
OBS: 59311.47 g_PS1 5425.0032 94.9356 18.164 0.019
OBS: 59312.335 p48g 4664.4453 111.6989 18.328 0.026
OBS: 59314.379 p48g 3883.2916 107.2993 18.527 0.03
OBS: 59314.444 p48r 5770.3214 116.9226 18.097 0.022
OBS: 59316.356 p48g 2997.7817 91.1149 18.808 0.033
OBS: 59316.417 p48r 5277.1568 102.0693 18.194 0.021
OBS: 59317.48 g_PS1 2642.4088 153.3261 18.945 0.063
OBS: 59317.49 i_PS1 3366.6657 170.5448 18.682 0.055
OBS: 59319.416 p48g 2263.6016 114.667 19.113 0.055
OBS: 59320.48 g_PS1 2301.4418 95.3868 19.095 0.045
OBS: 59320.48 r_PS1 4777.4923 118.8063 18.302 0.027
OBS: 59322.273 p48r 3847.6893 170.1049 18.537 0.048
OBS: 59322.335 p48g 1839.9245 111.8458 19.338 0.066
OBS: 59323.44 g_PS1 1698.2437 103.2333 19.425 0.066
OBS: 59323.44 z_PS1 3118.8896 169.4836 18.765 0.059
OBS: 59324.273 p48r 4036.4539 178.4502 18.485 0.048
OBS: 59324.358 p48g 1573.2582 130.4122 19.508 0.09
OBS: 59327.45 i_PS1 3654.2647 181.7479 18.593 0.054
OBS: 59328.281 p48r 3290.0311 218.1766 18.707 0.072
OBS: 59334.235 p48g 660.6934 121.7042 20.45 0.2
OBS: 59334.336 p48r 2537.4646 196.3157 18.989 0.084
OBS: 59335.47 r_PS1 2024.8833 147.3339 19.234 0.079
OBS: 59335.47 z_PS1 2403.2558 210.2806 19.048 0.095
OBS: 59336.335 p48r 2118.3611 107.3095 19.185 0.055
OBS: 59336.399 p48g 923.8469 154.0119 20.086 0.181
OBS: 59338.48 i_PS1 1960.6497 126.4078 19.269 0.07
OBS: 59339.231 p48g 631.5387 106.4454 20.499 0.183
OBS: 59339.315 p48r 1865.5204 87.6286 19.323 0.051
OBS: 59341.275 p48r 1786.4876 92.1433 19.37 0.056
OBS: 59343.273 p48g 580.2298 96.7285 20.591 0.181
OBS: 59343.315 p48r 1752.2659 103.2894 19.391 0.064
OBS: 59344.45 i_PS1 1662.6468 127.1024 19.448 0.083
OBS: 59345.357 p48g 588.3016 103.4925 20.576 0.191
OBS: 59347.43 r_PS1 1362.6992 102.9176 19.664 0.082
OBS: 59347.43 g_PS1 440.9608 96.2552 20.889 0.237
OBS: 59349.294 p48r 1114.8078 85.2224 19.882 0.083
OBS: 59352.274 p48r 1400.877 114.8327 19.634 0.089
OBS: 59354.273 p48r 1297.7768 172.1227 19.717 0.144
OBS: 59354.295 p48g 939.2907 203.3029 20.068 0.235
